Kulba 20-30 female
сайті			сайт 		noun:m:v_mis  0
коментар		коментар 	noun:m:v_zna  0
років			рік 		noun:p:v_rod  0
два			два 		numr:m:v_naz  0
тому			тому 		adv   0
а			а 		conj:coord   0
досі			досі 		adv:&pron:dem  0
отримую			отримувати 	verb:pres:s:1:imperf  0
відповіді		відповідь 	noun:p:v_zna  0
Якщо			якщо 		conj:subord  0
співробітники		співробітник 	noun:p:v_naz:anim  0
закладу			заклад 		noun:m:v_rod  0
протягом		протяг 		adv:v_rod 0
цього			цей 		adj:m:v_rod:&pron:dem  0
часу			час 		noun:m:v_rod  0
стільки			стільки 	adv   0
ж			ж 		part  0
зусиль			зусилля 	noun:p:v_rod  10
прикладали		прикладати 	verb:past:p:imperf  10
до			до 		prep:rv_rod  -10
покращення		покращення 	noun:n:v_rod  27
сервісу			сервіс 		noun:m:v_rod  19
та			та 		conj:coord   0
кухні			кухня 		noun:f:v_rod  0
скільки			скільки 	numr:p:v_naz:&pron:ind  0
до			до 		prep:rv_rod  0
захисту			захист 		noun:m:v_rod  0
від			від 		prep:rv_rod  0
нападок			нападки 	noun:p:v_rod  -40
на			на 		prep:rv_mis  0
цьому			цей 		adj:m:v_mis:&pron:dem  0
сайті			сайт 		noun:m:v_mis  0
рудий			рудий 		adj:m:v_naz  0
кіт			кіт 		noun:m:v_naz:anim  0
має			мати  		verb:pres:s:3:imperf  0
вже			вже		adv 0
бути			бути 		verb:inf:imperf  0
одним			один 		numr:m:v_oru   0
з			з 		prep:rv_rod 0
кращих			хороший 	adj:p:v_rod:compr  30
закладів		заклад 		noun:p:v_rod  30
України			Україна 	noun:f:v_rod  30
На			на 		prep:rv_zna  0
момент			момент 		noun:m:v_zna  0
же			же 		part  0
мого			мій 		adj:m:v_rod:&pron:pos  0
візиту			візит 		noun:m:v_rod  0
на			на		adv 0
жаль 			жаль		noun:m:v_naz  0
це			цей 		adj:n:v_naz:&pron:dem  0
місце			місце 		noun:n:v_naz  0
було			бути 		verb:past:n:imperf  0
не			не 		part  0
з			з 		prep:rv_zna 0
приємних		приємний 	adj:p:v_zna:compb  10
і			і 		conj:coord  0
я			я 		pron:pers:s:1:v_naz:anim  0
готовий			готовий 	adj:m:v_naz  10
підписатися		підписатися 	verb:rev:inf:perf  0
під			під 		prep:rv_oru  0
кожним			кожний 		adj:n:v_oru:&pron:def   0
словом			слово 		noun:n:v_oru  0
власного		власний 	adj:m:v_rod  0
коментаря		коментар 	noun:m:v_rod  0
дворічної		дворічний 	adj:f:v_rod  0
давності		давність 	noun:f:v_rod  0
Були			бути 		verb:past:p:imperf  0
сьогодні		сьогодні 	adv  0
тут			тут 		adv:&pron:dem  0
з			з 		conj 0
дружиною		дружина 	noun:f:v_oru:anim  0
та			та 		conj:coord   0
дітьми			діти 		noun:p:v_oru:anim   0
було			бути 		verb:past:n:imperf  0
багато			багато 		adv  0
людей			люди 		noun:p:v_rod:anim  0
але			але 		conj:coord   0
обслужили		обслужити 	verb:past:p:perf  0
швидко			швидко 		adv:compb  0
приготували		приготувати 	verb:past:p:perf  0
смачно			смачно 		adv:compb  20
РЕСПЕКТ			респект		noun:і:v_naz  40
Хочу			хотіти 		verb:pres:s:1:imperf 0
поділитись		поділитися 	verb:rev:inf:perf  0
своїм			свій 		adj:m:v_oru:&pron:pos  0
враженням		враження 	noun:n:v_oru   10
про			про 		prep:rv_zna  0
Рудий			рудий 		adj:m:v_zna  0
Кіт			кіт 		noun:m:v_naz:anim  10
Пишу			писати 		verb:pres:s:1:imperf  0
відразу			відразу		adv  0
що			що 		conj:subord  0
це			цей p		ron:dem 0
просто			просто 		adv:compb  0
жах			жах 		noun:m:v_naz  -50
Були			бути 		verb:past:p:imperf  0
там			там 		adv:&pron:dem  0
з			з 		prep:rv_oru 0
колетивом		колектив	noun:m:v_oru  0
по			по 		prep:rv_mis  0
роботі			роботa		noun:m:v_mis:anim  0
Під			під 		prep:rv_zna 0
час			час 		noun:m:v_zna  0
перебування		перебування 	noun:n:v_rod   0
в			в 		prep:rv_mis  0
кафе			кафе 		noun:n:v_mis:nv  10
окрім			окрім 		prep:rv_rod  0
нас			ми 		pron:pers:p:1:v_rod:anim  0
нікого			ніхто 		pron:neg:v_rod:anim  -20
не			не 		part  0
було			бути 		verb:past:n:imperf  0
але			але 		conj:coord  0
на			на 		prep:rv_mis  0
обслуговуванні		обслуговування 	noun:n:v_mis  10
це			цей 		adj:n:v_naz:&pron:dem  0
ніяк			ніяк 		adv:&pron:neg   -10
не			не 		part  -10
відбилось		відбитися 	verb:rev:past:n:perf  0
Ціни			ціна		noun:p:v_naz  0
не			не 		part  0
відповідають		відповідати 	verb:pres:p:3:imperf  10
замовленому		замовлений 	adjp:pasv:past:m:v_dav  20
це			цей 		adj:n:v_naz:&pron:dem  0
не			не 		part  0
коштує			коштувати 	verb:pres:s:3:imperf  0
стільки			стільки 	adv  0
Порції			порція 		noun:p:v_naz  0
НІЯКІ			ніякий 		adj:p:v_naz:&pron:neg  -40
Замовляли		замовляти 	verb:past:p:imperf  0
салати			салат  		noun:p:v_zna  20
вибачте			вибачити 	verb:impr:p:2:perf  0
не			не 		part  0
можу			могти 		verb:pres:s:1:imperf  0
пригадати		пригадати 	verb:inf:perf  0
назви			назва 		noun:p:v_zna  0
принесли		принести 	verb:past:p:perf  0
кучу			кучу		noun:s:v_zna -20
так-так			так-так 	part  0
інакше			інакше 		adv:&pron:def  0
я			я 		pron:pers:s:1:v_naz:anim 0
не			не 		part  0
можу			могти 		verb:pres:s:1:imperf  0
це			цей 		adj:n:v_naz:&pron:dem  0
назвати			назвати 	verb:inf:perf  0
тап-ляп			тяп-ляп		part  -30
і			і 		conj:coord   0
салат			салат 		noun:m:v_naz  0
готовий			готовий 	adj:m:v_naz  0
Оформелення		оформлення 	noun:n:s:v_naz   20
його			воно 		pron:pers:n:3:v_rod  0
просто			просто 		part   0
не			не 		part  0
було			бути 		verb:past:n:imperf  0
та			та 		part  0
і			і 		conj:coord  0
причому			причому 	conj:subord  0
що			що 		pron:int:rel:n:v_naz  0
не			не 		part  0
смачно			смачно 		adv:compb  10
взагалі			взагалі 	adv 0
Мясне			м'ясне		adj:m:v_naz:nv 30
асорті			асорті 		noun:n:v_naz:nv  30
аж			аж 		part  0
світиться		світитися 	verb:rev:pres:s:3:imperf 0
пару			парa		noun:f:v_zna  0
кусочків		кусочок 	noun:p:v_rod  10
Гарнір			гарнір 		noun:m:v_naz  11
макарони		макарони 	noun:p:v_naz  11
мені			я 		pron:pers:s:1:v_dav:anim  0
здається		здаватися 	verb:rev:pres:s:3:imperf  0
за			за 		prep:rv_rod 0
часів			час 		noun:p:v_rod  0
СССР			СССР		noun:m:v_rod -40
і			і		conj:coord   0
не			не 		part  0
такі			такий 		adj:p:v_naz:&pron:def  0
розварені		розварений 	adjp:pasv:past:p:v_naz  -30
були			бути		verb:past:p:imperf  0
Несуть			нести 		verb:pres:p:3:imperf  0
замовлене		замовлений 	adjp:pasv:past:n:v_zna  0
довго			довго 		adv:compb  -20
І			і 		conj:coord   0
так			так 		part  0
можна			можна 		predic  0
говорити		говорити 	verb:inf:imperf  0
про			про 		prep:rv_zna  0
все			все 		adv   0
що			що 		conj:subord  0
було			бути 		verb:past:n:imperf  0
нами			ми 		pron:pers:p:1:v_oru:anim 0
Офіціанти		офіціант 	noun:p:v_naz:anim  0
не			не 		part  0
слідкують		слідкувати 	verb:pres:p:3:imperf  0
за			за 		prep:rv_oru 0
чистотою		чистота 	noun:f:v_oru  20
на			на 		prep:rv_mis  0
столі			стіл 		noun:m:v_mis  0
попільничка		попільничка 	noun:f:v_naz  -10
мінялась		мінятися 	verb:rev:past:f:imperf  10
тільки			тільки 		part  0
після			після 		adv  0
прохання		прохання	noun:n:v_rod  20
про			про 		prep:rv_zna  0
це			цей 		adj:n:v_naz:&pron:dem  0
пуста			пустий 		adj:f:v_naz  0
посуда			посуд		noun:s:v_naz 10
не			не 		part  0
забиралась		забиратися 	verb:rev:past:f:imperf  0
Куди			куди 		adv:&pron:int:rel  0
вони			вони 		pron:pers:p:3:v_naz:anim 0
дивились		дивитися 	verb:rev:past:p:imperf  0
це			цей 		adj:n:v_naz:&pron:dem 0
ж			ж 		part  0
їхня			їхній 		adj:f:v_naz:&pron:pos  0
робота			робота		noun:f:v_naz  0
Одним			один 		numr:m:v_oru  0
словом			слово 		noun:n:v_oru  0
не			не 		part  0
раджу			радити 		verb:pres:s:1:imperf  10
взагалі			взагалі 	adv 0
На			на 		prep:rv_zna 0
рахунок			рахунок 	noun:m:v_zna  0
відповіді		відповідь n	noun:f:v_rod   0
від			від 		prep:rv_rod  0
працівників		працівник 	noun:p:v_rod:anim   0
«	-  0
-  0
Рудого			рудий 		adj:m:v_rod  0
кота			кіт 		noun:m:v_rod:anim  10
»	-  10
 0
1			1 		number  0
З			з 		prep:rv_rod  0
чого			що 		pron:int:rel:n:v_rod  0
це			цей 		adj:n:v_naz:&pron:dem   0
Ви			ви 		pron:pers:p:2:v_kly:anim  0
взяли			взяти 		verb:past:p:perf  0
що			що 		conj:subord  0
я			я 		pron:pers:s:1:v_naz:anim  0
працюю			працювати 	verb:pres:s:1:imperf  0
в			в 		prep:rv_mis  0
закладі			заклад 		noun:m:v_mis  0
Ніякого			ніякий 		adj:m:v_rod:&pron:neg  -30
відношення		відношення 	noun:n:v_rod   10
до			до 		prep:rv_rod  0
закладів		заклад 		noun:p:v_rod  0
харчування		харчування 	noun:n:v_rod  0
в			в 		prep:rv_zna 0
мене			я 		pron:pers:s:1:v_zna:anim  0
не			не 		part  0
має			мати		verb:pres:s:3:imperf  0
Якщо			якщо 		conj:subord  0
ви			ви 		pron:pers:p:2:v_naz:anim 0
читаєте			читати 		verb:pres:p:2:imperf  0
негативний		негативний 	adj:m:v_zna:compb  -40
відгук			відгук 		noun:m:v_zna  0
це			цей 		adj:n:v_naz:&pron:dem  0
не			не 		part  0
чорний			чорний 		adj:m:v_naz:compb  -30
піар			піар 		noun:m:v_naz  20
а			а 		conj:coord   20
можливість		можливість 	noun:f:v_naz  20
звернути		звернути 	verb:inf:perf  0
увагу			увага 		noun:f:v_zna  10
і			і 		conj:coord  0
виправити		виправити 	verb:inf:perf  0
Вам			ви 		pron:pers:p:2:v_dav:anim 0
свої			свій 		adj:p:v_zna:&pron:pos  0
помилки			помилка		noun:p:v_zna  -35
2			2 		number  0
Я			я 		pron:pers:s:1:v_naz:anim  0
так			так		part  0
бачу			бачити 		verb:pres:s:1:imperf  0
з			з 		prep:rv_rod:rv_zna:rv_oru 0
відповідей		відповідь 	noun:p:v_rod  0
на			на 		prep:rv_zna 0
відгуки			відгук 		noun:p:v_zna  0
гостей			гостя 		noun:p:v_rod:anim  0
закладу			заклад  	noun:m:v_rod   0
Ви			ви 		pron:pers:p:2:v_naz:anim 0
дуже			дуже 		adv  10
хочете			хотіти 		verb:pres:p:imperf  10
щоб			щоб 		conj:subord  0
заповнили		заповнити 	verb:past:p:perf  0
Вашу			ваш 		adj:f:v_zna 0
Книгу			книга 		noun:f:v_zna  0
скарг			скарга 		noun:p:v_rod  -40
Мені			я 		pron:pers:s:1:v_dav:anim  0
здається		здаватися 	verb:rev:pres:s:3:imperf  0
що			що 		conj:subord   0
у			у 		prep:rv_mis 0
Ваших			ваш 		adj:p:v_mis:&pron:pos  0
інтересах		інтерес 	noun:p:v_mis  20
прочитати		прочитати 	verb:inf:perf  0
відгуки			відгук 		noun:p:v_zna  0
на			на 		prep:rv_mis  0
таких			такий 		adj:p:v_mis  0
сайтах			сайт 		noun:p:v_mis  0
а			а 		conj:coord  0
не			не 		part  0
у			у 		prep:rv_mis  0
Книзі			книга 		noun:f:v_mis  0
разом			разом 		adv  0
із			із 		prep:rv_oru  0
службою			служба 		noun:f:v_oru  0
захисту			захист 		noun:m:v_rod  10
споживачів		споживач 	noun:p:v_rod:anim  10
На			на 		prep:rv_mis  0
Вашому			ваш 		adj:m:v_dav:&pron:pos  0
ж			ж 		part  0
сайті			сайт 		noun:m:v_mis  0
де			де 		adv:&pron:int:rel  0
писати			писати 		verb:inf:imperf  0
відгуки			відгук 		noun:p:v_zna  0
я			я 		pron:pers:s:1:v_naz:anim 0
не			не 		part  0
бачу			бачити 		verb:pres:s:1:imperf  0
Має			мати 		verb:pres:s:3:imperf 		predic 0
					verb:pres:s:3:imperf  0
бути			бути 		verb:inf:imperf  0
відведена		відведений 	adjp:pasv:past:f:v_naz  0
для			для 		prep:rv_rod  0
цього			цей 		adj:m:v_rod:&pron:dem 0
відповідна		відповідний	adj:f:v_naz:compb  0
сторінка		сторінка 	noun:f:v_naz  0
де			де 		adv:&pron:int:rel  0
видно			видно		predic  10
всі			весь 		adj:p:v_zna:&pron:dem  0
відгуки			відгук 		noun:p:v_zna  0
користувачів		користувач 	noun:p:v_rod:anim  0
сайту			сайт 		noun:m:v_rod  0
і			і 		conj:coord  0
відвідувачів		відвідувач 	noun:p:v_rod:anim  0
Вашого			ваш 		adj:m:v_rod:&pron:pos  0
закладу			заклад 		noun:m:v_rod  0
А			а 		conj:coord  0
відправляти		відправляти	verb:inf:imperf  0
відгук			відгук 		noun:m:v_zna  0
на			на 		prep:rv_zna:rv_mis  0
електронку		електронку	noun:s:v_mis 0
в			в 		prep:rv_mis  0
нікуди			нікуди 		adv:&pron:neg  -20
не			не 		part  0
бачу			бачити 		verb:pres:s:1:imperf  0
сенсу			сенс 		noun:m:v_rod  0
Відгук			відгук 		noun:m:v_naz   0
і			і 		conj:coord  0
є			бути 		verb:pres:s::imperf  0
для			для 		prep:rv_rod  0
того			той 		adj:m:v_rod:&pron:dem  0
щоб			щоб 		conj:subord  0
його			він		pron:pers:n:3:v_rod  0
могли			могти 		verb:unknown  0
побачити		побачити 	verb:inf:perf  0
всі			весь 		adj:p:v_zna:&pron:dem  0
кому			хто 		pron:int:rel:m:v_dav:anim 0
це			цей 		adj:n:v_naz:&pron:dem  0
потрібно		потрібно 	adv:compb  10
3			3 		number  0
На			на 		prep:rv_zna  0
рахунок			рахунок 	noun:m:v_zna  0
Вашого			ваш 		adj:m:v_rod:&pron:pos  0
меню			меню 		noun:n:v_rod:nv  0
Ніхто			ніхто 		pron:neg:v_naz:anim  0
не			не 		part  0
говорить		говорити 	verb:pres:s:3:imperf  0
про			про 		prep:rv_zna  0
порції			порція 		noun:f:v_rod  10
як			як 		adv:&pron:int:rel  0
Ви			ви 		pron:pers:p:2:v_naz:anim 0
виразились		виразитися 	verb:rev:past:p:perf  0
кавалками		кавалок 	noun:p:v_oru   -10
Порції			порція 		noun:p:v_naz   5
мають			мати 		verb:pres:p:3:imperf  0
бути			бути 		verb:inf:imperf  0
охайно			охайно 		adv:compb  20
нарізані		нарізаний 	adjp:pasv:past:p:v_naz  2
і			і 		conj:coord  2
викладені		викладений 	adjp:pasv:past:p:v_naz  12
щоб			щоб 		conj:subord   0
вони			вони 		pron:pers:p:3:v_naz:anim 0
мали			мати 		verb:past:p:imperf  0
естетичний		естетичний 	adj:m:v_zna:compb  30
вигляд			вигляд 		noun:m:v_zna  0
Ще			ще 		adv  0
було			бути 		verb:past:n:imperf  0
замовлено		замовити 	verb:impers:perf  20
фруктове		фруктовий 	adj:n:v_zna  20
асорті			асорті 		noun:n:v_rod:nv  20
розкажіть		розказати 	verb:impr:p:2:perf  0
як			як 		adv:&pron:int:rel  0
їсти			їсти 		verb:inf:imperf  0
ківі			ківі 		noun:m:v_zna:nv  20
якщо			якщо		conj:subord  0
воно			воно 		pron:pers:n:3:v_naz  0
нарізане		нарізаний 	ajp:pasv:past:n:v_naz  0
із			із 		prep:rv_oru 0
шкіркою			шкірка 		noun:f:v_oru  -10
На			на 		prep:rv_zna 0
рахунок			рахунок 	noun:m:v_zna  0
макаронів		макарони 	noun:p:v_rod   10
як			як 		adv:&pron:int:rel  0
це			цей 		adj:n:v_naz:&pron:dem  0
у			у 		prep:rv_mis  0
Вас			ви 		pron:pers:p:2:v_mis:anim  0
в			в 		prep:rv_mis 0
меню			меню		noun:n:v_mis:nv  0
не			не 		part  0
має			мати  		verb:pres:s:3:imperf  0
якщо			якщо 		conj:subord  0
було			бути 		verb:past:n:imperf  0
замовлено		замовити 	verb:impers:perf  0
Можливо			можливо 	adv  0
вони			вони 		pron:pers:p:3:v_naz:anim  0
називається		називатися 	verb:rev:pres:s:3:imperf  0
у			у 		prep:rv_mis 0
вас			ви 		pron:pers:p:2:v_mis:anim  0
Паста			паста 		noun:f:v_naz  10
а-ля			а-ля 		conj:subord  0
Болоньєз		Болоньєз	noun:s:v_naz 20
але			але 		conj:coord  0
на			на 		prep:rv_zna	 0
вигляд			вигляд 		noun:m:v_zna  0
і			і 		conj:coord  0
смак			смак 		noun:m:v_zna  0
жахливо			жахливо 	adv:compb  -40
4			4 		number  0
У			у 		prep:rv_zna 0
Ваш			ваш 		adj:m:v_zna:&pron:pos  0
заклад			заклад 		noun:m:v_zna  0
ми			ми 		pron:pers:p:1:v_naz:anim  0
б			б 		part  0
навіть			навіть 		part  0
і			і 		conj:coord   0
не			не 		part  0
зайшли			зайти 		verb:past:p:perf  0
Але			але 		conj:coord  0
потрапити		потрапити 	verb:inf:perf  0
в			в 		prep:rv_zna 0
той			той 		adj:m:v_zna:&pron:dem  0
вечір			вечір		noun:m:v_zna  10
кудись			кудись 		adv:&pron:ind  10
було			бути 		verb:past:n:imperf  10
нереально		нереально 	adv  -32
Ви			ви 		pron:pers:p:2:v_naz:anim  0
не			не 		part  0
задавали		задавати 	verb:past:p:imperf  0
собі			себе 		pron:refl:m:v_dav  0
питання			питання 	noun:n:v_rod  0
чому			чому 		adv:&pron:int:rel  0
у			у 		prep:rv_mis  0
всіх			весь 		adj:p:v_mis:&pron:dem  0
закладах		заклад 		noun:p:v_mis  0
все			все 		adv  0
зарезервовано		зарезервувати 	verb:impers:perf  10
і			і 		conj:coord  0
багато			багато		adv  10
людей			люди 		noun:p:v_rod:anim  10
а			а 		conj:coord  0
біля			біля 		adv  0
Вашого			ваш 		adj:m:v_rod:&pron:pos   0
як			як 		adv:&pron:int:rel  0
не			не 		part  0
пройдеш			пройти 		verb:futr:s:2:perf  0
завжди			завжди 		adv:&pron:gen  20
є			бути 		verb:pres:s::imperf  0
вільні			вільний 	adj:p:v_zna:compb  20
місця			місце 		noun:p:v_zna 0
