Buryak 20-30 male
Невдовзі	невдовзі 	adv  0
невеликі	невеликий 	adj:p:v_naz 	  -4
негайних	негайний 	adj:p:v_rod 	 -8
негативно	негативно 	adv:compb  -25
незабутні	незабутній 	adj:p:v_naz 	 0
незвична	незвичний 	adj:f:v_naz:compb  4
нема		нема 	predic  -6
немає		немає 	predic  -6
необхідно	необхідно 	adv:compb  -4
необхідності	необхідність 	noun:f:v_rod  -4
неординарні	неординарний 	adj:p:v_naz 	 1
непогано	непогано 	adv  6
неправильне	неправильний 	adj:n:v_naz 	 -4
неправильно	неправильно 	adv  -4
нестандартний	нестандартний 	adj:m:v_naz 	 0
Нехай		нехай 	part 0
них			вони 	pron:pers:p:3:v_mis:anim 0
них			вони 	pron:pers:p:3:v_mis:anim 0
ні			ні 		part  0
ніхто		ніхто 	pron:neg:v_naz:anim  0
ніхто		ніхто 	pron:neg:v_naz:anim  0
ніч			ніч 	noun:f:v_zna  4
нічого		нічого 	adv 	 0
Нічого		нічого 	adv 	 0
Новим		новий 	adj:m:v_oru:compb 	  6
новому		новий 	adj:m:v_dav:compb 	 6
новорічну	новорічний 	adj:f:v_zna  27
Нормальний	нормальний 	adj:m:v_naz 	 0
нормально	нормально 	adv  0
ну			ну 		excl 	 0
ну			ну 		part  0
о			о 		prep:rv_zna:rv_mis  0
об'їздила	об'їздити 	verb:past:f:perf  0
обмежилась	обмежитися 	verb:rev:past:f:perf  -8
обслуговуючий	обслуговуючий 	adjp:actv:pres:m:v_naz:bad	 0
обстановка	обстановка 	noun:f:v_naz  0
обурені		обурений 	adjp:pasv:past:p:v_naz 	  -21
один		один 	numr:m:v_naz 	 0
Одним		один 	numr:n:v_oru  0
одними		один 	numr:p:v_oru  0
одному		один 	numr:n:v_mis  0
окремий		окремий adj:m:v_naz 	 0
оригінальне	оригінальний 	adj:n:v_naz:compb  8
Оригінально	оригінально 	adv:compb  8
оригінального	оригінальний 	adj:m:v_rod:compb 	 8
Особисто	особисто 	adv:compb  0
особливо	особливо 	adv  0
особливого	особливий 	adj:m:v_rod 	 0
отримати	отримати 	verb:inf:perf  0
офіціантів	офіціант 	noun:p:v_rod:anim  0
офіціантів	офіціант 	noun:p:v_rod:anim 	 0
офіціантів	офіціант 	noun:p:v_rod:anim 	 0
Офіціантка	офіціантка 	noun:f:v_naz:anim  0
офіціантка	офіціантка 	noun:f:v_naz:anim  0
офіціантки	офіціантка 	noun:f:v_rod:anim   0
офіціантки	офіціантка 	noun:p:v_naz:anim  0
Офіціантки	офіціантка 	noun:p:v_naz:anim  0
офіціантці	офіціантка 	noun:f:v_dav:anim 	  0
Оцінка		оцінка 	noun:f:v_naz  0
оцінювати	оцінювати 	verb:inf:imperf  0
оцінюю		оцінювати 	verb:pres:s:1:imperf  0
Очікувала	очікувати 	verb:past:f:imperf  0
очікували	очікувати 	verb:past:p:imperf  0
палять		палити 	verb:pres:p:3:imperf  0
пам'ятатиму	пам'ятати 	verb:futr:s:1:imperf  0
пам'ятаю	пам'ятати 	verb:pres:s:1:imperf  0
пам'ятник	пам'ятник 	noun:m:v_naz  0
перевірити	перевірити 	verb:inf:perf  0
перелякалася	перелякатися 	verb:rev:past:f:perf  0
перець		перець 	noun:m:v_naz  0
перила		перила 	noun:p:v_naz:bad 	 0
персонал	персонал 	noun:m:v_naz 	 0
персонал	персонал 	noun:m:v_naz 	 0
персонал	персонал 	noun:m:v_naz 	  0
персоналу	персонал 	noun:m:v_dav 	noun:m:v_mis 	noun:m:v_rod (персонал noun:m:v_zna) 0
персоналу	персонал 	noun:m:v_rod   0
Першого		перший 	adj:m:v_rod 	 0
пива		пиво 	noun:n:v_rod  0
писати		писати 	verb:inf:imperf  6
під			під 	prep:rv_zna 0
після		після 	prep:rv_rod  0
по			по 		prep:rv_mis 0
по			по 		prep:rv_mis 0
по			по 		prep:rv_mis:rv_zna  0
по			по 		prep:rv_mis:rv_zna  0
побільше	побільше 	adv  0
Побувайте	побувати 	verb:impr:p:2:perf  0
побували	побувати 	verb:past:p:perf  0
Побувати	побувати 	verb:inf:perf  0
повагою		повага 	noun:f:v_oru  22
повечеряли	повечеряти 	verb:past:p:perf  7
повторюю	повторювати verb:pres:s:1:imperf  0
погане		поганий adj:n:v_naz:compb -33
подавалась	подаватися 	verb:rev:past:f:imperf  0
подаровані	подарований 	adjp:pasv:past:p:v_naz 7
подача		подача 	noun:f:v_naz  0
подивитись	подивитися 	verb:rev:inf:perf  0
Подробиць	подробиця 	noun:p:v_rod  0
подумали	подумати 	verb:past:p:perf  0
позитив		позитив noun:m:v_naz 	 25
позитив		позитив noun:m:v_naz 		 25
позитиву	позитив noun:m:v_rod  25
показували	показувати 	verb:past:p:imperf  0
Поки		поки 	adv:&pron:int:rel  0
поки		поки 	conj:subord  0
половину	половина 	noun:f:v_zna  0
поляка		поляк 	noun:m:v_rod:anim 	 0
попі		попа 	noun:f:v_mis 0
попробувати	попробувати 	verb:inf:perf  0
порадувала	порадувати 	verb:past:f:perf  16
поспішаючи	поспішати 	advp:imperf  -2
постійних	постійний 	adj:p:v_rod 	 0
потенціал	потенціал 	noun:m:v_naz 	 20
потримали	потримати 	verb:past:p:perf  0
потягу		потяг 	noun:m:v_rod  0
почуття		почуття 	noun:n:v_naz 	 2
пошле		послати verb:futr:s:3:perf  4
працювали	працювати 	verb:past:p:imperf  0
працями		праця 	noun:p:v_oru  0
прекрасними	прекрасний 	adj:p:v_oru:compb  18
прекрасного	прекрасний 	adj:n:v_rod:compb  18
прецікавий	прецікавий 	adj:m:v_naz 	 15
при			при 	prep:rv_mis  0
привітний	привітний 	adj:m:v_naz:compb 	 16
приголубили	приголубити 	verb:past:p:perf  16
приготовлені	приготовлений 	adjp:pasv:past:p:v_naz 	 10
приємно		приємно adv:compb  17
приїдемо	приїхати 	verb:futr:p:1:perf  0
Приїхавши	приїхати 	advp:perf  0
Приїхала	приїхати 	verb:past:f:perf  0
прикраса	прикраса 	noun:f:v_naz  9
прикували	прикувати 	verb:past:p:perf  -13
принаймні	принаймні 	adv  0
Принесла	принести 	verb:past:f:perf  0
принесли	принести 	verb:past:p:perf  0
приносить	приносити 	verb:pres:s:3:imperf  0
принцеса	принцеса 	noun:f:v_naz:anim  17
приходять	приходити 	verb:pres:p:3:imperf  0
причепили	причепити 	verb:past:p:perf  0
про			про 	prep:rv_zna  0
про			про 	prep:rv_zna  0
проведення	проведення 	noun:n:v_naz 		 0
пропонованих	пропонований 	adjp:pasv:past:p:v_rod 	 0
просила		просити 	verb:past:f:imperf  0
просила		просити verb:past:f:imperf  0
просто		просто  part 	 0
просто		просто 	part  0
просто		просто 	part 	 0
проте		проте 	conj:coord  0
Процвітання	процвітання 	noun:n:v_naz 	 26
проявом		прояв 	noun:m:v_oru  6
психікою	психіка 	noun:f:v_oru  -5
равликів	равлик 	noun:p:v_zna:anim  -5
Раджу		раджа 	noun:f:v_zna:anim  0
Раджу		раджа 	noun:f:v_zna:anim 0
ради		рада 	noun:f:v_rod  0
			радити 	verb:pres:s:1:imperf  0
			радити 	verb:pres:s:1:imperf  0
Раду		рада 	noun:f:v_zna   0
радше		радше 	adv  0
раз			раз 	noun:m:v_naz 	 0
раз			раз 	noun:m:v_naz 	 0
раз			раз 	noun:m:v_naz 	 0
раз			раз 	noun:m:v_naz 	 0
разі		раз 	noun:m:v_mis  0
ранок		ранок 	noun:m:v_zna  0
раптово		раптово adv  -8
респект		- 		-  19
ресторан	ресторан 	noun:m:v_naz 	n 15
ресторану	ресторан 	noun:m:v_dav 	 15
ресторанчики	ресторанчик 	noun:p:v_naz 	 15
ритуалах	ритуал 	noun:p:v_mis  0
Різдвом		різдво 	noun:n:v_oru  22
різні		різний 	adj:p:v_naz  0
рішуче		рішучий 	adj:n:v_naz:compb 	 16
робити		робити 	verb:inf:imperf  0
робота		робота 	noun:f:v_naz  0
роботи		робот 	noun:p:v_naz:anim  0
роботи		робота 	noun:f:v_rod 	   0
розвитку	розвиток 	noun:m:v_dav 	 6
розкритий	розкритий 	adjp:pasv:past:m:v_naz 	 6
розміри		розмір 	noun:p:v_naz 	noun:p:v_zna  0
Розрахований	розрахований 	adjp:pasv:past:m:v_naz 0
роз'яснювальної	роз'яснювальний		adj:f:v_rod  0
Роком		рік 	noun:m:v_oru  0
року		рік 	noun:m:v_rod 0
Ромчик		Ромчик 	noun:m:v_naz:anim:fname  0
році		рік 	noun:m:v_mis  0
руку		рука 	noun:f:v_zna  0
сама		самий 	adj:f:v_naz  0
сама		самий 	adj:f:v_naz  0
саме		саме 	part  0
самому		самий 	adj:m:v_dav 	 0
саму		самий 	adj:f:v_zna  0
Саші		Саша 	noun:f:v_dav:anim:fname	 0
світу		noun:m:v_rod 0
свого		свій 	adj:m:v_rod:&pron:pos 	 0
святкового	святковий 	adj:m:v_rod:compb 	  0
семи		сім 	numr:p:v_rod 0
Сервіс		сервіс 	noun:m:v_naz 	 0
сервісом	сервіс 	noun:m:v_oru  0
серед		серед 	prep:rv_rod  0
серйозно	серйозно 	adv:compb  0
сили		сила 	noun:f:v_rod 	 0
симпатичні	симпатичний 	adj:p:v_naz:compb 	 23
сирний		сирний 	adj:m:v_naz 	 0
сісти		сісти 	verb:inf:perf  0
скажу		сказати verb:futr:s:1:perf  0
скажу		сказати verb:futr:s:1:perf   0
скажу		сказати verb:futr:s:1:perf 0
сказати		сказати verb:inf:perf  0
сказати		сказати verb:inf:perf  0
сказати		сказати verb:inf:perf  0
сказати		сказати verb:inf:perf  0
Скаржитися	скаржитися 	verb:rev:inf:imperf  -15
слова		слово 	noun:p:v_naz  0
Словом		слово 	noun:n:v_oru  0
словом		слово 	noun:n:v_oru  0
смаком		смак 	noun:m:v_oru  0
смачна		смачний adj:f:v_naz:compb  23
смачно		смачно 	adv:compb  23
смачнючий	- 		-  23
собі		себе 	pron:refl:m:v_dav 	 0
солідарність	солідарність 	noun:f:v_naz 	 15
спасибі		спасибі noun:n:v_naz:nv:np 	  11
спасибі		спасибі noun:n:v_naz:nv:np 	 11
специфічна	специфічний adj:f:v_naz 2
спецій		спеція 	noun:p:v_rod  0
спині		спин 	noun:f:v_mis  0
спині		спина 	noun:f:v_mis  0
спогади		спогад 	noun:p:v_naz  6
Сподобався	сподобатися 	verb:rev:past:m:perf  20
сподобався	сподобатися 	verb:rev:past:m:perf  20
сподобалась	сподобатися 	verb:rev:past:f:perf  20
сподобались	сподобатися 	verb:rev:past:p:perf  20
сподобалося	сподобатися 	verb:rev:past:n:perf  20
сподобалося	сподобатися 	verb:rev:past:n:perf  20
сподобалося	сподобатися 	verb:rev:past:n:perf  20
сподобалося	сподобатися 	verb:rev:past:n:perf  20
сподобалося	сподобатися 	verb:rev:past:n:perf  20
сподобалося	сподобатися 	verb:rev:past:n:perf  20
сподобалось	сподобатися 	verb:rev:past:n:perf  20
сподобалось	сподобатися 	verb:rev:past:n:perf  20
сподобалось	сподобатися 	verb:rev:past:n:perf  20
спочатку	спочатку 	adv  0
Справді		справді insert  0
сприймати	сприймати 	verb:inf:imperf  0
сприймають	сприймати 	verb:pres:p:3:imperf  0
Спробував	спробувати 	verb:past:m:perf  0
спробувати	спробувати 	verb:inf:perf  0
стала		стати 	verb:past:f:perf  0
стали		стати 	verb:past:p:perf  0
стандартний	стандартний 	adj:m:v_naz:compb  0
статуєю		статуя 	noun:f:v_oru  0
стверджувати	стверджувати 	verb:inf:imperf  0
створювали	створювати 	verb:past:p:imperf  0
стін		стіна 	noun:p:v_rod  0
стінки		стінка 	noun:f:v_rod 	 0
страв		страва 	noun:p:v_rod  0
страв		страва 	noun:p:v_rod  0
стравами	страва 	noun:p:v_oru  0
стравах		страва 	noun:p:v_mis  0
Страви		страва 	noun:p:v_naz  0
страшно		страшно adv:compb  0
студентів	студент noun:p:v_rod:anim 	 0
суб'єктивно	суб'єктивно 	adv  8
суб'єктивно	суб'єктивно 	adv  8
суму		сума 	noun:f:v_zna  0
сунути		сунути 	verb:inf:imperf 	 0
суп			суп 	noun:m:v_naz 	 2
супер		супер 	noun:m:v_naz 	 50
супер		супер 	noun:m:v_naz 	 50
СУПЕР		супер 	noun:m:v_naz  50
супер		супер 	noun:m:v_zna  50
суто		суто 	adv  0
сходити		сходити verb:inf:perf  0
сюди		сюди 	adv:&pron:dem  0
Та			та 	 	part  0
та			та 		conj:coord  0
та			та 		conj:coord 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord  0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	 0
та			та 		conj:coord 	part  0
та			та 		conj:coord 	part  0
Та			та 		part  0
Та			та 		part  0
таблички	табличка 	noun:f:v_rod  0
так			так 	adv:&pron:dem  0
так			так 	adv:&pron:dem 	 0
така		такий 	adj:f:v_naz:&pron:def  0
такого		такий 	adj:m:v_rod:&pron:def   0
такого		такий 	dj:m:v_rod:&pron:def 	  0
Такої		такий 	adj:f:v_rod:&pron:def  0
такої		такий 	adj:f:v_rod:&pron:def  0
там			там 	adv:&pron:dem 0
там			там 	adv:&pron:dem  0
там			там 	adv:&pron:dem  0
там			там 	adv:&pron:dem 	 0
там			там 	adv:&pron:dem  0
там			там 	adv:&pron:dem  0
там			там 	adv:&pron:dem 	  0
там			там 	adv:&pron:dem 	 0
там			там 	adv:&pron:dem 	 0
там			там 	adv:&pron:dem 	 0
там			там 	adv:&pron:dem 	 0
там			там 	part  0
те			той 	adj:n:v_naz:&pron:dem	 0
те			той 	adj:n:v_naz:&pron:dem 	 0
те			той 	adj:n:v_naz:&pron:dem	adj:n:v_zna:&pron:dem (те pron:dem:n:v_zna ) 0
теж			теж 	adv  0
теж			теж 	adv 	 0
теж			теж 	adv 	 0
теж			теж 	adv  0
теж			теж 	adv 	 0
теж			теж 	adv 	part  0
тендітної	тендітний 	adj:f:v_rod  0
ти			ти 		pron:pers:s:2:v_naz:anim  0
тиждень		тиждень noun:m:v_naz  0
тим			той 	adj:m:v_oru:&pron:dem  0
ті			той 	adj:p:v_naz:&pron:dem	 0
тільки		тільки 	part  0
тільки		тільки 	part  0
то			то 		conj:subord  0
тому		тому 	adv 	 0
тому		тому 	conj:subord  0
тонах		тон 	noun:p:v_mis  0
точно		точно 	adv  0
точно		точно 	adv  0
тощо		тощо 	part  0
треба		треба 	predic  0
треба		треба 	predic  0
тренінгів	тренінг 	noun:p:v_rod  0
Трошки		трошки 	adv  0
туалетах	туалет 	noun:p:v_mis  0
туалеті		туалет 	noun:m:v_mis  0
туалету		туалет 	noun:m:v_rod  0
туристів	турист 	noun:p:v_zna:anim  4
Тут			тут 	adv:&pron:dem  0
тут			тут 	adv:&pron:dem  0
тут			тут 	adv:&pron:dem  0
Тут			тут 	adv:&pron:dem  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u   0
у			у 		prep:rv_mis:v-u   0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u   0
у			у 		prep:rv_mis:v-u  0
У			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u  0
у			у 		prep:rv_mis:v-u   0
у			у 		prep:rv_mis:v-u   0
у			у 		prep:rv_mis:v-u  0
уваги		увага 	noun:f:v_rod  0
удару		удар 	noun:m:v_rod  -3
Україні		Україна noun:f:v_mis  19
Український	український 	adj:m:v_naz 	 19
умови		умова 	noun:f:v_rod 	 0
унікальними	унікальний 	adj:p:v_oru:compb  0
участь		участь	noun:f:v_naz 	  3
файно		файно 	adv  28
фантазувати	фантазувати 	verb:inf:imperf  3
фахівців	фахівець 	noun:p:v_rod:anim 	  25
Фішка		фішка 	noun:f:v_naz  0
фон			фон 	noun:m:v_naz 	noun:m:v_zna (noun:m:v_rod:anim:fname) 0
фотографії	фотографія 	noun:p:v_zna  0
хлистом		хлист 	noun:m:v_oru  -6
хлистом		хлист 	noun:m:v_oru  -6
Хлопців		хлопець noun:p:v_rod:anim 	noun:p:v_zna:anim  0
хлопця		хлопець noun:m:v_zna:anim  0
хлопчики	хлопчик noun:p:v_naz:anim  0
хороший		хороший adj:m:v_naz:compb 	 28
хоча		хоча  	part  0
хоча		хоча 	conj:subord  0
хоча		хоча 	part  0
Хоча		хоча 	part  0
хочу		хотіти 	verb:unknown  0
Хочу		хотіти 	verb:unknown  0
Христовим	Христовий 	adj:m:v_oru 	 0
хто			хто 	pron:int:rel:m:v_naz:anim  0
хутром		хутро 	noun:n:v_oru  0
це			цей 	adj:n:v_naz:&pron:dem 	  0
Це			цей 	adj:n:v_naz:&pron:dem	 0
це			цей 	adj:n:v_naz:&pron:dem 	  0
це			цей 	adj:n:v_naz:&pron:dem 	 0
Це			цей 	adj:n:v_naz:&pron:dem	 0
Це			цей 	adj:n:v_naz:&pron:dem 	 0
це			цей 	adj:n:v_naz:&pron:dem	 0
це			цей 	adj:n:v_naz:&pron:dem 	 0
Це			цей 	adj:n:v_naz:&pron:dem	 0
Це			цей 	adj:n:v_naz:&pron:dem	 0
це			цей 	adj:n:v_zna:&pron:dem 0
Цей			цей 	adj:m:v_naz:&pron:dem	 0
центрі		центр 	noun:m:v_mis  0
цим			цей 	adj:m:v_oru:&pron:dem 	 0
цим			цей 	adj:m:v_oru:&pron:dem   0
цікаві		цікавий adj:p:v_naz:compb  12
цікаво		цікаво 	adv:compb  12
ціни		ціна 	noun:f:v_rod -6
цього		цей 	adj:m:v_rod:&pron:dem  0
цього		цей 	adj:n:v_rod:&pron:dem  0
час від часу	час від часу 	</adv>  0
час			час 	noun:m:v_naz 	 0
частина		частина noun:f:v_naz  0
частувань	частування 	noun:p:v_rod  0
червня		червень 	noun:m:v_rod  0
чи			чи 		conj:coord:subord  0
чилі		чилі 	noun:m:v_naz:nv:np 	 0
чоловік		чоловік noun:m:v_naz:anim  0
чоловіка	чоловік noun:m:v_rod:anim 	 0
чоловіка-іноземця	чоловік-іноземець 	noun:m:v_rod:anim 	 0
чоловічі	чоловічий 	adj:p:v_naz 0
Чомусь		чомусь 	adv:&pron:ind  0
чорно-червоних	чорно-червоний		adj:p:v_mis:compb  0
Шикарний	шикарний 	adj:m:v_naz 	 50
шмагає		шмагати verb:pres:s:3:imperf  -8
шмагали		шмагати 	verb:past:p:imperf  -8
шмагають	шмагати 	verb:pres:p:3:imperf  -8
шмагають	шмагати 	verb:pres:p:3:imperf  -8
шмагають	шмагати verb:pres:p:3:imperf  -8
шоу			шоу 	noun:n:v_naz:nv  10
Ще			ще 		adv 0
ще			ще 		adv  0
ще			ще 		adv 	 0
ще			ще 		adv 	 0
ще			ще		adv 	  0
що			що 		conj:subord 	 0
що			що 		conj:subord 	 0
що			що 		conj:subord 	 0
що			що 		conj:subord 	 0
що			що 		conj:subord 	 0
що			що 		conj:subord  0
що			що 		conj:subord 	 0
Що			що 		conj:subord 	 0
що			що 		conj:subord 	  0
що			що 		conj:subord 	  0
що			що 		conj:subord 	  0
що			що 		conj:subord 	 0
що			що 		conj:subord  0
що			що 		pron:int:rel:n:v_naz 0
що			що 		pron:int:rel:n:v_naz 0
що			що 		pron:int:rel:n:v_naz  0
щоденних	щоденний 	adj:p:v_rod 	 0
щось		щось 	pron:ind:n:v_zna  0
щось		щось 	pron:ind:n:v_zna  0
щось		щось 	pron:ind:n:v_zna  0
щось		щось 	pron:ind:n:v_zna  0
юних		юний 	adj:p:v_rod 	 4
Я			я 		pron:pers:s:1:v_naz:anim  0
Я			я 		pron:pers:s:1:v_naz:anim  0
я			я 		pron:pers:s:1:v_naz:anim 0
Я			я 		pron:pers:s:1:v_naz:anim 0
Я			я 		pron:pers:s:1:v_naz:anim 0
явно		явно 	adv  0
явно		явно 	adv  0
явно		явно 	adv  0
яйця		яйце 	noun:p:v_zna  0
Як			як 	 	part  0
як			як 	 	part  0
як			як 	 	part  0
Як			як 		noun:m:v_naz:anim  0
як			як 		part  0
Як			як 		part  0
як			як 		part  0
Як			як 		part  0
як			як 		part  0
Як			як 		part  0
як			як 		part  0
яка			який 	adj:f:v_naz:&pron:int:rel:def 0
яка			який 	adj:f:v_naz:&pron:int:rel:def 0
Якби		якби 	conj:subord  0
який		який 	adj:m:v_naz:&pron:int:rel:def	 0
яких		який 	adj:p:v_mis:&pron:int:rel:def	 0
які			який 	adj:p:v_naz:&pron:int:rel:def	 0
які			який 	adj:p:v_naz:&pron:int:rel:def	 0
Які			який 	adj:p:v_naz:&pron:int:rel:def	 0
які			який 	adj:p:v_naz:&pron:int:rel:def	 0
якісь		якийсь 	adj:p:v_naz:&pron:ind 	adj:p:v_zna:&pron:ind  0
якості		якість 	noun:f:v_rod 0
як-то		як 		adv:&pron:int:rel 	  0
яку			як 		noun:m:v_mis:anim  0
якщо		якщо 	conj:subord  0
Яскраві		яскравий 	adj:p:v_naz:compb 	 0
