Iaryna Rizhok 20-30 female
Доброго	               adj:m:v_rod:compb  25
двору	               noun:m:v_rod  -3
в	                   prep:rv_mis:v-u  0
другому	               adj:m:v_mis  2
дешевого	           adj:m:v_rod:compb  4
генделика	           noun:m:v_rod  0
Кухня	               noun:f:v_naz  17
так	                   part  1
собі	               (part)pron:refl:m:v_dav  -1
пиво	               noun:n:v_zna  2
Лінивий	               adj:m:v_naz:compb  -2
пес	                   noun:m:v_naz:anim  3
гіршого	               adj:m:v_rod:compr  -15
ще	                   part  1
не	                   part  -1
пила	               verb:past:f:imperf  2
У	                   prep:rv_mis:v-u  2
інтер'єрі	           noun:m:v_mis  5
є	                   verb:pres:p:3:imperf  2
цікаві	               adj:p:v_zna:compb  16
моменти	               noun:p:v_zna 18
але	                   conj:coord  1
то	                   conj:subord  -1
радше	               adv  2
декор	               noun:m:v_zna  10
ніж	                   conj:subord  7
стиль	               noun:m:v_zna  22
Хочеться	           verb:unknown  1
справжнього	           adj:m:v_rod  12
пабу	               noun:m:v_rod  3
нехай	               part  1
і	                   conj:coord  1
львівського	           adj:m:v_rod  23
більше	               adv:compr  2
хуліганства	           noun:n:v_rod  -21
смачного	           adj:m:v_rod:compb  19
пива	               noun:n:v_rod  5
і	                   conj:coord  0
якихось	               adj:p:v_rod:&pron:ind  0
смаколиків	           noun:p:v_rod  22
до	                   noun:n:v_rod  1
на	                   prep:rv_zna  4
різні	               adj:p:v_zna  1
смаки	               noun:p:v_zna 5
і	                   conj:coord  1
гаманці	               noun:m:v_zna  4
Атмосферу	           noun:f:v_zna  19
створюють	           verb:pres:p:3:imperf  1
люди	               noun:p:v_naz:anim  3
а	                   conj:coord  0
не	                   part  0
вивіска	               noun:f:v_naz  1
Мене	               pron:pers:s:1:v_rod:anim 1
б	                   part  1
туди	               adv:&pron:dem  1
вдруге	               adv:v-u  1
могло	               verb:unknown  3
б	                   part  0
заманити	           verb:inf:perf  7
хіба	               part  0
величезний	           adj:m:v_zna  25
вибір	               noun:m:v_zna  12
пива	               noun:n:v_rod  7
але	                   conj:coord  0
якісного	           adj:m:v_rod:compb  24
і	                   conj:coord  1
веселий	               adj:m:v_zna:compb  24
персонал	           noun:m:v_zna  8
байкерської	           adj:f:v_rod  0
зовнішності	           noun:f:v_rod  1
 Сьогодні	           adv  0
13	                   number  -5
березня	               noun:m:v_rod  -2
о	                   prep:rv_zna  0
21:20	               time  -2
я	                   pron:pers:s:1:v_naz:anim 2
і	                   conj:coord  0
мій	                   adj:m:v_naz:&pron:pos  3
хлопець	               noun:m:v_naz:anim  1
змушені	               adjp:pasv:past:p:v_naz  -3
були	               verb:past:p:imperf  2
покинути	           verb:inf:perf  -5
Ваш	                   adj:m:v_zna:&pron:pos  1
заклад	               noun:m:v_zna  3
оскільки	           conj:subord  0
нам	                   pron:pers:p:1:v_dav:anim 1
вимкнули	           verb:past:p:perf  -13
світло	               noun:n:v_zna  1
і	                   conj:coord  0
телевізор	           noun:m:v_zna -10
і	                   conj:coord  0
лише	               part  -3
після	               prep:rv_rod  -2
цього	               pron:pers:p:1:v_rod:anim -1
повідомили	           verb:past:f:perf 2
що	                   conj:subord pron:int:rel:n:v_naz  1
вони	               pron:pers:p:3:v_naz:anim 4
закриваються	       verb:rev:pres:p:3:imperf  -16
Коли	               conj:subord  0
я	                   pron:pers:s:1:v_naz:anim 3
спитала	               verb:past:f:perf  2
А	                   conj:coord  0
Ви	                   pron:pers:p:2:v_naz:anim  0
не	                   part  0
працюєте	           verb:pres:p:2:imperf  3
до	                   prep:rv_rod  0
22:00	               time  4
нам	                   pron:pers:p:1:v_dav:anim 2
відповіли	           verb:past:p:perf  3
що	                   conj:subord  pron:int:rel:n:v_naz  1
так	                   part  4
але	                   conj:coord  -2
оскільки	           conj:subord  -2
людей	               noun:p:v_rod:anim  -1
нема	               predic  -4
то	                   conj:subord  1
нема	               predic  0
сенсу	               noun:m:v_rod  12
працювати	           verb:inf:imperf  3
Замовлення	           noun:n:v_zna  6
ми	                   pron:pers:p:1:v_naz:anim 4
зробили	               verb:past:p:perf  6
піцу	               noun:f:v_zna  4
і	                   conj:coord  4
пиво	               noun:n:v_zna  2
але	                   conj:coord  -1
навіть	               part  -1
не	                   part  -1
посиділи	           verb:past:p:perf  3
40хвилин	  1
Виходила	           verb:past:f:imperf  -3
напомацки	           adv  -14
оскільки	           conj:subord  0
зір	                   noun:m:v_zna  3
дуже	               adv  4
поганий	               adj:m:v_zna:compb  -24
і	                   conj:coord  0
оту	                   pron:f:v_zna:&pron:dem  0
масивну	               adj:f:v_zna:compb  -4
дошку	               noun:f:v_zna  -8
внизу	               adv:v-u  -8
сходів	               noun:p:v_rod  4
також	               adv  0
відсували	           verb:past:p:imperf  -14
щоб	                   conj:subord  1
пройти	               verb:inf:perf  2
Обурені	               adjp:pasv:past:p:v_naz  -46
до	                   prep:rv_rod  1
глибини	               noun:f:v_rod  2
душі                   noun:m:v_rod  17
Більше	               adv:compr  1
не	                   part  0
повернемося	           verb:rev:futr:p:1:perf  2
Дякуємо	               verb:pres:p:1:imperf  18
за	                   prep:rv_zna 0
зіпсований	           adjp:pasv:past:m:v_zna  -34
вечір	               noun:m:v_zna  6
Піца	               noun:f:v_naz  45
до	                   prep:rv_rod  0
речі	               noun:f:v_rod </insert>  2
була	               verb:past:f:imperf  5
дуже	               adv  17
непогана	           adj:f:v_naz  7
Шкода	               noun:f:v_naz  -6
що	                   conj:subord pron:int:rel:n:v_naz  1
часу	               noun:m:v_rod  7
нею	                   pron:pers:f:3:v_oru:anim 4
насолодитися	       verb:rev:inf:perf  25
не	                   part  -2
було	               verb:past:n:imperf  2
З	                   prep:rv_oru 0
повагою	               noun:f:v_oru  14
Наталія	               noun:f:v_naz:anim:fname 0
Доброго	               adj:m:v_rod:compb  5
вечора	               noun:m:v_rod  3
Білий	               adj:m:v_naz:compb  10
Лев	                   noun:m:v_naz:anim:fname  15
оптимальний	           adj:m:v_zna:compb  11
варіант	               noun:m:v_zna  5
для	                   prep:rv_rod  0
людей	               noun:p:v_rod:anim  2
які	                   adj:p:v_naz:&pron:int:rel:def 0
бажають	               verb:pres:p:3:imperf  6
відчути	               verb:inf:perf  11
атмосферу	           noun:f:v_zna  16
Львова	               noun:m:v_rod  23
смачно	               adv:compb  31
поїсти	               verb:inf:perf  44
кухня	               noun:f:v_naz  28
божественна	           adj:f:v_naz  50
просто	               part  3
відвідати	           verb:inf:perf  5
приємний	           adj:m:v_zna:compb  15
заклад	               noun:m:v_zna  5
В	                   prep:rv_mis:v-u  -2
Білому	               adj:m:v_mis:compb  1
Леві	               noun:m:v_mis:anim:fname  9
святкувала	           verb:past:f:imperf  13
в	                   prep:rv_mis:v-u  0
компанії	           noun:f:v_mis  8
друзів	               noun:p:v_rod:anim  10
своє	               adj:n:v_zna:&pron:pos  4
день	               noun:m:v_zna  4
народження	           noun:n:v_zna  22
відтоді	               adv:&pron:dem  2
і	                   conj:coord  0
полюбила	           verb:past:f:perf  20
даний	               adjp:pasv:past:m:v_zna  0
паб	                   noun:m:v_zna  4
Не	                   part  0
можу	               verb:unknown  2
проігнорувати	       verb:inf:perf  -3
останній	           adj:f:v_zna  0
коментар	           noun:m:v_zna  3
Миколи	               noun:m:v_rod:anim:fname -1
телефонна	           adj:f:v_naz  3
резервація	           noun:f:v_naz  5
повністю	           adv  8
погоджуюсь	           verb:rev:pres:s:1:imperf  11
з	                   prep:rv_rod:rv_zna:rv_oru  0
його	               pron:pers:m:3:v_oru:anim  0
думкою	               noun:f:v_oru  2
бажаю	               verb:pres:s:1:imperf  4
адміністраторам	       noun:p:v_dav:anim  8
якнайшвидше	           adv:super  18
вирішити	           verb:inf:perf  10
проблему	           noun:f:v_zna  -3
Хотілося	           verb:unknown  1
б	                   part  0
порекомендувати	       verb:inf:perf  15
ресторан	           noun:m:v_zna  5
туристам	           noun:p:v_dav:anim  25
людям	               noun:p:v_dav:anim  2
що	                   conj:subord pron:int:rel:n:v_naz  0
вперше	               adv:v-u  4
у	                   prep:rv_mis:v-u  -1
Львові	               noun:m:v_mis  23
Додатковий	           adj:m:v_zna  5
плюс	               noun:m:v_zna  14
музика	               noun:f:v_naz  36
джаз	               noun:m:v_naz  40
та	                   conj:coord  -1
рок-гурти	           noun:p:v_naz  21
Персонал	           noun:m:v_naz  5
приємні	               adj:p:v_zna:compb  16
ввічливі	           adj:p:v_naz:v-u  20
офіціанти	           noun:p:v_naz:anim  3
уважні	               adj:p:v_naz:compb  26
до	                   prep:rv_rod  1
клієнта	               noun:m:v_rod:anim  4
Жодного	               adj:m:v_rod:&pron  -2
разу	               noun:m:v_rod  0
не	                   part  0
очікувала	           verb:past:f:imperf  4
замовлення	           noun:n:v_zna 7
надто	               adv  3
довго	               adv:compb  -3
Кухня	               noun:f:v_naz  18
різноманітність	       noun:f:v_zna  32
страв	               noun:p:v_rod  20
закусок	               noun:p:v_rod  20
напоїв	               noun:p:v_rod  20
смаколиків	           noun:p:v_rod  20
Смачно	               adv:compb  20
за	                   prep:rv_oru 0
розумною	           adj:f:v_oru:compb  27
ціною	               noun:f:v_oru  0
Інтер'єр	           noun:m:v_naz  13
вишуканий	           adjp:pasv:past:m:v_zna:compb 21
атмосферний	           adj:m:v_zna  23
достатньо	           adv  1
стриманий	           adjp:pasv:past:m:v_zna:compb 6
увагу	               noun:f:v_zna  13
прикували	           verb:past:p:perf  19
постери	               noun:p:v_zna  25
на	                   prep:rv_mis  -1
стінах	               noun:p:v_mis  10
приємно	               adv:compb  24
здивована	           adjp:pasv:past:f:v_naz  24
велетенська	           adj:f:v_naz  3
статуя	               noun:f:v_naz  4
лева	               noun:m:v_rod  23
креативне	           adj:n:v_zna:compb  26
меню	               noun:n:v_zna:nv  16
Паб	                   noun:m:v_naz  7
широко	               adv:compb  3
відвідуваний	       adjp:pasv:past:pres:m:v_naz:compb 31
через	               prep:rv_zna  8
місце	               noun:n:v_zna  3
локації	               noun:f:v_rod  0
центр	               noun:m:v_naz  21
Львова	               noun:m:v_rod  23
біля	               adv  17
Ринок	               noun:m:v_naz  7
користується	       verb:rev:pres:s:3:imperf 2
популярністю	       noun:f:v_oru  4
Бажаю	               verb:pres:s:1:imperf  16
адміністраторам	       noun:p:v_dav:anim  6
прислухатись	       verb:rev:inf:imperf  11
до	                   prep:rv_rod  -1
негативних	           adj:p:v_rod:compb  -21
відгуків	           noun:p:v_rod  2
вдосконалювати	       verb:inf:imperf:v-u  26
свою	               adj:f:v_zna:&pron:pos  0
роботу	               noun:m:v_rod:anim  3
роботу	               noun:m:v_zna:anim  3
своїх	               adj:p:v_rod:&pron:pos  1
працівників	           noun:p:v_rod:anim  5
Керуючись	           advp:rev:imperf  1
власним	               adj:m:v_oru  2
досвідом	           noun:m:v_oru  13
перебування	           noun:n:v_rod  6
в	                   prep:rv_mis:v-u  2
Білому	               adj:m:v_mis:compb  10
Леві	               noun:m:v_mis:anim:fname  13
можу	               verb:unknown  2
висловити	           verb:inf:perf  6
свій	               adj:m:v_zna:&pron:pos  1
захват	               noun:m:v_zna  39
чудове	               adj:n:v_zna:compb  41
місце	               noun:n:v_zna  2
для	                   prep:rv_rod  1
святкувань	           noun:p:v_rod  19
визначних	           adj:p:v_rod:compb  9
днів	               noun:p:v_rod  1
чи	                   conj:coord:subord  0
просто	               adv:compb  0
цікаво	               adv:compb  16
та	                   conj:coord  2
смачно	               adv:compb  23
проведеного	           adjp:pasv:past:m:v_rod  2
часу	               noun:m:v_rod  3
Бажаю	               verb:pres:s:1:imperf  8
прагнути	           verb:inf:imperf  4
до	                   prep:rv_rod  2
кращого	               adj:m:v_rod:compr  18
Моя	                   adj:f:v_naz:&pron:pos  4
оцінка	               noun:f:v_naz  6
позитивна	           adj:f:v_naz:compb  25
Нехай	               part  11
щастить	               verb:pres:s:3:imperf  32
 32
