vukliuk 20-30 female
встигли		verb:past:p:perf:v-u -10
то			conj:subord 0
прилипли	verb:past:p:perf -10
до			prep:rv_rod 0
тарілки		noun:f:v_rod 0
так			adv 0
що			conj:subord 0
аж			part 0
відривати	verb:inf:imperf -10
доводилось	verb:rev:past:n:imperf -10
з			prep:rv_rod 0
сир			noun:m:v_naz 0
просто		adv:compb 0
випадав		verb:past:m:imperf -10
навіть		part 0
прилипав	verb:past:m:imperf -10
до			prep:rv_rod 0
тарілки		noun:f:v_rod 0
листя		noun:n:v_naz 0
тих			pron:dem:p:v_rod 0
сухих		adj:p:v_rod:compb 0
було		verb:past:n:imperf 0
дуже		adv 0
тверде		adj:n:v_naz:compb -10
доводилось	verb:rev:past:n:imperf -10
довго		adv:compb -10
жувати		verb:inf:imperf -10
На			prep:rv_mis 0
столі		noun:m:v_mis 0
було		verb:past:n:imperf 0
трішки		adv 0
брудно		adv:compb -10
а			conj:coord 0
соєвий		adj:m:v_naz 0
соус		noun:m:v_naz 10
виявився	verb:rev:past:m:perf -10
солодким	adj:m:v_oru:compb 10
наче		conj:subord  0
сік			noun:m:v_naz noun:m:v_zna 0
коли		conj:subord 0
викликали	verb:past:p:perf 0
офіціанта	noun:m:v_zna:anim 0
аби			conj:subord 0
вона		pron:pers:f:3:v_naz:anim 0
поміняла	verb:past:f:perf 0
соус		noun:m:v_zna 0
вона		pron:pers:f:3:v_naz:anim 0
почала		verb:past:f:perf 0
казати		verb:inf:imperf 0
що			conj:subord 0
він			pron:pers:m:3:v_naz:anim 0
в			prep:rv_mis:v-u 0
них			pron:pers:p:3:v_mis:anim 0
весь		pron:dem:m:v_naz 0
такий		pron:def:m:v_naz 0
і			conj:coord  0
доводила	verb:past:f:imperf 0
нам			pron:pers:p:1:v_dav:anim 0
що			conj:subord 0
таким		pron:def:m:v_oru 0
він			pron:pers:m:3:v_naz:anim 0
має			verb:pres:s:3:imperf 0
бути		verb:inf:imperf 0
після		prep:rv_rod 0
того		pron:dem:n:v_rod 0
ми			pron:pers:p:1:v_naz:anim 0
взяли		verb:past:p:perf 0
інший		pron:def:m:v_zna 0
соус		noun:m:v_zna 10
в			prep:rv_mis:v-u 0
такій		pron:def:f:v_mis 0
же			part 0
пляшечці	noun:f:v_mis 0
з			prep:rv_rod 0
іншого		pron:def:m:v_rod 0
столика		noun:m:v_rod 0
і			conj:coord 0
явно		adv 0
на			prep:rv_zna 0
смак		noun:m:v_zna 10
він			pron:pers:m:3:v_naz:anim 0
був			verb:past:m:imperf 0
солоним		adj:m:v_oru:compb 10
таким		pron:def:m:v_oru 0
як			conj:subord 0
повинен		predic 0
бути		verb:inf:imperf 0
Коли		conj:subord 0
попросили	verb:past:p:perf 0
рахунок		noun:m:v_zna 0
я			pron:pers:s:1:v_naz:anim 0
знов		adv 0
зробила		verb:past:f:perf 0
зауваження	noun:n:v_zna -10
стосовно	adv 0
і			conj:coord 0
навіть		part 0
казала		verb:past:f:imperf 0
аби			conj:subord 0
офіціантка	noun:f:v_naz:anim 0
сама		adj:f:v_naz 0
його		pron:pers:m:3:v_zna:anim 0
вона		pron:pers:f:3:v_naz:anim 0
знов		adv 0
відмовлялась	verb:rev:past:f:imperf -10
і			conj:coord 0
казала		verb:past:f:imperf 0
що			conj:subord 0
він			pron:pers:m:3:v_naz:anim 0
такий		pron:def:m:v_naz 0
є			verb:pres:s:3:imperf 0
коли		conj:subord 0
покликали	verb:past:p:perf 0
адміністратора	noun:m:v_zna:anim 0
вона		pron:pers:f:3:v_naz:anim 0
попробувала	verb:past:f:perf 0
соус		noun:m:v_zna 0
і			conj:coord 0
сама		adj:f:v_naz 0
підтвердила	verb:past:f:perf 10
що			conj:subord 0
так			adv 0
Щодо		prep:rv_rod 0
туалету		noun:m:v_rod 0
то			conj:subord 0
можу		verb:unknown 0
сказати		verb:inf:perf 0
що			conj:subord 0
він			pron:pers:m:3:v_naz:anim 0
був			verb:past:m:imperf 0
теж			adv  0
не			part 0
охайним		adj:m:v_oru:compb 10
Своє		pron:pos:n:v_zna 0
зауваження	noun:n:v_zna -10
я			pron:pers:s:1:v_naz:anim 0
пишу		verb:pres:s:1:imperf 0
тут			adv 0
аби			conj:subord 0
люди		noun:p:v_naz:anim 0
були		verb:past:p:imperf 0
обачними	adj:p:v_oru:compb 10
і			conj:coord 0
не			part 0
пропускали	verb:past:p:imperf -10
таке		pron:def:n:v_zna 0
очей		noun:p:v_rod 0
і			conj:coord 0
вух			noun:p:v_rod 0
адже		conj:subord 0
йдуть		verb:pres:p:3:imperf 0
у			prep:rv_zna:rv_mis:rv_rod:v-u 0
кафе		noun:p:v_zna:nv 0
аби			conj:subord 0
смачно		adv:compb 10
попоїсти	verb:inf:perf 10
чи			conj:coord:subord 0
розслабитись	verb:rev:inf:perf 10
а			conj:coord 0
натрапляти	verb:inf:imperf 0
на			prep:rv_zna 0
такі		pron:def:p:v_zna 0
речі		noun:p:v_zna 0
є			verb:pres:s::imperf 0
неприємно	adv:compb -10
я			pron:pers:s:1:v_naz:anim 0
більше		adv:compr  0
у			prep:rv_zna:v-u 0
цей			pron:dem:m:v_zna 0
заклад		noun:m:v_zna 0
не			part 0
піду		verb:futr:s:1:perf 0
бо			conj:subord 0
обслуговування	noun:n:v_naz 0
та			conj:coord 0
і			part 0
сам			pron:def:m:v_naz 0
смак		noun:m:v_naz 10
їжі			noun:f:v_rod 10
не			part 0
відповідають	verb:pres:p:3:imperf 0
ціні		noun:f:v_dav 0
кожен		adj:m:v_naz:contr 0
є			verb:pres:s:3:imperf 0
людиною		noun:f:v_oru:anim 0
і			conj:coord 0
повинен		predic 0
шанувати	verb:inf:imperf 10
себе		pron:refl:m:v_zna 0
та			conj:coord 0
інших		pron:def:p:v_zna 0
Була		verb:past:f:imperf 0
вже			adv:v-u 0
кілька		numr:p:v_naz 0
разів		noun:p:v_rod 0
в			prep:rv_mis:v-u 0
Маки		noun:p:v_naz 10
замовляли	verb:past:p:imperf 0
і			conj:coord 0
і			conj:coord 0
десерти		noun:p:v_zna 10
смачно		adv:compb 10
якісно		adv:compb 10
демократично	adv 20
Приємний	adj:m:v_naz:compb 10
персонал	noun:m:v_naz 0
дякую		verb:pres:s:1:imperf 0
Вчора		adv:v-u 0
зайшла		verb:past:f:perf 0
в			prep:rv_zna:v-u 0
свій		pron:pos:m:v_zna 0
улюблений	adjp:pasv:past:m:v_zna:compb 20
заклад		noun:m:v_zna 0
в			prep:rv_zna:v-u 0
Ми			pron:pers:p:1:v_naz:anim 0
з			prep:rv_oru 0
подругою	noun:f:v_oru:anim 0
замовили	verb:past:p:perf 0
обидві		numr:f:v_naz 0
одне		numr:n:v_zna 0
й			conj:coord 0
те			pron:dem:n:v_zna 0
саме		adj:n:v_zna 0
наші		pron:pos:p:v_zna 0
улюблені	adjp:pasv:past:p:v_zna:compb 20
налисники	noun:p:v_zna 10
з			prep:rv_oru 0
вишнями		noun:p:v_oru 10
відразу		adv  0
стало		verb:past:n:perf 0
дивно		adv:compb -10
переважно	adv 0
вони		pron:pers:p:3:v_naz:anim 0
запечені	adjp:pasv:past:p:v_naz 0
а			conj:coord 0
тут			adv 0
принесли	verb:past:p:perf 0
обжарені	adjp:pasv:past:p:v_zna 0
в			prep:rv_mis:v-u 0
яйці		noun:n:v_mis 0
Напишу		verb:futr:s:1:perf 0
коротко		adv:compb 0
ніч			noun:f:v_naz 0
в			prep:rv_zna:v-u 0
мене		pron:pers:s:1:v_zna:anim 0
була		verb:past:f:imperf 0
не			part 0
веселою		adj:f:v_oru:compb 10
а			conj:coord 0
потім		adv 0
як			adv 0
виявилося	verb:rev:past:n:perf 0
і			part 0
в			prep:rv_rod:v-u 0
подруги		noun:f:v_rod:anim 10
теж			adv 0
Вельми		adv 0
дякую		verb:pres:s:1:imperf 0
був			verb:past:m:imperf 0
мій			pron:pos:m:v_naz 0
останній	adj:m:v_naz -10
візит		noun:m:v_naz 0
нам			pron:pers:p:1:v_dav:anim 0
не			part 0
подобалось	verb:rev:past:n:imperf -10
взагалі		adv:v-u 0
ціни		noun:p:v_naz 0
завищені	adjp:pasv:past:p:v_naz -20
ніж			conj:subor 0
інде		adv 0
у			prep:rv_mis:v-u 0
Львові		noun:m:v_mis 10
карточка	noun:f:v_naz 0
Локаль		noun:f:v_naz 0
не			part 0
діє			verb:pres:s:3:imperf 0
хоча		conj:subord 0
для			prep:rv_rod 0
таких		pron:def:p:v_rod 0
цін			noun:p:v_rod 0
вона		pron:pers:f:3:v_naz:anim 0
і			part 0
зроблена	adjp:pasv:past:f:v_naz 0
одним		numr:n:v_oru 0
словом		noun:n:v_oru 0
шукають		verb:pres:p:3:imperf 0
там			adv 0
лохів		noun:p:v_zna:anim -20
на			prep:rv_zna 0
халяву		noun:f:v_zna -10
ѕерший		adj:m:v_naz 0
і			conj:coord 0
останній	adj:m:v_naz -10
раз			adv noun:m:v_naz 0
ми			pron:pers:p:1:v_naz:anim 0
там			adv 0
були		verb:past:p:imperf 0
я			pron:pers:s:1:v_naz:anim 0
мовчу		verb:pres:s:1:imperf 0
про			prep:rv_zna 0
офіціантів	noun:p:v_zna:anim 0
ну			part 0
інтер'єр	noun:m:v_naz 0
тут			adv 0
як			conj:subord  0
говорять	verb:pres:p:3:imperf 0
кожному		pron:def:m:v_dav 0
своє		pron:pos:n:v_zna 0
вибачте		verb:impr:p:2:perf 0
будь		verb:impr:s:2:imperf 0
ласка		noun:f:v_naz 0
недоважити	verb:inf:perf -10
чи			conj:coord:subord 0
недоробити	verb:inf:perf -10
чи			conj:coord:subord 0
пожаліти	verb:inf:perf -10
200			number 0
за			prep:rv_zna 0
які			pron:int:rel:def:p:v_zna 0
взяли		verb:past:p:perf -10
гроші		noun:p:v_zna 0
ХАМСТВО		noun:n:v_naz -30
я			pron:pers:s:1:v_naz:anim 0
розумію		verb:pres:s:1:imperf 0
є			verb:pres:s:3:imperf 0
якась		pron:ind:f:v_naz 0
похибка		noun:f:v_naz 0
але			conj:coord 0
в			prep:rv_mis:v-u 0
меню		noun:n:v_mis:nv 0
написано	verb:impers:perf 0
750			number 0
а			conj:coord 0
насправді	adv 0
550			number 0
не			part 0
не			part 0
даремно		adv -10
вони		pron:pers:p:3:v_naz:anim 0
мені		pron:pers:s:1:v_dav:anim 0
такими		pron:def:p:v_oru 0
мініатюрними	adj:p:v_oru -10
здались		verb:rev:past:p:perf 0
Довго		adv:compb 0
ви			pron:pers:p:2:v_naz:anim 0
з			prep:rv_oru 0
таким		pron:def:n:v_oru 0
відношенням	noun:n:v_oru 0
не			part 0
протягнете	verb:futr:p:2:perf -10
і			conj:coord 0
моя			pron:pos:f:v_naz 0
антиреклама	noun:f:v_naz -20
вам			pron:pers:p:2:v_dav:anim 0
забезпечена	adjp:pasv:past:f:v_naz 0
не			part 0
найкращі	adj:p:v_naz:super 30
міста		noun:n:v_rod 0
але			conj:coord 0
і			part 0
не			part 0
найгірші	adj:p:v_naz:super -30
ціна		noun:f:v_naz 0
якість		noun:f:v_naz 0
саме		adv 0
хочу		verb:unknown 0
замовити	verb:inf:perf 0
до			prep:rv_rod 0
дому		noun:m:v_rod 0
ніяк		adv 0
не			part 0
можу		verb:unknown 0
найти		verb:inf:perf 0
вас			pron:pers:p:2:v_zna:ani 0
