Fedorchak 20-30 male
Цієї	      pron:f_rod  10
бажання	       noun:p:v_zna  38
Піца	       noun:f:v_naz  50
хороша	       adj:f:v_naz:compb  11
персонал	   noun:m:v_naz  35
приємний	   adj:m:v_naz:compb  40
Другий	      adj:m:v_naz  10
раз	           noun:m:v_naz  10
прийшли	       verb:past:p:perf  10
з	           prep:rv_rod:rv_zna:rv_oru  10
іноземним	  adj:m:v_oru  21
гостем	       noun:m:v_oru:anim  21
замовили	  verb:past:p:perf  21
набір	       noun:m:v_zna  21
суші	       noun:p:v_zna  41
несмачні	  adj:p:v_zna  -39
не	            part  -39
було	       verb:past:n:imperf  9
вказано	       verb:impers:perf:v-u  9
з	           prep:rv_rod:rv_zna:rv_oru  9
чим	           pron:int:rel:n:v_oru  9
вони	       pron:pers:p:3:v_naz:anim  9
в	           prep:rv_zna:rv_mis:rv_rod:v-u  9
меню	       noun:n:v_mis:nv 9
не	           part  -40
тільки	       adv  -20
не	           part  -40
відповідали	   verb:past:p:imperf  10
картинці	    noun:f:v_dav  20
а	            conj:coord  -10
і	            conj:coord  20
виглядали	    verb:past:p:imperf  30
втомилися	     verb:rev:past:p:perf:v-u  -30
столи	      noun:p:v_naz 20
були	      verb:past:p:imperf  10
брудні	      adj:p:v_naz:compb  -40
Третій	      adj:m:v_naz  12
раз	          noun:m:v_naz  12
не	          part  -38
ризикнемо	 verb:futr:p:1:perf  -8
зайти	     verb:inf:perf  22
Ресторан	 noun:m:v_naz  22
Мафія	     noun:f:v_naz  22
Пишете	    verb:pres:p:2:imperf  22
дурниці	     noun:p:v_zna  -38
там	         adv:&pron:dem  12
просто	     adv:compb  -8
чудово	     adv:compb  50
надзвичайно	 adv  50
все	         adv:v-u  40
смачно	     adv:compb  40
та	         conj:coord  20
ідеально	 adv  50
чисто	     adv:compb  40
Це	         adj:n:v_naz:&pron:dem  10
напевно	     adv  10
пишуть	     verb:pres:p:3:imperf  10
недосвідчені adj:p:v_naz  -30
та	         conj:coord 10
справжні	 adj:p:v_naz 20
хами	     noun:p:v_naz:anim  -40
які	         adj:p:v_naz:&pron:int:rel:def 10
справді	     adv 20
ніде	     adv:&pron:neg  -20
не	         part  -40
були	     verb:past:p:imperf  10
та	         conj:coord  20
нічого	     pron:neg:v_rod -40
не	         part  -40
бачили	     verb:past:p:imperf  20
А	         conj:coord -10
в	         prep:rv_zna:rv_mis:rv_rod:v-u  10
Мафії	     noun:f:v_mis   30
все	         part:v-u  40
справді	     adv 20
чудово	     adv:compb   50
Дякуємо	      verb:pres:p:1:imperf  50
Відстій	      noun:m:v_naz -50
може	     verb:unknown  10
і	          conj:coord  20
були	      verb:past:p:imperf  10
але	          conj:coord  10
ефект	      noun:m:v_naz  20
дали	       verb:past:p:perf  10
нетривалий	   adj:m:v_naz  -20
Персонал	   noun:m:v_naz  20
і	           conj:coord 20
намагається    verb:rev:pres:s:3:imperf 20
надурити	    verb:inf:perf  -30
клієнт          noun:m:v_zna:anim  20
Ігнорування	    noun:n:v_naz -30
замовлень	    noun:p:v_rod  20
або	            conj:coord  9
видавання	    noun:n:v_naz  -6
за	            prep:rv_rod:rv_zna:rv_oru 7
елітні	        adj:p:v_zna  38
напої	        noun:p:v_zna  30
звична	        adj:f:v_naz:compb  16
річ	             noun:f:v_naz  16
Раджу	         verb:pres:s:1:imperf  16
власникам	     noun:p:v_dav:anim  16
зайнятись	     verb:rev:inf:perf  16
цим	            adj:m:v_oru:&pron:dem 16
якщо	        conj:subord  16
вони	        pron:pers:p:3:v_naz:anim 16
не	            part  -40
поховати	   verb:inf:perf  -50
вкладені	    adjp:pasv:past:p:v_zna:v-u  20
гроші	        noun:p:v_zna 20
Бо	            conj:subord 9
всі	            adj:p:v_naz:&pron:dem  29
знають	        verb:pres:p:3:imperf  29
приклади	  noun:p:v_zna 29
колись	      adv:&pron:ind  -17
модних	      adj:p:v_rod:compb 44
у	          prep:rv_zna:rv_mis:rv_rod:v-u  11
Львові	      noun:m:v_mis  50
закладів	   noun:p:v_rod  15
які	           adj:p:v_zna:&pron:int:rel:def 10
через	        prep:rv_zna  -12
поведінку	    noun:f:v_zna  37
персоналу	     noun:m:v_rod  17
втратили	     verb:past:p:perf:v-u  -41
клієнтів	     noun:p:v_zna:anim  36
і	             conj:coord 11
швидко	         adv:compb  38
скотились	     verb:rev:past:p:perf  -35
у	             prep:rv_zna:rv_mis:rv_rod:v-u  9
даруйте	         insert 9
понуре	        adj:n:v_zna  -32
лайно	        noun:n:v_zna  -50
Відродитися	    verb:rev:inf:perf  25
мало	       adv:compb  -13
кому	       pron:int:rel:m:v_dav:anim 11
вдалося	       verb:rev:past:n:perf:v-u  33
Заклад	       noun:m:v_naz   14
для	           prep:rv_rod  9
студентів	   noun:p:v_rod:anim  41
Ресторан	   noun:m:v_naz 15
це	           adj:n:v_naz:&pron:dem 10
голосно	        adv:compb  38
сказано	        verb:impers:perf  8
Мафія	        noun:f:v_naz  35
заклад	        noun:m:v_naz  16
для	            prep:rv_rod  10
невибагливих	 adj:p:v_rod  -16
студентів	    noun:p:v_rod:anim  35
які	            adj:p:v_naz:&pron:int:rel:def 10
ще	            part  10
не	            part  10
заморочуються	 verb:rev:pres:p:3:imperf  -19
якістю	        noun:f:v_oru  10
обслуговування	 noun:n:v_rod 20
От	             part  10
для	             prep:rv_rod  10
них	             pron:pers:p:3:v_rod:anim 10
там	             part  10
все	            adv:v-u   10
супер	        noun:m:v_naz  50
і	            conj:coord 20
ідеально	     adv  50
працює	         verb:pres:s:3:imperf  20
цілодобово	      adv  50
є	             verb:pres:s:3:imperf  10
караоке	          noun:n:v_naz:nv:np  40
можна	          predic  10
взяти	          verb:inf:perf  30
на	              prep:rv_zna:rv_mis  10
компанію	     noun:f:v_zna  40
метрову	         adj:f:v_zna  40
піцу	         noun:f:v_zna  40
й	             conj:coord  20
отримати	     verb:inf:perf  30
вино	         noun:n:v_naz  40
в	             prep:rv_zna:rv_mis:rv_rod:v-u  10
подарунок	     noun:m:v_zna  40
що	             pron:int:rel:n:v_naz  10
ще	             part  10
треба	         predic  10
для	             prep:rv_rod  10
студентських	 adj:p:v_rod  40
судячи	         advp:imperf  -10
з	             prep:rv_rod:rv_zna:rv_oru  10
відгуків	     noun:p:v_rod  20
про	             prep:rv_zna  10
київську	     adj:f:v_zna  40
мережу	         noun:f:v_zna  10
в	             prep:rv_zna:rv_mis:rv_rod:v-u  10
столиці	         noun:f:v_dav  30
вони	         pron:pers:p:3:v_naz:anim  10
й	             conj:coord 10
складають	     verb:pres:p:3:imperf  10
основний	     adj:m:v_zna  40
контингент	     noun:m:v_zna  40
клієнтів         noun:p:v_rod:anim  40
Мафій	         noun:p:v_rod  40
А	             conj:coord  10
дорослим	     noun:p:v_dav:anim  20
тут	             adv:&pron:dem  10
нема	         predic  -20
що	             pron:int:rel:n:v_zna  10
робити	         verb:inf:imperf  10
для	             prep:rv_rod  10
них	             pron:pers:p:3:v_rod:anim  10
у	             prep:rv_zna:rv_mis:rv_rod:v-u  10
Львові	         noun:m:v_mis  50
достатній	     adj:m:v_zna  30
вибір	         noun:m:v_zna  30
закладів	     noun:p:v_rod  30
де	             part  10
за	             prep:rv_rod:rv_zna:rv_oru  10
ті	             adj:p:v_zna:&pron:dem  10
самі	         adj:p:v_zna  10
гроші	         noun:p:v_zna 20
можна	         predic  10
отримати	     verb:inf:perf  10
кращу	         adj:f:v_zna:compr  40
їжу	             noun:f:v_zna  40
і	             conj:coord  20
належний	     adj:m:v_zna  40
сервіс	         noun:m:v_zna  30
Ресторан	     noun:m:v_naz 30
Мафія	         noun:f:v_naz  30
Ми	              pron:pers:p:1:v_naz:anim 10
часто	         adv:compb  20
відвідуємо	      verb:pres:p:1:imperf  20
Мафію	          noun:f:v_zna  20
і	              conj:coord  20
завжди	          adv:&pron:gen  30
все	              part:v-u 30
чисто	          adv:compb  30
неперевершено	   adv  50
смачно	          adv:compb  50
І	              conj:coord   20
обслуговування	   noun:n:v_naz 30
прекрасне	      adj:n:v_naz:compb  40
КАТЕГОРИЧНО	      adv:compb  10
НЕ	               part  -40
В	               prep:rv_zna:rv_mis:rv_rod:v-u  10
РЕСТОРАН	      noun:m:v_zna  30
МАФІЯ	          noun:f:v_naz  30
Вчора	          adv:v-u  30
вперше	           adv:v-u  30
відвідала	       verb:past:f:perf  30
з	               prep:rv_rod:rv_zna:rv_oru  10
чоловіком	       noun:m:v_oru:anim  30
ресторан	       noun:m:v_zna  30
Мафія	           noun:f:v_naz  30
у	               prep:rv_zna:rv_mis:rv_rod:v-u  10
Львові	           noun:m:v_mis  50
Враження	       noun:n:v_naz 30
Треба	           predic  10
було	           verb:past:n:imperf  10
залишити	       verb:inf:perf  10
відгук	           noun:m:v_zna  20
в	               prep:rv_zna:rv_mis:rv_rod:v-u  10
книзі	           noun:f:v_mis  40
скарг	           noun:p:v_rod  -42
та	              conj:coord 10
пропозиція	       noun:f:v_naz  33
часу	          noun:m:v_rod  8
стало	          verb:past:n:perf  8
шкода	           noun:f:v_naz  -25
та	               conj:coord  11
й	               conj:coord  11
чоловік	           noun:m:v_naz:anim  29
попросив	       verb:past:m:perf  -15
в	               prep:rv_zna:rv_mis:rv_rod:v-u  11
такий	           adj:m:v_naz:&pron:def 11
день	           noun:m:v_naz 11
не	               part  -40
псувати	           verb:inf:imperf  -31
собі	           pron:refl:m:v_dav  10
нерви	           noun:p:v_zna  10
40	               number  10
хвилин	           noun:p:v_rod  10
чекали	           verb:past:p:imperf  -10
поки	           conj:subord  -10
до	               prep:rv_rod  10
нас	               pron:pers:p:1:v_mis:anim 10
хтось	           pron:ind:v_naz:anim  10
підійде	           verb:futr:s:3:perf  10
за	               prep:rv_rod:rv_zna:rv_oru  10
цей	               adj:m:v_zna:&pron:dem  10
час	                noun:m:v_naz  10
сусідній	         adj:m:v_zna  10
пишно	           adv:compb  40
неприбраний	      adj:m:v_zna  -40
стіл	           noun:m:v_zna  30
який	           adj:m:v_naz:&pron:int:rel:def 10
ще	               part  10
до	               prep:rv_rod  10
нас	               pron:pers:p:1:v_rod:anim  10
стояв	           verb:past:m:imperf  10
неприбраним	       adj:m:v_oru  -40
так	               adv:&pron:dem 20
залишився	       verb:rev:past:m:perf  10
і	               conj:coord  20
після	           prep:rv_rod  -10
того	           adj:m:v_rod:&pron:dem  10
як	               conj:subord  10
ми	               pron:pers:p:1:v_naz:anim  10
пішли	           verb:past:p:perf  -20
Абсолютно	       adv  20
нікого	           pron:neg:v_rod:anim  -20
з	               prep:rv_rod:rv_zna:rv_oru 10
персоналу	       noun:m:v_rod  20
не	               part  -40
хвилював	       verb:past:m:imperf  -21
обурювались	       verb:rev:past:p:imperf  -28
лише	           part  -14
відвідувачі	       noun:p:v_naz:anim  20
що	               conj:subord   10
нема	           predic  -40
де	               adv:&pron:int:rel  11
сісти	           verb:inf:perf  11
й	               conj:coord  19
не	               part  -40
прибрано	       verb:impers:perf  21
40	               number  10
ХВИЛИН	          noun:p:v_rod  10
Дівчина	          noun:f:v_naz:anim  35
яка	              adj:f:v_naz:&pron:int:rel:def 11
носилась	      verb:rev:past:f:imperf  -13
взад-вперед	      adv  -22
невідомо	      adv  -17
чого	          pron:int:rel:n:v_rod  10
бо	              conj:subord  10
вона	          pron:pers:f:3:v_naz:anim  10
нічого	          pron:neg:v_rod  -19
не	              part  -40
робила	           verb:past:f:imperf  10
лише	           part  -19
бігала	          verb:past:f:imperf  15
навіть	          part  -13
не	              part  -40
підходячи	      advp:imperf  14
до	              prep:rv_rod  14
клієнтів	      noun:p:v_rod:anim  21
Коли	          conj:subord  10
ми	              pron:pers:p:1:v_naz:anim 10
просили	          verb:past:p:imperf  20
її	              pron:pers:f:3:v_rod:anim  10
підійти	          verb:inf:perf  10
вона	          pron:pers:f:3:v_naz:anim  10
лише	          part  -10
обіцяла	          verb:past:f:imperf  20
що	              conj:subord 10
до	              prep:rv_rod  10
нас	              pron:pers:p:1:v_rod:anim  10
хтось	          pron:ind:v_naz:anim  10
підійде	          verb:futr:s:3:perf  10
врешті	          adv:v-u  20
ми	              pron:pers:p:1:v_naz:anim 10
самі	          adj:p:v_naz:&pron:def 10
знайшли	          verb:past:p:perf  10
та	              conj:coord  10
зловили	          verb:past:p:perf  -20
офіціанта	      noun:m:v_zna:anim  20
за	              prep:rv_rod:rv_zna:rv_oru 10
руку	          noun:f:v_zna  10
і	              conj:coord  20
таки	          part  10
примусили	      verb:past:p:perf  -20
взяти	          verb:inf:perf  20
замовлення	      noun:n:v_zna 20
Коли	         conj:subord 			  10
нам	             pron:pers:p:1:v_dav:anim 10
повідомили	     verb:past:p:perf  10
що	             conj:subord   10
на	             prep:rv_zna:rv_mis  10
суші	         noun:p:v_zna  40
треба	         predic  10
чекати	         verb:inf:imperf  -20
40	             number  10
хвилин	         noun:p:v_rod  10
ми	             pron:pers:p:1:v_naz:anim 10
встали	         verb:past:p:perf:v-u  10
й	             conj:coord 20
пішли	         verb:past:p:perf  10
Поїли	         verb:past:p:perf  40
за	             prep:rv_rod:rv_zna:rv_oru  10
рогом	        noun:m:v_oru  10
суші	         noun:p:v_zna  40
які	             adj:p:v_zna:&pron:int:rel:def 10
зготували	     verb:past:p:perf  40
за	              prep:rv_rod:rv_zna:rv_oru  10
15	              number  10
а	             conj:coord  -10
офіціанта	     noun:m:v_zna:anim  20
чекали	         verb:past:p:imperf  -20
10	             number  10
секунд	         noun:p:v_rod  10
І	             conj:coord 20
ще	             part  20
поруч	         prep:rv_rod  10
сиділа	         verb:past:f:imperf  10
пара	          noun:f:v_naz  20
яка	              adj:f:v_naz:&pron:int:rel:def 10
теж	             part  10
не	             part  -40
дочекавшись	     advp:rev:perf  -20
офіціанта	     noun:m:v_rod:anim 20
пішла	         verb:past:f:perf  -20
Хоч	             conj:subord  -10
ресторан	     noun:m:v_naz 20
був	             verb:past:m:imperf  10
повний	         adj:m:v_naz:compb 40
за	             prep:rv_rod:rv_zna:rv_oru 10
40	             number  10
очікування	     noun:n:v_naz -20
офіціанта	     noun:m:v_rod:anim 20
в	             prep:rv_zna:rv_mis:rv_rod:v-u  10
зал	             noun:m:v_zna 40
винесли	         verb:past:p:perf  10
лише	        part  -10
1	            number  10
страву	        noun:f:v_zna  10
А	             conj:coord -10
решта	         noun:f:v_naz  -10
відвідувачів	 noun:p:v_rod:anim 20
гаяли	         verb:past:p:imperf  -30
час	             noun:m:v_zna  10
махаючи	         advp:imperf  30
вашими	         adj:p:v_oru:&pron:pos  10
величезними	     adj:p:v_oru  40
МЕНЮ	         noun:n:v_oru:nv 20
Отже	        conj:subord  -10
можу	        verb:unknown  10
залишити	    verb:inf:perf  -30
своє	        adj:n:v_zna:&pron:pos  10
резюме	       noun:n:v_zna:nv 10
якщо	       conj:subord  10
вам	           pron:pers:p:2:v_dav:anim  10
дорогий	       adj:m:v_naz:compb  40
ваш	           adj:m:v_naz:&pron:pos  10
час	           noun:m:v_naz  10
ви	           pron:pers:p:2:v_naz:anim  10
ціните	       verb:pres:p:2:imperf  20
гарне	       adj:n:v_zna:compb  30
обслуговування	 noun:p:v_zna  20
і	              conj:coord 20
теплу	        adj:f:v_zna:compb 30
атмосферу	    noun:f:v_zna  30
ВАМ	             pron:pers:p:2:v_dav:anim  10
КАТЕГОРИЧНО	     adv:compb  -10
НЕ	            part  -40
В	            prep:rv_zna:rv_mis:rv_rod:v-u  10
РЕСТОРАН	    noun:m:v_zna  20
МАФІЯ	        noun:f:v_naz  20
Шановні	        adj:p:v_naz  40
власники	    noun:p:v_kly:anim  20
директора	     noun:m:v_rod:anim (noun:pl_kly) 40
і	            conj:coord 20
менеджери	    noun:p:v_kly:anim  20
Соромно	        adv  -30
панове	       noun:p:v_kly:anim  30
Ресторан	   noun:m:v_naz  30
такого	       adj:m:v_rod:&pron:def  30
рівня	       noun:m:v_rod  30
а	           conj:coord  10
обслуговування	  noun:n:v_naz 20
гірше	        adj:n:v_naz:compr  -30
ніж	            conj:subord  -10
в	            prep:rv_zna:rv_mis:rv_rod:v-u  10
дешевій	        adj:f:v_mis:compb  -10
забігайлівці    noun:f:v_mis  -40
Кухню	        noun:f:v_zna  -20
оцінити	        verb:inf:perf  20
не	            part  10
можу	        verb:unknown  10
бо	             conj:subord 10
не	             part  -40
спробувала	   verb:past:f:perf  30
там	           adv:&pron:dem  9
їсти	       verb:inf:imperf  44
Сервіс	       noun:m:v_naz  21
НУЛЬОВИЙ	  adj:m:v_naz   -26
Вечеряли	  verb:past:p:imperf  34
в	           prep:rv_zna:rv_mis:rv_rod:v-u  10
мафії	       noun:f:v_mis  33
не	           part  -38
сподобалось	 verb:rev:past:n:perf  42
одразу	     adv  12
що	         conj:subord  12
прибори	     noun:p:v_naz  12
заплямовані	 adjp:pasv:past:p:v_naz  -38
а	         conj:coord  -8
як	         conj:subord  12
потім	     adv:&pron:dem  -8
виявилось	 verb:rev:past:n:perf  2
що	         conj:subord  12
нам	         pron:pers:p:1:v_dav:anim  12
принесли	 verb:past:p:perf  12
ще	         part  12
брудніші	 adj:p:v_zna:compr  -38
прибори	     noun:p:v_zna  12
ніж	         conj:subord   -8
були	     verb:past:p:imperf  12
Адміністратор	 noun:m:v_naz:anim  12
це	           adj:n:v_naz:&pron:dem  10
окрема	       adj:f:v_naz  -10
тема	     noun:f:v_naz  10
сперечалась	 verb:rev:past:f:imperf  -30
з	         prep:rv_rod:rv_zna:rv_oru  10
нами	     pron:pers:p:1:v_oru:anim  10
що	         conj:subord  10
все	          adv:v-u  10
гаразд	      noun:m:v_naz  30
не	           part  -39
вибачившись	  advp:rev:perf  6
навіть	      part -13
просто	      adv:compb  -11
розвернулась	 verb:rev:past:f:perf  -33
і	           conj:coord  19
пішла	       verb:past:f:perf  -19
розмовляти	   verb:inf:imperf  20
з	           prep:rv_rod:rv_zna:rv_oru  10
офіціанткою	   noun:f:v_oru:anim  10
яка	           adj:f:v_naz:&pron:int:rel:def 10
нас	           pron:pers:p:1:v_zna:anim  10
обслуговувала  verb:past:f:imperf  10
Страви	       noun:p:v_naz  31
відверто	   adv:compb  -23
несмачні	   adj:p:v_naz  -39
Шкода	       noun:f:v_naz  -39
що	           conj:subord  15
такий	       adj:m:v_naz:&pron:def  30
заклад	       noun:m:v_naz  30
вбивають	   verb:pres:p:3:imperf:v-u  -50
некваліфіковані	 adj:p:v_naz  -40
працівники	   noun:p:v_kly:anim  18
мені	       pron:pers:s:1:v_dav:anim  10
у	           prep:rv_zna:rv_mis:rv_rod:v-u  10
мафії	       noun:f:v_mis 30
подобається	   verb:rev:pres:s:3:imperf  40
і	           conj:coord  20
мені	       pron:pers:s:1:v_dav:anim  20
у	           prep:rv_zna:rv_mis:rv_rod:v-u  10
мафії	       noun:f:v_mis  20
подобається	   verb:rev:pres:s:3:imperf  30
і	           conj:coord  20
попри	       prep:rv_zna -10
те	           adj:n:v_naz:&pron:dem  10
що	           conj:subord  10
там	           adv:&pron:dem  10
завжди	       adv:&pron:gen  30
купа	       noun:f:v_naz  30
народу	       noun:m:v_rod  30
там	           adv:&pron:dem  10
смачно	       adv:compb  40
класно	       adv  40
і	           conj:coord  20
більша	       adj:f:v_naz:compr  30
частина	       noun:f:v_naz  30
персоналу	   noun:m:v_rod  30
надзвичайно	   adv  40
привітні	    adj:p:v_zna:compb  40
