Karbivska 20-30 female
закладі noun:m:v_mis  2
Потусуватися verb:rev:inf:perf:slang  1
так	part  1
а conj:coord  0
каву noun:f:v_zna  50
тут	adv:&pron:dem  0
пити verb:inf:imperf  0
не part  -1
рекомендую verb:pres:s:1:imperf  50
Напевно	adv  0
місце noun:n:v_zna  0
за prep:rv_zna  0
ці adj:p:v_zna:&pron:dem  0
4 number  0
дні	noun:p:v_zna  0
у prep:rv_mis:v-u  0
Львові noun:m:v_mis  7
Це adj:n:v_naz:&pron:dem  0
саме adv  0
той adj:m:v_naz:&pron:dem  0
заклад noun:m:v_naz  1
в prep:rv_mis:v-u  0
якому adj:m:v_mis:&pron:int:rel:def 0
від	prep:rv_rod  0
задоволення	noun:p:v_zna  43
розширюються verb:rev:pres:p:3:imperf  6
зіниці noun:p:v_zna  10
Найкращий adj:m:v_naz:super  50
заклад noun:m:v_naz  3
у prep:rv_mis:v-u  0
Львові noun:m:v_mis  9
Жива adj:f:v_naz:compb  22
музика noun:f:v_naz  32
смачна adj:f:v_naz:compb  42
запашна adj:f:v_naz  42
кава noun:f:v_naz  50
Офіціанти noun:p:v_naz:anim  0
просто adv:compb  0
дивовижні adj:p:v_naz:compb  50
Кава noun:f:v_naz  50
як part  0
і conj:coord  0
в prep:rv_mis:v-u  0
інших adj:p:v_mis:&pron:def  0
закладах noun:p:v_mis  0
Локаль noun:f:v_zna  10
найсмачніша adj:f:v_naz:super  50
Обов'язково adv  2
скуштуйте verb:impr:p:2:perf  10
І conj:coord  0
не part  -1
забудьте verb:impr:p:2:perf  -6
спуститися verb:rev:inf:perf  0
у prep:rv_mis:v-u  0
шахту noun:f:v_zna  -3
Взагалі adv:v-u  0
заклад noun:m:v_naz  2
дуже adv  23
класний adj:m:v_naz  28
Дякую verb:pres:s:1:imperf  6
Локаль noun:f:v_kly  10
внутрішній adj:m:v_naz  0
дворик noun:m:v_naz  3
просто adv:compb  0
казковий adj:m:v_naz  50
Молодці	noun:p:v_naz:anim  50
Персонал noun:m:v_naz  0
змінився verb:rev:past:m:perf  0
у prep:rv_znav-u  0
кращу adj:f:v_zna:compr  10
сторону noun:f:v_zna  0
кавовий adj:m:v_naz  50
апарат noun:m:v_zna  0
поставили verb:past:p:perf  0
шикарний adj:m:v_zna  50
Промислова adj:f:v_naz  -5
кав'ярня noun:f:v_naz  12
Інакше adv:&pron:def  0
сказати verb:inf:perf  0
не part  -1
можу verb:unknown  0
Людей noun:p:v_rod:anim  0
тьма noun:f:v_naz  -28
Запускають verb:pres:p:3:imperf  0
всіх adj:p:v_rod:&pron:dem  0
без	prep:rv_rod  0
обмеження noun:n:v_rod  -13
від	prep:rv_rod  0
чого pron:int:rel:n:v_rod  0
сісти verb:inf:perf  0
у prep:rv_mis:v-u  0
закладі noun:m:v_mis  2
та part  0
навіть part  0
просто adv:compb  0
стояти verb:inf:imperf  0
неможливо adv  -50
Сервіс noun:m:v_naz  0
на prep:rv_mis  0
рівні noun:m:v_mis  0
кам'яного adj:m:v_rod  -29
віку noun:m:v_rod  0
погано adv:compb  -30
Запах noun:m:v_naz  34
смаженої adjp:pasv:past:f:v_rod  21
кави noun:f:v_rod  50
просто adv:compb  0
дивовижний adj:m:v_naz:compb  50
Дуже adv  32
цікаве adj:n:v_naz:compb  26
місце noun:n:v_naz  0
де можна </adv>  0
попити verb:inf:perf  0
каву noun:f:v_zna  50
у prep:rv_mis:v-u  0
печері noun:f:v_mis  -3
й conj:coord  0
в prep:rv_mis:v-u  0
касці noun:f:v_mis  -2
Досить adv  1
аутентичне adj:n:v_naz  5
місце noun:n:v_naz  0
Заходьте verb:impr:p:2:imperf  0
та conj:coord   0
йдіть verb:impr:p:2:imperf  0
до prep:rv_rod  0
підземель noun:p:v_rod  -4
копальні noun:f:v_rod  1
пити verb:inf:imperf  0
запаяну adjp:pasv:past:f:v_zna  0
каву noun:f:v_zna  50
Не part  0
бійтесь verb:rev:impr:p:2:imperf -21
Пломби noun:f:v_rod  0
не part  -1
повитягує verb:futr:s:3:perf  -20
Такої adj:f:v_rod:&pron:def  0
більше adv:compr  2
не part  -1
знайдете verb:futr:p:2:perf  0
Будьте verb:impr:p:3:imperf  0
пильні adj:p:v_naz:compb  -5
В prep:rv_mis:v-u  0
копальні noun:f:v_mis  2
працюють verb:pres:p:3:imperf  0
здорові	adj:p:v_naz:compb  22
бородаті adj:p:v_naz  24
гноми noun:p:v_naz:anim  27
Нічого adv  0
особливого adj:m:v_rod  6
Запаяна	adjp:pasv:past:f:v_naz  0
кава noun:f:v_naz 50
у prep:rv_mis:v-u  0
копальні noun:f:v_mis  1
супер noun:m:v_naz  24
НАДЗВИЧАЙНО adv  50
ПРЕКРАСНЕ adj:n:v_naz:compb  50
КАФЕ noun:n:v_naz:nv  24
ПРИВІТНИЙ adj:m:v_naz:compb  50
БОРОДАТИЙ adj:m:v_naz  21
ПЕРСОНАЛ noun:m:v_naz  0
І conj:coord  0
СМАЧНІ adj:p:v_naz:compb  15
ДЕСЕРТИ noun:p:v_naz  39
ЄДИНИЙ adj:m:v_naz  0
МІНУС noun:m:v_naz  -50
ПОГАНІ adj:p:v_naz:compb  -30
ВІШАКИ noun:p:v_naz  0
Все	adv:v-u  0
дуже adv  24
добре adv  30
і conj:coord  0
офіціанти noun:p:v_naz:anim  0
й conj:coord  0
бармени	noun:p:v_naz:anim  0
й conj:coord  0
шахтарі noun:p:v_naz:anim  -2
Я pron:pers:s:1:v_naz:anim 0
там adv:&pron:dem  0
ходила verb:past:f:imperf  0
всюди adv:gen:v-u:&pron  0
Хочеться verb:unknown  0
більш adv:compr  0
людського adj:n:v_rod  0
спілкування noun:n:v_rod  3
з prep:rv_oru 0
персоналом noun:m:v_oru  0
а conj:coord  0
то conj:subord  0
вони pron:pers:p:3:v_naz:anim 0
всі	adj:p:v_naz:&pron:dem  0
як part  0
роботи noun:p:v_naz:anim  -10
бояться verb:rev:pres:p:3:imperf  -11
жартувати verb:inf:imperf  28
великий adj:m:v_naz:compb  0
вибір noun:m:v_naz  0
кави noun:f:v_rod  50
Обслуговування noun:n:v_naz  0
Завітали verb:past:p:perf  0
з prep:rv_oru  0
друзями noun:p:v_oru:anim  17
в prep:rv_mis:v-u  0
Копальню noun:f:v_mis  1
кави noun:f:v_rod  50
замовили verb:past:p:perf  0
запаяну	adjp:pasv:past:f:v_zna  0
каву noun:f:v_zna  50
чекали verb:past:p:imperf  0
замовлення noun:n:v_zna  0
але	conj:coord  0
так	adv:&pron:dem  0
і conj:coord  0
не part  0
дочекавшись	advp:rev:perf  0
пішли verb:past:p:perf  0
звідти adv:&pron:dem  0
Це adj:n:v_naz:&pron:dem  0
нас pron:pers:p:1:v_zna:anim 0
дуже adv  24
образило verb:past:n:perf  -38
Хочу verb:unknown  0
щоб conj:subord  0
надалі adv  0
персонал noun:m:v_naz  0
закладу noun:m:v_rod  0
був	бути verb:past:m:imperf  0
уважнішим adj:p:v_dav:compr  2
до prep:rv_rod  0
своїх adj:p:v_rod:&pron:pos  0
відвідувачів noun:p:v_rod:anim  0
Просто adv:compb  0
супер noun:m:v_naz  39
Доброзичливий adj:m:v_naz:compb  44
персонал noun:m:v_naz  0
дуже adv  27
смачна adj:f:v_naz:compb  36
кава noun:f:v_naz  50
І conj:coord  0
взагалі adv:v-u  0
цікаве adj:n:v_naz:compb  24
місце noun:n:v_naz  0
особливо adv  0
сподобався verb:rev:past:m:perf  28
спуск noun:m:v_zna  -1
і conj:coord   0
підземелля noun:n:v_rod  -7
де adv:&pron:int:rel  0
ніби-то conj:subord  0
видобувають verb:pres:p:3:imperf  0
каву noun:f:v_zna  50
оригінально adv:compb  31
відпочивала verb:past:f:imperf  2
в prep:rv_mis:v-u  0
копальні noun:f:v_mis  1
вчора adv:v-u  2
це adj:n:v_naz:&pron:dem  0
просто adv:compb  0
неперевершено adv  50
чудовий	adj:m:v_naz:compb  45
смак noun:m:v_naz  34
кави noun:f:v_rod  50
персонал noun:m:v_naz  0
працював verb:past:m:imperf  0
так	adv:&pron:dem  0
собі pron:refl:m:v_dav  0
ми pron:pers:p:1:v_naz:anim  0
замовили verb:past:p:perf  0
каву noun:f:v_zna  50
з prep:rv_rod:rv_zna:rv_oru 0
молоком noun:n:v_oru  25
та conj:coord  0
карамеллю noun:f:v_oru  30
по-перше insert  0
чекали verb:past:p:imperf  0
довгенько adv  -7
а conj:coord  0
коли adv:&pron:int:rel  0
принесли verb:past:p:perf  0
підпалили verb:past:p:perf  0
хто	pron:int:rel:m:v_naz:anim 0
там	adv:&pron:dem  0
був	verb:past:m:imperf  0
той	adj:m:v_naz:&pron:dem  0
знає verb:pres:s:3:imperf  0
про	prep:rv_zna  0
що pron:int:rel:n:v_naz  0
я pron:pers:s:1:v_naz:anim  0
на prep:rv_zna  0
запитання noun:n:v_zna  0
а conj:coord  0
як adv:&pron:int:rel  0
нам pron:pers:p:1:v_dav:anim  0
його pron:pers:m:3:v_rod:anim 0
пити verb:inf:imperf  0
сказав verb:past:m:perf  0
я pron:pers:s:1:v_naz:anim  0
зараз adv:&pron:dem  0
вас pron:pers:p:2:v_rod:anim  0
навчу verb:futr:s:1:perf  0
пішов verb:past:m:perf  0
так	adv:&pron:dem  0
не part  -1
повернувшись advp:rev:perf  0
А conj:coord  0
так adv:&pron:dem  0
нам pron:pers:p:1:v_dav:anim 0
усе adj:n:v_zna:&pron:dem  0
дуже adv  17
сподобалось	verb:rev:past:n:perf  26
клас noun:m:v_naz  35
з prep:rv_oru 0
персоналом noun:m:v_oru  0
там	adv:&pron:dem  0
не part  -1
склалося verb:rev:past:n:perf  0
До prep:rv_rod  0
мене pron:pers:s:1:v_rod:anim 0
приїхали verb:past:m:perf  0
друзі noun:p:v_naz:anim  23
ми pron:pers:p:1:v_naz:anim  0
пішли verb:past:p:perf  0
пообідати verb:inf:perf  0
в prep:rv_zna  0
криївку noun:f:v_zna  2
попили verb:past:p:perf  0
каву noun:f:v_zna  50
в prep:rv_mis:v-u  0
вирішили verb:past:p:perf  0
зайти verb:inf:perf  0
подивитися verb:rev:inf:perf  0
на prep:rv_zna:rv_mis  0
копальню noun:f:v_zna  1
Зайшли verb:past:p:perf  0
Нам	pron:pers:p:1:v_dav:anim 0
видали verb:past:p:perf  0
ті adj:p:v_zna:&pron:dem  0
шоломи noun:p:v_zna  0
Спустилися verb:rev:past:p:perf  -1
в prep:rv_zna:rv_mis:rv_rod:v-u  0
їхні adj:p:v_zna:&pron:pos  0
печери noun:p:v_zna  -3
Там	adv:&pron:dem  0
сидять verb:pres:p:3:imperf  0
якісь adj:p:v_naz:&pron:ind  0
незрозумілі adj:p:v_naz:compb  -14
чоловіки noun:p:v_naz:anim  0
які	adj:p:v_naz:&pron:int:rel:def 0
ніяк predic  -19
не part  -1
реагують verb:pres:p:3:imperf  0
на prep:rv_zna  0
прохання noun:n:v_zna  4
щось pron:ind:n:v_zna  0
показати verb:inf:perf  0
розповісти verb:inf:perf  0
НУ part  0
НЕ part  0
ЛІЗЕ verb:pres:s:3:imperf  -2
БІЛЬШЕ adv:compr  1
КАВА noun:f:v_naz  50
І conj:coord  0
ми pron:pers:p:1:v_naz:anim  0
вже adv:v-u  0
побували verb:past:p:perf  0
в prep:rv_mis:v-u  0
двох numr:v_mis  0
закладах noun:p:v_mis  0
Одне numr:n:v_naz  0
слово noun:n:v_naz  0
коли conj:subord  0
повертали verb:past:p:imperf  0
каски noun:p:v_zna  0
хтось pron:ind:v_naz:anim  0
мабуть insert  0
адміністратор noun:m:v_naz:anim  0
демонстративно-голосно adv  -22
запитався verb:rev:past:m:perf  0
А conj:coord  0
ці adj:p:v_naz:&pron:dem 0
щось pron:ind:n:v_zna  0
замовляли verb:past:p:imperf  0
Дуже adv  37
неприємно adv:compb  -50
Дуже adv  37
Тепер adv:&pron:dem  0
навіть part  0
якщо conj:subord  0
буде verb:futr:s:3:imperf  0
бажання	noun:p:v_zna  10
випити verb:inf:perf  0
кави noun:f:v_rod  50
принципово adv  -10
туди adv:&pron:dem  0
не part  -1
піду verb:futr:s:1:perf  0
Хороший adj:m:v_naz:compb  27
персонал noun:m:v_naz  0
дуже adv  34
привітний adj:m:v_naz:compb  50
і conj:coord  0
бородатий adj:m:v_naz  22
Отримала verb:past:f:perf  0
карточку noun:f:v_zna  2
постійного adj:m:v_rod  0
клієнта	noun:m:v_rod:anim  0
хоч	conj:subord  0
і conj:coord  0
з prep:rv_oru  0
пригодами noun:p:v_oru  27
довелось verb:rev:past:n:perf  0
шукати verb:inf:imperf  0
Кульчицького noun:m:v_zna:anim:lname 0
Жарко adv  -10
дуже adv  23
жарко adv  -8
ніякого adj:m:v_zna:&pron:neg  -29
це adj:n:v_naz:&pron:dem 0
просто adv:compb  0
не part  -1
передати verb:inf:perf  0
словами	noun:p:v_oru  0
Привітний adj:m:v_naz:compb  50
персонал noun:m:v_naz  0
цікавий	adj:m:v_naz:compb  25
інтер'єр noun:m:v_naz  0
дуже adv  23
смачна adj:f:v_naz:compb  34
кава noun:f:v_naz  50
Цікава adj:f:v_naz:compb  27
ідея noun:f:v_naz  4
смачна adj:f:v_naz:compb  23
кава noun:f:v_naz  50
Вже	adv:v-u  0
декілька numr:p:v_naz:&pron:ind  0
разів noun:p:v_rod  0
ми pron:pers:p:1:v_naz:anim 0
купували verb:past:p:imperf  0
каву noun:f:v_zna  50
на prep:rv_zna  0
вагу noun:f:v_zna  0
і conj:coord  0
нам pron:pers:p:1:v_dav:anim 0
недоважували verb:past:p:3:imperf  -31
ладно adv  0
недоважили verb:past:p:perf  -30
б part  0
20 number  0
грамів noun:p:v_rod  0
але	conj:coord  0
на prep:rv_mis  0
150 number  0
грамах noun:p:v_mis  0
не part  -1
вистачало verb:past:n:imperf  4
по prep:rv_zna  0
40 number  0
50 number  0
грамів noun:p:v_rod  0
І conj:coord  0
це adj:n:v_naz:&pron:dem  0
майже adv  0
в prep:rv_mis:v-u  0
кожному adj:m:v_mis:&pron:def  0
пакуночку noun:m:v_mis  10
який adj:m:v_naz:&pron:int:rel:def 0
ми pron:pers:p:1:v_naz:anim  0
купили verb:past:p:perf  0
мені pron:pers:s:1:v_dav:anim 0
сподобалось	verb:rev:past:n:perf  21
люди noun:p:v_naz:anim  0
дуже adv  26
привітні adj:p:v_naz:compb  50
дуже adv  28
смачна adj:f:v_naz:compb  36
їжа	noun:f:v_naz  10
що pron:int:rel:n:v_naz  0
перед noun:m:v_naz  0
входом noun:m:v_oru  0
стоїть verb:pres:s:3:imperf  0
чоловік noun:m:v_naz:anim  0
що pron:int:rel:n:v_naz  0
дає	verb:pres:s:3:imperf  0
алкоголь noun:m:v_zna 0
