Цієї	      pron:f_rod 
нічого	     pron:neg:v_rod
не	         part 
бачили	     verb:past:p:imperf 
А	         conj:coord
в	         prep:rv_zna:rv_mis:rv_rod:v-u 
Мафії	     noun:f:v_mis  
все	         part:v-u 
справді	     adv
чудово	     adv:compb  
Дякуємо	      verb:pres:p:1:imperf 
Відстій	      noun:m:v_naz
може	     verb:unknown 
і	          conj:coord 
були	      verb:past:p:imperf 
але	          conj:coord 
ефект	      noun:m:v_naz 
дали	       verb:past:p:perf 
нетривалий	   adj:m:v_naz 
Персонал	   noun:m:v_naz 
і	           conj:coord
намагається    verb:rev:pres:s:3:imperf
надурити	    verb:inf:perf 
клієнт          noun:m:v_zna:anim 
Ігнорування	    noun:n:v_naz
замовлень	    noun:p:v_rod 
або	            conj:coord 
видавання	    noun:n:v_naz 
за	            prep:rv_rod:rv_zna:rv_oru
елітні	        adj:p:v_zna 
напої	        noun:p:v_zna 
звична	        adj:f:v_naz:compb 
річ	             noun:f:v_naz 
Раджу	         verb:pres:s:1:imperf 
власникам	     noun:p:v_dav:anim 
зайнятись	     verb:rev:inf:perf 
цим	            adj:m:v_oru:&pron:dem
якщо	        conj:subord 
вони	        pron:pers:p:3:v_naz:anim
не	            part 
поховати	   verb:inf:perf 
вкладені	    adjp:pasv:past:p:v_zna:v-u 
гроші	        noun:p:v_zna
Бо	            conj:subord
всі	            adj:p:v_naz:&pron:dem 
знають	        verb:pres:p:3:imperf 
приклади	  noun:p:v_zna
колись	      adv:&pron:ind 
модних	      adj:p:v_rod:compb
у	          prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	      noun:m:v_mis 
закладів	   noun:p:v_rod 
які	           adj:p:v_zna:&pron:int:rel:def
через	        prep:rv_zna 
поведінку	    noun:f:v_zna 
персоналу	     noun:m:v_rod 
втратили	     verb:past:p:perf:v-u 
клієнтів	     noun:p:v_zna:anim 
і	             conj:coord
швидко	         adv:compb 
скотились	     verb:rev:past:p:perf 
у	             prep:rv_zna:rv_mis:rv_rod:v-u 
даруйте	         insert
понуре	        adj:n:v_zna 
лайно	        noun:n:v_zna 
Відродитися	    verb:rev:inf:perf 
мало	       adv:compb 
кому	       pron:int:rel:m:v_dav:anim
вдалося	       verb:rev:past:n:perf:v-u 
Заклад	       noun:m:v_naz  
для	           prep:rv_rod 
студентів	   noun:p:v_rod:anim 
Ресторан	   noun:m:v_naz
це	           adj:n:v_naz:&pron:dem
голосно	        adv:compb 
сказано	        verb:impers:perf 
Мафія	        noun:f:v_naz 
заклад	        noun:m:v_naz 
для	            prep:rv_rod 
невибагливих	 adj:p:v_rod 
студентів	    noun:p:v_rod:anim 
які	            adj:p:v_naz:&pron:int:rel:def
ще	            part 
не	            part 
заморочуються	 verb:rev:pres:p:3:imperf 
якістю	        noun:f:v_oru 
обслуговування	 noun:n:v_rod
От	             part 
для	             prep:rv_rod 
них	             pron:pers:p:3:v_rod:anim
там	             part 
все	            adv:v-u  
супер	        noun:m:v_naz 
і	            conj:coord
ідеально	     adv 
працює	         verb:pres:s:3:imperf 
цілодобово	      adv 
є	             verb:pres:s:3:imperf 
караоке	          noun:n:v_naz:nv:np 
можна	          predic 
взяти	          verb:inf:perf 
на	              prep:rv_zna:rv_mis 
компанію	     noun:f:v_zna 
метрову	         adj:f:v_zna 
піцу	         noun:f:v_zna 
й	             conj:coord 
отримати	     verb:inf:perf 
вино	         noun:n:v_naz 
в	             prep:rv_zna:rv_mis:rv_rod:v-u 
подарунок	     noun:m:v_zna 
що	             pron:int:rel:n:v_naz 
ще	             part 
треба	         predic 
для	             prep:rv_rod 
студентських	 adj:p:v_rod 
судячи	         advp:imperf 
з	             prep:rv_rod:rv_zna:rv_oru 
відгуків	     noun:p:v_rod 
про	             prep:rv_zna 
київську	     adj:f:v_zna 
мережу	         noun:f:v_zna 
в	             prep:rv_zna:rv_mis:rv_rod:v-u 
столиці	         noun:f:v_dav 
вони	         pron:pers:p:3:v_naz:anim 
й	             conj:coord
складають	     verb:pres:p:3:imperf 
основний	     adj:m:v_zna 
контингент	     noun:m:v_zna 
клієнтів         noun:p:v_rod:anim 
Мафій	         noun:p:v_rod 
А	             conj:coord 
дорослим	     noun:p:v_dav:anim 
тут	             adv:&pron:dem 
нема	         predic 
що	             pron:int:rel:n:v_zna 
робити	         verb:inf:imperf 
для	             prep:rv_rod 
них	             pron:pers:p:3:v_rod:anim 
у	             prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	         noun:m:v_mis 
достатній	     adj:m:v_zna 
вибір	         noun:m:v_zna 
закладів	     noun:p:v_rod 
де	             part 
за	             prep:rv_rod:rv_zna:rv_oru 
ті	             adj:p:v_zna:&pron:dem 
самі	         adj:p:v_zna 
гроші	         noun:p:v_zna
можна	         predic 
отримати	     verb:inf:perf 
кращу	         adj:f:v_zna:compr 
їжу	             noun:f:v_zna 
і	             conj:coord 
належний	     adj:m:v_zna 
сервіс	         noun:m:v_zna 
Ресторан	     noun:m:v_naz
Мафія	         noun:f:v_naz 
Ми	              pron:pers:p:1:v_naz:anim
часто	         adv:compb 
відвідуємо	      verb:pres:p:1:imperf 
Мафію	          noun:f:v_zna 
і	              conj:coord 
завжди	          adv:&pron:gen 
все	              part:v-u
чисто	          adv:compb 
неперевершено	   adv 
смачно	          adv:compb 
І	              conj:coord  
обслуговування	   noun:n:v_naz
прекрасне	      adj:n:v_naz:compb 
КАТЕГОРИЧНО	      adv:compb 
НЕ	               part 
В	               prep:rv_zna:rv_mis:rv_rod:v-u 
РЕСТОРАН	      noun:m:v_zna 
МАФІЯ	          noun:f:v_naz 
Вчора	          adv:v-u 
вперше	           adv:v-u 
відвідала	       verb:past:f:perf 
з	               prep:rv_rod:rv_zna:rv_oru 
чоловіком	       noun:m:v_oru:anim 
ресторан	       noun:m:v_zna 
Мафія	           noun:f:v_naz 
у	               prep:rv_zna:rv_mis:rv_rod:v-u 
Львові	           noun:m:v_mis 
Враження	       noun:n:v_naz
Треба	           predic 
було	           verb:past:n:imperf 
залишити	       verb:inf:perf 
відгук	           noun:m:v_zna 
в	               prep:rv_zna:rv_mis:rv_rod:v-u 
книзі	           noun:f:v_mis 
скарг	           noun:p:v_rod 
та	              conj:coord
пропозиція	       noun:f:v_naz 
часу	          noun:m:v_rod 
стало	          verb:past:n:perf 
шкода	           noun:f:v_naz 
та	               conj:coord 
й	               conj:coord 
чоловік	           noun:m:v_naz:anim 
попросив	       verb:past:m:perf 
в	               prep:rv_zna:rv_mis:rv_rod:v-u 
такий	           adj:m:v_naz:&pron:def
день	           noun:m:v_naz
не	               part 
псувати	           verb:inf:imperf 
собі	           pron:refl:m:v_dav 
нерви	           noun:p:v_zna 
40	               number 
хвилин	           noun:p:v_rod 
чекали	           verb:past:p:imperf 
поки	           conj:subord 
до	               prep:rv_rod 
нас	               pron:pers:p:1:v_mis:anim
хтось	           pron:ind:v_naz:anim 
підійде	           verb:futr:s:3:perf 
за	               prep:rv_rod:rv_zna:rv_oru 
цей	               adj:m:v_zna:&pron:dem 
час	                noun:m:v_naz 
сусідній	         adj:m:v_zna 
пишно	           adv:compb 
неприбраний	      adj:m:v_zna 
стіл	           noun:m:v_zna 
який	           adj:m:v_naz:&pron:int:rel:def
ще	               part 
до	               prep:rv_rod 
нас	               pron:pers:p:1:v_rod:anim 
стояв	           verb:past:m:imperf 
неприбраним	       adj:m:v_oru 
так	               adv:&pron:dem
залишився	       verb:rev:past:m:perf 
і	               conj:coord 
після	           prep:rv_rod 
того	           adj:m:v_rod:&pron:dem 
як	               conj:subord 
ми	               pron:pers:p:1:v_naz:anim 
пішли	           verb:past:p:perf 
Абсолютно	       adv 
нікого	           pron:neg:v_rod:anim 
з	               prep:rv_rod:rv_zna:rv_oru
персоналу	       noun:m:v_rod 
не	               part 
хвилював	       verb:past:m:imperf 
обурювались	       verb:rev:past:p:imperf 
лише	           part 
відвідувачі	       noun:p:v_naz:anim 
що	               conj:subord  
нема	           predic 
де	               adv:&pron:int:rel 
сісти	           verb:inf:perf 
й	               conj:coord 
не	               part 
прибрано	       verb:impers:perf 
40	               number 
ХВИЛИН	          noun:p:v_rod 
Дівчина	          noun:f:v_naz:anim 
яка	              adj:f:v_naz:&pron:int:rel:def
носилась	      verb:rev:past:f:imperf 
взад-вперед	      adv 
невідомо	      adv 
чого	          pron:int:rel:n:v_rod 
бо	              conj:subord 
вона	          pron:pers:f:3:v_naz:anim 
нічого	          pron:neg:v_rod 
не	              part 
робила	           verb:past:f:imperf 
лише	           part 
бігала	          verb:past:f:imperf 
навіть	          part 
не	              part 
підходячи	      advp:imperf 
до	              prep:rv_rod 
клієнтів	      noun:p:v_rod:anim 
Коли	          conj:subord 
ми	              pron:pers:p:1:v_naz:anim
просили	          verb:past:p:imperf 
її	              pron:pers:f:3:v_rod:anim 
підійти	          verb:inf:perf 
вона	          pron:pers:f:3:v_naz:anim 
лише	          part 
обіцяла	          verb:past:f:imperf 
що	              conj:subord
до	              prep:rv_rod 
нас	              pron:pers:p:1:v_rod:anim 
хтось	          pron:ind:v_naz:anim 
підійде	          verb:futr:s:3:perf 
врешті	          adv:v-u 
ми	              pron:pers:p:1:v_naz:anim
самі	          adj:p:v_naz:&pron:def
знайшли	          verb:past:p:perf 
та	              conj:coord 
зловили	          verb:past:p:perf 
офіціанта	      noun:m:v_zna:anim 
за	              prep:rv_rod:rv_zna:rv_oru
руку	          noun:f:v_zna 
і	              conj:coord 
таки	          part 
примусили	      verb:past:p:perf 
взяти	          verb:inf:perf 
замовлення	      noun:n:v_zna
Коли	         conj:subord 			 
нам	             pron:pers:p:1:v_dav:anim
повідомили	     verb:past:p:perf 
що	             conj:subord  
на	             prep:rv_zna:rv_mis 
суші	         noun:p:v_zna 
треба	         predic 
чекати	         verb:inf:imperf 
40	             number 
хвилин	         noun:p:v_rod 
ми	             pron:pers:p:1:v_naz:anim
встали	         verb:past:p:perf:v-u 
й	             conj:coord
пішли	         verb:past:p:perf 
Поїли	         verb:past:p:perf 
за	             prep:rv_rod:rv_zna:rv_oru 
рогом	        noun:m:v_oru 
суші	         noun:p:v_zna 
які	             adj:p:v_zna:&pron:int:rel:def
зготували	     verb:past:p:perf 
за	              prep:rv_rod:rv_zna:rv_oru 
15	              number 
а	             conj:coord 
офіціанта	     noun:m:v_zna:anim 
чекали	         verb:past:p:imperf 
10	             number 
секунд	         noun:p:v_rod 
І	             conj:coord
ще	             part 
поруч	         prep:rv_rod 
сиділа	         verb:past:f:imperf 
пара	          noun:f:v_naz 
яка	              adj:f:v_naz:&pron:int:rel:def
теж	             part 
не	             part 
дочекавшись	     advp:rev:perf 
офіціанта	     noun:m:v_rod:anim
пішла	         verb:past:f:perf 
Хоч	             conj:subord 
ресторан	     noun:m:v_naz
був	             verb:past:m:imperf 
повний	         adj:m:v_naz:compb
за	             prep:rv_rod:rv_zna:rv_oru
40	             number 
очікування	     noun:n:v_naz
офіціанта	     noun:m:v_rod:anim
в	             prep:rv_zna:rv_mis:rv_rod:v-u 
зал	             noun:m:v_zna
винесли	         verb:past:p:perf 
лише	        part 
1	            number 
страву	        noun:f:v_zna 
А	             conj:coord
решта	         noun:f:v_naz 
відвідувачів	 noun:p:v_rod:anim
гаяли	         verb:past:p:imperf 
час	             noun:m:v_zna 
махаючи	         advp:imperf 
вашими	         adj:p:v_oru:&pron:pos 
величезними	     adj:p:v_oru 
МЕНЮ	         noun:n:v_oru:nv
Отже	        conj:subord 
можу	        verb:unknown 
залишити	    verb:inf:perf 
своє	        adj:n:v_zna:&pron:pos 
резюме	       noun:n:v_zna:nv
якщо	       conj:subord 
вам	           pron:pers:p:2:v_dav:anim 
дорогий	       adj:m:v_naz:compb 
ваш	           adj:m:v_naz:&pron:pos 
час	           noun:m:v_naz 
ви	           pron:pers:p:2:v_naz:anim 
ціните	       verb:pres:p:2:imperf 
гарне	       adj:n:v_zna:compb 
обслуговування	 noun:p:v_zna 
і	              conj:coord
теплу	        adj:f:v_zna:compb
атмосферу	    noun:f:v_zna 
ВАМ	             pron:pers:p:2:v_dav:anim 
КАТЕГОРИЧНО	     adv:compb 
НЕ	            part 
В	            prep:rv_zna:rv_mis:rv_rod:v-u 
РЕСТОРАН	    noun:m:v_zna 
МАФІЯ	        noun:f:v_naz 
Шановні	        adj:p:v_naz 
власники	    noun:p:v_kly:anim 
директора	     noun:m:v_rod:anim (noun:pl_kly)
і	            conj:coord
менеджери	    noun:p:v_kly:anim 
Соромно	        adv 
панове	       noun:p:v_kly:anim 
Ресторан	   noun:m:v_naz 
такого	       adj:m:v_rod:&pron:def 
рівня	       noun:m:v_rod 
а	           conj:coord 
обслуговування	  noun:n:v_naz
гірше	        adj:n:v_naz:compr 
ніж	            conj:subord 
в	            prep:rv_zna:rv_mis:rv_rod:v-u 
дешевій	        adj:f:v_mis:compb 
забігайлівці    noun:f:v_mis 
Кухню	        noun:f:v_zna 
оцінити	        verb:inf:perf 
не	            part 
можу	        verb:unknown 
бо	             conj:subord
не	             part 
спробувала	   verb:past:f:perf 
там	           adv:&pron:dem 
їсти	       verb:inf:imperf 
Сервіс	       noun:m:v_naz 
НУЛЬОВИЙ	  adj:m:v_naz  
Вечеряли	  verb:past:p:imperf 
в	           prep:rv_zna:rv_mis:rv_rod:v-u 
мафії	       noun:f:v_mis 
не	           part 
сподобалось	 verb:rev:past:n:perf 
одразу	     adv 
що	         conj:subord 
прибори	     noun:p:v_naz 
заплямовані	 adjp:pasv:past:p:v_naz 
а	         conj:coord 
як	         conj:subord 
потім	     adv:&pron:dem 
виявилось	 verb:rev:past:n:perf 
що	         conj:subord 
нам	         pron:pers:p:1:v_dav:anim 
принесли	 verb:past:p:perf 
ще	         part 
брудніші	 adj:p:v_zna:compr 
прибори	     noun:p:v_zna 
ніж	         conj:subord  
були	     verb:past:p:imperf 
Адміністратор	 noun:m:v_naz:anim 
це	           adj:n:v_naz:&pron:dem 
окрема	       adj:f:v_naz 
тема	     noun:f:v_naz 
сперечалась	 verb:rev:past:f:imperf 
з	         prep:rv_rod:rv_zna:rv_oru 
нами	     pron:pers:p:1:v_oru:anim 
що	         conj:subord 
все	          adv:v-u 
гаразд	      noun:m:v_naz 
не	           part 
вибачившись	  advp:rev:perf 
навіть	      part
просто	      adv:compb 
розвернулась	 verb:rev:past:f:perf 
і	           conj:coord 
пішла	       verb:past:f:perf 
розмовляти	   verb:inf:imperf 
з	           prep:rv_rod:rv_zna:rv_oru 
офіціанткою	   noun:f:v_oru:anim 
яка	           adj:f:v_naz:&pron:int:rel:def
нас	           pron:pers:p:1:v_zna:anim 
обслуговувала  verb:past:f:imperf 
Страви	       noun:p:v_naz 
відверто	   adv:compb 
несмачні	   adj:p:v_naz 
Шкода	       noun:f:v_naz 
що	           conj:subord 
такий	       adj:m:v_naz:&pron:def 
заклад	       noun:m:v_naz 
вбивають	   verb:pres:p:3:imperf:v-u 
некваліфіковані	 adj:p:v_naz 
працівники	   noun:p:v_kly:anim 
мені	       pron:pers:s:1:v_dav:anim 
у	           prep:rv_zna:rv_mis:rv_rod:v-u 
мафії	       noun:f:v_mis
подобається	   verb:rev:pres:s:3:imperf 
і	           conj:coord 
мені	       pron:pers:s:1:v_dav:anim 
у	           prep:rv_zna:rv_mis:rv_rod:v-u 
мафії	       noun:f:v_mis 
подобається	   verb:rev:pres:s:3:imperf 
і	           conj:coord 
попри	       prep:rv_zna
те	           adj:n:v_naz:&pron:dem 
що	           conj:subord 
там	           adv:&pron:dem 
завжди	       adv:&pron:gen 
купа	       noun:f:v_naz 
народу	       noun:m:v_rod 
там	           adv:&pron:dem 
смачно	       adv:compb 
класно	       adv 
і	           conj:coord 
більша	       adj:f:v_naz:compr 
частина	       noun:f:v_naz 
персоналу	   noun:m:v_rod 
надзвичайно	   adv 
привітні	    adj:p:v_zna:compb 
