Turianska 20-30 female
Ні	part  -25
на	prep:rv_mis  0
800	number  0
грамах	noun:p:v_mis  0
обважили	verb:past:p:perf  -46
на	prep:rv_zna 0
120	number  0
грам	noun:m:v_zna  0
Дуже	adv  0
прикро	adv:compb  0
навіть	part  0
не	part  0
очікувала	verb:past:f:imperf  0
Просто	adv:compb  0
за	prep: rv_oru 0
об	prep:rv_zna:rv_mis  0
якось	adv:&pron:ind  0
мало	adv:compb  -16
здалося	verb:rev:past:n:perf  0
вдома	adv:v-u  -44
переважила	verb:past:f:perf  0
Сором	noun:m:v_naz  -28
Так	adv:&pron:dem  25
дійсно	adv  0
правда	insert  25
платити	verb:inf:imperf  -17
за	prep:]rv_zna 0
капусту	noun:f:v_zna  9
хліб	noun:m:v_zna  39
сметану	noun:f:v_zna  8
по	prep: rv_zna  0
70	number  0
гривень	noun:p:v_rod -24
за	prep:rv_zna 0
кг	noun:m:v_zna:nv:abbr  0
це	adj:n:v_naz:&pron:dem  0
жах	noun:m:v_naz  -39
А	conj:coord  0
В	prep: mis:v-u  0
цілому	adj:m:v_mis  0
вже	adv:v-u  0
зникає	verb:pres:s:3:imperf  -32
апетит	noun:m:v_naz  18
коли	adv:&pron:int:rel  0
наближаєшся	verb:rev:pres:s:2:imperf  0
до	prep:rv_rod  0
закладу	noun:m:v_rod  0
І	conj:coord  0
відчуваєш	verb:pres:s:2:imperf  0
жахливий	adj:m:v_zna:compb  -46
запах	noun:m:v_zna 	 0
від	prep:rv_rod  0
нього	pron:pers:m:3:v_rod:anim  0
Невже	part  0
не	part  -14
можна	predic  24
зробити	verb:inf:perf  0
потужніші	adj:p:v_zna:compr  30
витяжки	noun:p:v_zna  -43
Найцікавіший	adj:m:v_naz:super  33
обід	noun:m:v_naz  0
У	prep: rv_mis:v-u  0
ВАРЕНИКИ	noun:p:v_naz  10
	noun:p:v_zna  10
ТУТ	adv:&pron:dem  0
В	prep: rv_mis:v-u  0
червоний	adj:m:v_naz:compb  19
борщ	noun:m:v_naz  7
зі	prep:rv_oru 0
сметаною	noun:f:v_oru  9
та	conj:coord  0
за	prep: rv_zna 0
7	number  0
ГРН	noun:p:v_zna:nv:abbr  0
А	conj:coord  0
хліб	noun:m:v_naz  11
зі	prep: rv_oru 0
смальцем	noun:m:v_oru  -19
БЕЗКОШТОВНО	adv  38
З	prep: rv_oru  0
твоєю	adj:f:v_oru:&pron:pos  0
пенсією	noun:f:v_oru  -20
тільки	adv  0
дома	adv  0
сидіти	verb:inf:imperf  0
про	prep:rv_zna  0
що	pron:int:rel:n:v_zna  0
ти	pron:pers:s:2:v_naz:anim  0
лепечеш	verb:pres:s:2:imperf  -41
про	prep:rv_zna  0
які	adj:p:v_zna:&pron:int:rel:def 0
бари	noun:p:v_zna  27
ресторани	noun:p:v_zna  33
хто	pron:int:rel:m:v_naz:anim  0
тебе	pron:pers:s:2:v_zna:anim  0
стару	adj:f:v_zna:compb  -18
шкапу	noun:f:v_zna  -13
туди	adv:&pron:dem  0
запросить	verb:futr:s:3:perf  0
Порада	noun:f:v_naz  0
власникам	noun:p:v_dav:anim  0
виясніть	verb:impr:p:2:perf  0
питання	noun:p:v_zna  0
З	prep: rv_oru  0
який	adj:m:v_naz:&pron:int:rel:def 0
поряд	adv  0
З	prep:rv_oru  0
вами	pron:pers:p:2:v_oru:anim  0
там	adv:&pron:dem  0
Ми	pron:pers:p:1:v_naz:anim 0
З	prep:rv_oru 0
подругою	noun:f:v_oru:anim  0
якось	adv:&pron:ind  0
були	verb:past:p:imperf  0
І	conj:coord  0
сіли	verb:past:p:perf  0
за	prep: rv_zna 0
їх	pron:pers:p:3:v_rod:anim  0
	pron:pers:p:3:v_zna:anim 0
навіть	part  0
уваги	noun:f:v_rod  28
не	part  -15
звернули	verb:past:p:perf  0
до	prep:rv_rod  0
нас	pron:pers:p:1:v_rod:anim  0
підійшла	verb:past:f:perf  0
якась	adj:f:v_naz:&pron:ind  0
неприємна	adj:f:v_naz:compb  -31
жіночка	noun:f:v_naz:anim  36
І	conj:coord   0
каже	verb:pres:s:3:imperf  0
ви	pron:pers:p:2:v_naz:anim  0
У	prep: rv_rod:v-u  0
нас	pron:pers:p:1:v_rod:anim  0
нічого	pron:neg:v_rod  -29
не	part  -18
заказували	verb:past:p:imperf  0
то	conj:subord  0
пересядьте	verb:impr:p:2:perf  0
А	conj:coord  0
ми	pron:pers:p:1:v_naz:anim 0
вже	adv:v-u  0
розклалися	verb:rev:past:p:perf  0
розслабилися	verb:rev:past:p:perf  0
було	verb:past:n:imperf  0
неприємно	adv:compb  0
Якусь	adj:f:v_zna:&pron:ind  0
перегородку	noun:f:v_zna  -21
поставте	verb:impr:p:2:perf  0
чи	conj:coord:subord  0
Молода	adj:f:v_naz:compb  35
відварна	adj:f:v_naz  10
картопля	noun:f:v_naz  5
З	prep: rv_oru 0
маслом	noun:n:v_oru  5
та	conj:coord   0
слабосоленим	-  7
огірком	noun:m:v_oru  9
Смачно	adv:compb  34
та	conj:coord  0
дешево	adv:compb  45
А	conj:coord  0
вареники	noun:p:v_naz  11
З	prep: rv_oru 0
вишнями	noun:p:v_oru  22
як	adv:&pron:int:rel  0
завжди	adv:&pron:gen  0
на	prep:rv_zna 0
десерт	noun:m:v_zna  0
Якби	conj:subord  0
не	part  -12
так	adv:&pron:dem  35
спекотно	adv  -7
то	conj:subord  0
взагалі	adv:v-u  0
Нагадую	verb:pres:s:1:imperf  0
це	adj:n:v_naz:&pron:dem 0
НЕ	part  -14
ресторан	noun:m:v_naz  31
І	conj:coord  0
150	number  0
гривень	noun:p:v_rod  0
рахунок	noun:m:v_naz  0
на	prep:rv_zna 0
двох	numr:p:v_zna  0
без	prep:rv_rod  0
ЦЕ	adj:n:v_naz:&pron:dem   0
ДУЖЕ	adv  0
ДОРОГО	adv:compb  -40
навіть	part  0
В	prep: rv_mis:v-u  0
обласному	adj:m:v_mis  0
центрі	noun:m:v_mis  0
І	conj:coord  0
В	prep: rv_mis:v-u  0
новому	adj:m:v_mis:compb  12
власники-адміністратори	noun:p:v_naz:anim  0
спустіться	verb:rev:impr:p:2:perf  -17
на	prep:rv_zna 0
землю	noun:f:v_zna  0
ви	pron:pers:p:2:v_naz:anim  0
на	prep:rv_mis  0
будьте	verb:impr:p:3:imperf  0
ближче	adj:n:v_naz:compr  14
до	prep:rv_rod  0
людей	noun:p:v_rod:anim  0
Зайшов	verb:past:m:perf  0
туди	adv:&pron:dem  0
для	prep:rv_rod  0
цікавості	 noun:f:v_rod  17
раз	adv  0
Набрав	verb:past:m:perf  0
по	prep: rv_zna  0
2	number  0
вареники	noun:p:v_zna  0
кожного	adj:m:v_rod:&pron:def  0
виду	noun:m:v_rod  0
несолодких	adj:p:v_rod  0
плюс	noun:m:v_naz  29
взяв	verb:past:m:perf  0
їхній	adj:m:v_zna:&pron:pos 0
лимонад	noun:m:v_zna  10
І	conj:coord  0
каву	noun:f:v_zna  11
Заплатив	verb:past:m:perf  0
45	number  0
гривень	noun:p:v_rod  0
Але	conj:coord  0
коли	adv:&pron:int:rel  0
З	prep:rv_rod:rv_zna:rv_oru 0
їв	verb:past:m:imperf  0
набрав	verb:past:m:perf  0
забагато	adv  -28
Плюс	noun:m:v_naz  15
взяв	verb:past:m:perf  0
І	conj:coord  0
каву	noun:f:v_zna  21
І	conj:coord  0
лимонад	noun:m:v_zna  12
По	prep:rv_mis 0
моїх	adj:p:v_mis:&pron:pos  0
прикидках	noun:p:v_mis  0
поїсти	verb:inf:perf  26
тут	adv:&pron:dem  0
можна	predic  24
нормально	adv  15
за	prep: rv_zna 0
грн	noun:p:v_zna:nv:abbr  0
30	number  0
цілком	adv  0
по-моєму	insert  18
Йшов	verb:past:m:imperf  0
туди	adv:&pron:dem  0
чекаючи	advp:imperf  0
дурного	adj:m:v_rod:compb  -32
гламуру	noun:m:v_rod:slang  -32
І	conj:coord  0
захмарних	adj:p:v_rod  -33
цін	noun:p:v_rod  0
Був	verb:past:m:imperf  0
приємно	adv:compb  28
вражений	adjp:pasv:past:m:v_naz 41
І	conj:coord  0
передусім	adv  0
продуманістю	noun:f:v_oru  0
того	adj:m:v_rod:&pron:dem 0
як	adv:&pron:int:rel  0
усе	adj:n:v_naz:&pron:dem  0
розміщено	verb:impers:perf  0
Ці	adj:p:v_naz:&pron:dem  0
столи	noun:p:v_naz  0
З	prep: rv_oru 0
мисками	noun:p:v_oru  0
І	conj:coord   0
іншою	adj:f:v_oru:&pron:def  0
І	conj:coord  0
кас	noun:p:v_rod  0
багато	adv  17
І	conj:coord  0
немає	predic  -29
Ну	part  -5
непереборне	adj:n:v_naz  -31
якою	adj:f:v_oru:&pron:int:rel:def 0
Б	part  0
прекрасною	adj:f:v_oru:compb  46
не	part  -15
була	verb:past:f:imperf  0
обгортка	noun:f:v_naz  0
Те	adj:n:v_naz:&pron:dem  0
ну	excl  0
пересядьте	verb:impr:p:2:perf  0
теж	adv  0
на	prep:rv_mis  0
собі	pron:refl:m:v_mis 0
	pron:refl:m:v_mis  0
	pron:refl:n:v_mis 0
	pron:refl:n:v_mis  0
відчули	verb:past:p:perf  0
прийшли	verb:past:p:perf  0
туди	adv:&pron:dem  0
вперше	adv:v-u  0
дитина	noun:f:v_naz:anim  42
просила	verb:past:f:imperf  0
ще	adv  0
не	part  -13
знали	verb:past:p:imperf  24
що	pron:int:rel:n:v_naz  0
до	prep:rv_rod  0
чого	pron:int:rel:n:v_rod  0
І	conj:coord  0
теж	adv  0
сіли	verb:past:p:perf  0
не	part  -14
за	prep: rv_zna 0
білі	adj:p:v_zna:compb  18
А	conj:coord  0
за	prep: rv_zna 0
червоні	adj:p:v_zna:compb  20
столики	noun:p:v_zna  0
після	adv  0
ну	excl  0
пересядьте	verb:impr:p:2:perf  0
йти	verb:inf:imperf  0
туди	adv:&pron:dem  0
більше	adv:compr  25
не	part  -15
хочеться	verb:unknown  0
Справді	adv  0
перегородку	noun:f:v_zna  -41
якусь	adj:f:v_zna:&pron:ind  0
або	conj:coord  0
хай	part  0
офіціанти	noun:p:v_naz:anim  0
пояснюють	verb:pres:p:3:imperf  0
що	pron:int:rel:n:v_naz  0
до	prep:rv_rod  0
чого	pron:int:rel:n:v_rod  0
при	prep:rv_mis  0
вході	noun:m:v_mis  0
що	pron:int:rel:n:v_naz  0
до	prep:rv_rod  0
чого	pron:int:rel:n:v_rod 0
