зробіть	зробити verb:impr:p:2:perf  30
туалет	туалет noun:m:v_naz  0
атмосферне	атмосферний adj:n:v_naz  0
вигляд	вигляд noun:m:v_naz  0
приходити	приходити verb:inf:imperf  0
пересмажені	пересмажений adjp:pasv:past:p:v_naz  -5
нюта	- -  0
замовили	замовити verb:past:p:perf  0
соусу	соус noun:m:v_dav  0
гостям	гостя noun:p:v_dav:anim  0
мінуси	мінус noun:p:v_naz  -8
каток	каток noun:m:v_naz  1
переконують	переконувати verb:pres:p:3:imperf  1
підозрілим	підозрілий adj:m:v_oru  1
сік	сік noun:m:v_naz  0
сподобалась	сподобатися verb:rev:past:f:perf  20
смачна	смачний adj:f:v_naz:compb  18
ранок	ранок noun:m:v_naz  -5
закрити	закрити verb:inf:perf  0
одноразових	одноразовий adj:p:v_mis 0
картонному	картонний adj:m:v_dav  0
привітний	привітний adj:m:v_naz:compb 3
алкоголю	алкоголь noun:m:v_dav  8
раджу	раджа noun:f:v_zna:anim 0
альбіна	- -  0
відчищання	відчищання noun:n:v_naz 0
зупа	зупа noun:f:v_naz:rare  0
львова	- -  4
поїсти	поїсти verb:inf:perf  4
ростбіф	ростбіф noun:m:v_naz 0
крафтові	- -  0
столики	столик noun:p:v_naz  0
офіціанти	офіціант noun:p:v_kly:anim 0
повертається	повертатися verb:rev:pres:s:3:imperf 0
ремонт	ремонт noun:m:v_naz 0
заважає	заважати verb:pres:s:3:imperf  -10
говорив	говорити verb:past:m:imperf  4
іспанець	іспанець noun:m:v_naz:anim  4
спробувати	спробувати verb:inf:perf  6
має	мати verb:pres:s:3:imperf 0
дніпропетровця	дніпропетровець noun:m:v_rod:anim  -10
безкоштовне	безкоштовний adj:n:v_naz  7
кутку	куток noun:m:v_dav  7
пухлина	пухлина noun:f:v_naz  -7
офіціантки	офіціантка noun:f:v_rod:anim  2
місто	місто noun:n:v_naz  7
local	- -  0
олександр	- -  -2
ніде	ніде adv:&pron:neg  0
негативних	негативний adj:p:v_mis:compb -10
буда	буда noun:f:v_naz  0
єр	- -  0
такого	такий adj:m:v_rod:&pron:def  0
персонал	персонал noun:m:v_naz  3
копчений	копчений adjp:pasv:past:m:v_naz 6
лимону	лимон noun:m:v_dav  10
набагато	набагато adv  0
розростається	розростатися verb:rev:pres:s:3:imperf 3
гарного	гарний adj:m:v_rod:compb  7
власників	власник noun:p:v_rod:anim 10
щонеменш	- -  0
імбирне	імбирний adj:n:v_naz  4
пивоваріння	пивоваріння noun:n:v_naz  5
найкраща	хороший adj:f:v_naz:super  12
запах	запах noun:m:v_naz  1
болгарії	- -  20
слабеньке	слабенький adj:n:v_naz  -2
пивоваром	пивовар noun:m:v_oru:anim  12
настойкою	настойка noun:f:v_oru 10
варниця	варниця noun:f:v_naz  0
виділяю	виділяти verb:pres:s:1:imperf  0
їжі	їжа noun:f:v_dav  0
декади	декада noun:f:v_rod  0
нормальне	нормальний adj:n:v_naz  0
баселлем	- -  0
робив	робити verb:past:m:imperf  0
обгорне	обгорнути verb:futr:s:3:perf  0
плюси	плюс noun:p:v_naz  3
справжнім	справжній adj:m:v_mis  13
посипана	посипаний adjp:pasv:past:f:v_naz  5
вокзальна	вокзальний adj:f:v_naz  -3
брудно	брудно adv:compb  -15
якраз	якраз adv  0
закусок	закуска noun:p:v_rod  11
збіговиську	збіговисько noun:n:v_dav  21
печально	печально adv:rare  -11
потрапили	потрапити verb:past:p:perf  0
гіркотою	гіркота noun:f:v_oru  -4
засновником	засновник noun:m:v_oru:anim  6
публічний	публічний adj:m:v_naz  9
saison	- -  0
доповнює	доповнювати verb:pres:s:3:imperf  2
кранів	кран noun:p:v_rod  0
доробили	доробити verb:past:p:perf  0
запуск	запуск noun:m:v_naz  4
розчинників	розчинник noun:p:v_rod  -3
омана	омана noun:f:v_naz  -14
відкривати	відкривати verb:inf:imperf  5
роботи	роботи noun:unknown 9
шматки	шматок noun:p:v_naz  0
нового	новий adj:m:v_rod:compb  4
діана	- -  0
смачне	смачний adj:n:v_naz:compb  7
гостеві	гість noun:m:v_dav:anim  13
п'янкою	п'янка noun:f:v_oru:bad  16
розпробували	- -  4
ароматною	ароматний adj:f:v_oru:compb  9
оксана	- -  0
півтораста	півтораста numr:p:v_dav:nv  0
страви	страва noun:f:v_rod  0
робіт	роботи noun:unknown  0
сіллю	сіль noun:f:v_oru  0
очах	око noun:p:v_mis  0
сподобались	сподобатися verb:rev:past:p:perf  6
пивом	пиво noun:n:v_oru  7
пивовари	пивовар noun:p:v_kly:anim  9
ракова	раковий adj:f:v_naz  0
невідповідність	невідповідність noun:f:v_naz   -9
будівельної	будівельний adj:f:v_rod  0
копчена	копчений adjp:pasv:past:f:v_naz  10
власником	власник noun:m:v_oru:anim  14
гурмана	гурман noun:m:v_rod:anim 18
короткої	короткий adj:f:v_rod:compb  0
реально	реально adv:compb  13
стане	станути verb:futr:s:3:perf  0
переморожена	переморожений adjp:pasv:past:f:v_naz  -9
якістю	якість noun:f:v_oru  3
спішили	спішити verb:past:p:imperf 0
бірофілів	- -  0
надто	надто adv  0
шо	- -  0
специфічна	специфічний adj:f:v_naz  0
передбачаю	передбачати verb:pres:s:1:imperf  0
мінус	мінус noun:m:v_naz 0
чекаємо	чекати verb:pres:p:1:imperf  0
воду	вода noun:f:v_zna 0
подобається	подобатися verb:rev:pres:s:3:imperf 12
звичайна	звичайний adj:f:v_naz:compb  -4
займає	займати verb:pres:s:3:imperf  0
розводку	розводка noun:f:v_zna  0
експортує	експортувати verb:futr:s:3:perf  0
розливних	розливний adj:p:v_mis 0
цікаве	цікавий adj:n:v_naz:compb 15
споживач	споживач noun:m:v_naz:anim  7
відкрились	відкритися verb:rev:past:p:perf  -2
броварня	броварня noun:f:v_naz  8
лекції	лекція noun:f:v_mis -1
ексклюзивне	ексклюзивний adj:n:v_naz 23
свинячої	свинячий adj:f:v_rod  -3
крутий	крутий adj:m:v_naz:compb  32
вікна	вікно noun:n:v_rod  0
сортів	сорт noun:p:v_rod  0
несмачна	несмачний adj:f:v_naz  -10
поверсі	поверх noun:m:v_mis  0
серйозні	серйозний adj:p:v_naz:compb  0
подача	подача noun:f:v_naz  0
чудове	чудовий adj:n:v_naz:compb 20
бридка	бридкий adj:f:v_naz:compb  -22
були	бути verb:past:p:imperf  8
стоїть	стояти verb:pres:s:3:imperf  2
момент	момент noun:m:v_naz  15
першого	перший adj:m:v_rod 1
шинка	шинка noun:f:v_naz 4
маса	маса noun:f:v_naz  0
мале	малий adj:n:v_naz:compb 0
жахливо	жахливо adv:compb  -40
чекайте	чекати verb:impr:p:2:imperf  -9
відкриття	відкриття noun:n:v_naz  10
відкривають	відкривати verb:pres:p:3:imperf  12
чіпси	чіпси noun:p:v_naz 4
єдиний	єдиний adj:m:v_naz  0
любителя	любитель noun:m:v_rod:anim 0
куліш	куліш noun:unknown  10
тартар	тартар noun:m:v_naz  3
ввечері	ввечері adv:v-u  0
львові	- -  3
штука	штука noun:f:v_naz  0
неділям	неділя noun:p:v_dav  11
вино	вино noun:n:v_naz 17
хорошим	хороший adj:m:v_oru:compb  24
небайдужих	небайдужий adj:p:v_mis 17
офіціантів	офіціант noun:p:v_rod:anim 7
бідне	бідний adj:n:v_naz:compb -4
емоція	емоція noun:f:v_naz  0
кишені	кишеня noun:f:v_dav  0
працюйте	працювати verb:impr:p:2:imperf  21
сувеніри	сувенір noun:p:v_naz 2
пробували	пробувати verb:past:p:imperf  0
петро	- -  0
найкращі	хороший adj:p:v_naz:super 8
трішки	трішки adv  0
порозслаблятись	- -  0
туристів	турист noun:p:v_rod:anim 0
яке	який adj:n:v_naz:&pron:int:rel:def 0
розчарування	розчарування noun:n:v_naz -11
вміння	вміння noun:n:v_naz:v-u  4
святослав	- -  0
цікаво	цікаво adv:compb  12
смачнючим	- -  17
особливих	особливий adj:p:v_mis 28
персонального	персональний adj:m:v_rod 2
стерильній	стерильний adj:f:v_dav  0
пітонів	пітон noun:p:v_rod:anim -33
бельгії	- -  12
суцільне	суцільний adj:n:v_naz 0
симпатичні	симпатичний adj:p:v_naz:compb 6
смачним	смачний adj:m:v_oru:compb 12
супер	супер noun:m:v_naz 17
закрили	закрити verb:past:p:perf  -12
другої	другий adj:f:v_rod  0
обережно	обережно adv:compb  4
страв	страва noun:p:v_rod  4
цілому	цілий adj:m:v_dav 4
анастасія	- -  4
досхочу	досхочу adv  0
чекаю	чекати verb:pres:s:1:imperf  0
повна	повний adj:f:v_naz:compb  0
духовий	духовий adj:m:v_naz  15
паб	паб noun:m:v_naz  5
львів	- -  3
надзвичайною	надзвичайний adj:f:v_oru  10
захід	захід noun:m:v_naz  4
нереально	нереально adv  -6
думаю	думати verb:pres:s:1:imperf  0
працюють	працювати verb:pres:p:3:imperf  0
жахливі	жахливий adj:p:v_naz:compb -16
кухня	кухня noun:f:v_naz  2
ідея	ідея noun:f:v_naz  4
картопляні	картопляний adj:p:v_naz 0
типи	тип noun:p:v_kly:anim 0
дорого	дорого adv:compb  -14
ціни	цінити verb:impr:s:2:imperf 0
революція	революція noun:f:v_naz  5
фест	фест noun:m:v_naz:bad 15
завершення	завершення noun:n:v_naz -9
тішить	тішити verb:pres:s:3:imperf  4
гіркувате	гіркуватий adj:n:v_naz -3
ксенія	- -  0
скудне	- -  0
сушену	сушений adj:f:v_zna:&adjp:pasv:past -6
щастя	щастя noun:n:v_naz 4
спеціально	спеціально adv  0
скромно	скромно adv:compb  0
вода	вода noun:f:v_naz  0
бочками	бочка noun:p:v_oru 0
цікавий	цікавий adj:m:v_naz:compb  10
чай	чай noun:m:v_naz 4
ніно	- -  0
малий	малий adj:m:v_naz:compb  0
ніяка	ніякий adj:f:v_naz:&pron:neg  0
пива	пиво noun:n:v_rod  4
містом	місто noun:n:v_oru  6
ресторані	ресторан noun:m:v_mis  8
власне	власне власний adj:n:v_naz 11
третьої	третій adj:f:v_rod  0
нога	нога noun:f:v_naz  0
виглядає	виглядати verb:pres:s:3:imperf  0
маленьким	маленький adj:m:v_oru  0
зберігатимуть	зберігати verb:futr:p:3:imperf  0
відбувся	відбутися verb:rev:past:m:perf  4
львівська	львівський adj:f:v_naz  7
джазовим	джазовий adj:m:v_oru 9
хмільного	хмільний adj:m:v_rod  6
виготовлене	виготовлений adjp:pasv:past:n:v_naz 2
нових	новий adj:p:v_mis:compb  18
важко	важко adv:compb  -6
інтер	- -  0
фуршетом	фуршет noun:m:v_oru  0
дорога	дорога noun:f:v_naz 0
музика	музика noun:f:v_naz  0
стосовно	стосовно adv  0
плюс	плюс noun:m:v_naz 4
ззовні	ззовні adv  3
вид	вид noun:m:v_naz  0
їсти	їсти verb:inf:imperf  0
атмосферою	атмосфера noun:f:v_oru  14
смачно	смачно adv:compb  10
павло	- -  0
крафтова	- -  0
виробництва	виробництво noun:n:v_rod 0
відкриті	відкритий adjp:pasv:past:p:v_naz:compb 4
оригінальна	оригінальний adj:f:v_naz:compb  19
зустріч	зустріч noun:f:v_naz 13
класна	класний adj:f:v_naz  27
заклад	заклад noun:m:v_naz 0
вариться	варитися verb:rev:pres:s:3:imperf  0
різноманітне	різноманітний adj:n:v_naz:compb  10
концептуальний	концептуальний adj:m:v_naz    23
