Harmider 20-30 female
взагалі			взагалі 		adv:v-u  0
не				не 				part  0
говорити		говорити 		verb:inf:imperf 0
Прийміть		прийняти 		verb:impr:p:2:perf  0
міри			міра 			noun:p:v_zna  0
втратите		втратити 		verb:futr:p:2:perf:v-u  -20
велику			великий 		adj:f:v_zna:compb  20
кількість		кількість 		noun:f:v_zna  10
ваших			ваш 			adj:p:v_zna:&pron:pos  10
шанувальників	шанувальник 	noun:p:v_zna:anim  20
Челентано		Челентано 		noun:m:v_naz:nv:np:anim:lname 10
на				на 				prep:rv_zna:rv_mis  0
Я				я 				pron:pers:s:1:v_naz:anim  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
подругою		подруга 		noun:f:v_oru:anim  10
вирішили		вирішити 		verb:past:p:perf  10
поїсти			поїсти 			verb:inf:perf  10
піцу			піца 			noun:f:v_zna  10
а				а 				conj:coord  10
настрій			настрій 		noun:m:v_naz  10
обурення		обурення 		noun:n:v_naz  -20
і				і 				conj:coord  0
просто			просто 			part  0
шок				шок 			noun:m:v_naz  0
що				що 				pron:int:rel:n:v_naz  0
отримала		отримати 		verb:past:f:perf  0
відвідавши		відвідати 		advp:perf  0
ваш				ваш 			adj:m:v_zna:&pron:pos  0
заклад			заклад 			noun:m:v_zna  0
Оскільки		оскільки 		conj:subord  0
це				цей 			adj:n:v_naz:&pron:dem  0
вихідний		вихідний 		adj:m:v_naz   0
день			день 			noun:m:v_naz  0
і				і 				conj:coord  0
дуже			дуже 			adv  0
багато			багато 			numr:p:v_naz:&pron:ind  0
відвідувачів	відвідувач 		noun:p:v_rod:anim  6
всі				весь 			adj:p:v_naz:&pron:dem  0
столики			столик 			noun:p:v_naz  0
всередині		всередині 		adv:v-u  0
були			бути 			verb:past:p:imperf  0
зайняті			зайнятий 		adjp:pasv:past:p:v_naz  -10
і				і 				conj:coord  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
вирішили		вирішити 		verb:past:p:perf  0
присісти		присісти 		verb:inf:perf  0
на				на 				prep:rv_zna:rv_mis  0
літньому		літній 			adj:m:v_mis 0
майданчику		майданчик 		noun:m:v_mis 0
коли			коли 			conj:subord 0
тільки			тільки 			part  0
звільнився		звільнитися 	verb:rev:past:m:perf  0
столик			столик 			noun:m:v_naz  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
одразу			одразу 			adv  0
присіли			присісти 		verb:past:p:perf  0
до				до 				prep:rv_rod  0
нас				ми 				pron:pers:p:1:v_rod:anim  0
довго			довго 			adv:compb  0
не				не 				part  0
підходив		підходити 		verb:past:m:imperf  0
офіціант		офіціант 		noun:m:v_naz:anim  0
а				а 				conj:coord  0
коли			коли 			conj:subord  0
я				я 				pron:pers:s:1:v_naz:anim  0
покликала		покликати 		verb:past:f:imperf  0
то				то 				conj:subord  0
підійшов		підійти 		verb:past:m:perf  0
офіціант		офіціант 		noun:m:v_naz:anim  0
і				і 				conj:coord  0
не				не 				part  0
представившись	представитися   advp:rev:perf  0
одразу			одразу 			adv  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
агресією		агресія 		noun:f:v_oru  0
почав			почати 			verb:past:m:perf  0
говорити		говорити 		verb:inf:imperf  0
що				що 				conj:subord  0
ПРИНЦИПОВО		принципово 		adv  -10
не				не 				part  -10
збирається		збиратися 		verb:rev:pres:s:3:imperf  -10
прибирати		прибирати 		verb:inf:imperf  -10
наш				наш 			adj:m:v_zna:&pron:pos  0
столик			столик 			noun:m:v_zna  0
через			через 			prep:rv_zna  0
те				той 			adj:n:v_zna:&pron:dem  0
що				що 				pron:int:rel:n:v_zna  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
присіли			присісти 		verb:past:p:perf  0
за				за 				prep:rv_rod:rv_zna:rv_oru 0
неприбраний		неприбраний 	adj:m:v_zna  -30
стіл			стіл 			noun:m:v_zna 0
В				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
мене			я 				pron:pers:s:1:v_rod:anim  0
просто			просто 			part  0
шок				шок 			noun:m:v_naz  0
Адміністратор	адміністратор 	noun:m:v_naz:anim  0
пояснив			пояснити 		verb:past:m:perf  0
поведінку		поведінка 		noun:f:v_zna  0
офіціанта		офіціант 		noun:m:v_rod:anim  0
тим				той 			adj:m:v_oru:&pron:dem  0
що				що 				conj:subord  0
коли			коли 			conj:subord  0
неприбраний		неприбраний		adj:m:v_naz  -30
стіл			стіл 			noun:m:v_naz   0
то				то 				conj:subord  0
будуть			бути 			verb:futr:p:3:imperf  0
змітатися		змітатися 		verb:rev:inf:imperf  -10
нам				ми 				pron:pers:p:1:v_dav:anim  0
на				на 				prep:rv_zna:rv_mis  0
коліна			коліно 			noun:p:v_zna 0
а				а 				conj:coord  0
це				цей 			adj:n:v_naz:&pron:dem  0
незручно		незручно 		adv  -10
по				по 				prep:rv_mis:rv_zna  0
перше			перший 			adj:n:v_naz  0
зі				зі 				prep:rv_rod:rv_zna:rv_oru 0
стола			стіл 			noun:m:v_rod   0
змітаються		змітатися 		verb:rev:pres:p:3:imperf  -10
на				на 				prep:rv_zna:rv_mis  0
якийсь			якийсь 			adj:m:v_zna:&pron:ind  0
посуд			посуд 			noun:m:v_zna  0
а				а 				conj:coord  0
не				не 				part  0
на				на 				prep:rv_zna:rv_mis  0
землю			земля 			noun:f:v_zna  0
чи				чи 				conj:coord:subord  0
на				на 				prep:rv_zna:rv_mis  0
коліна			коліно 			noun:p:v_zna  0
по				по 				prep:rv_mis:rv_zna  0
друге			другий 			adj:n:v_naz  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
б				б 				part  0
могли			могти 			verb:unknown  0
встати			встати 			verb:inf:perf:v-u  0
набагато		набагато 		adv  0
сидіти			сидіти 			verb:inf:imperf  0
за				за 				prep:rv_rod:rv_zna:rv_oru 0
принципово		принципово 		adv  0
неприбраним		неприбраний 	adj:m:v_oru  -20
столом			стіл 			noun:m:v_oru 0
коли			коли 			conj:subord 0
я				я 				pron:pers:s:1:v_naz:anim  0
запитала		запитати 		verb:past:f:perf  0
офіціанта		офіціант 		noun:m:v_zna:anim  0
як				як 				conj:subord 0
його			він 			pron:pers:m:3:v_rod:anim 0
звати			звати 			verb:inf:imperf  0
він				він 			pron:pers:m:3:v_naz:anim 0
просто			просто 			part  0
без				без 			prep:rv_rod  0
слів			слово 			noun:p:v_rod  0
розвернувся		розвернутися 	verb:rev:past:m:perf  -10
і				і 				conj:coord  0
показав			показати 		verb:past:m:perf  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
спину			спина 			noun:f:v_zna  0
бо				бо 				conj:subord 0
на				на 				prep:rv_zna:rv_mis  0
спині			спина 			noun:f:v_mis  0
написані		написаний 		adjp:pasv:past:p:v_naz  0
їхні			їхній 			adj:p:v_zna:&pron:pos  0
імена			ім'я 			noun:p:v_zna  0
звичайно		звичайно 		adv:compb  0
після			після 			prep:rv_rod  0
такого			такий 			adj:m:v_rod:&pron:def  0
всяке			всякий 			adj:n:v_naz:&pron:gen:v-u  0
бажання			бажання 		noun:n:v_naz  10
їсти			їсти 			verb:inf:imperf  10
просто			просто			part  10
пропало			пропасти 		verb:past:n:perf  -10
мені			я 				pron:pers:s:1:v_dav:anim  0
дуже			дуже 			adv 0
неприємно		неприємно 		adv:compb  20
за				за 				prep:rv_rod:rv_zna:rv_oru 0
таке			такий 			adj:n:v_zna:&pron:def  0
відношення		відношення 		noun:n:v_zna  0
а				а 				conj:coord   0
ще				ще 				adv  0
дуже			дуже 			adv 0
шкода			шкода 			noun:f:v_naz -10
бо				бо 				conj:subord  -10
обожнювала		обожнювати 		verb:past:f:imperf  0
вашу			ваш 			adj:f:v_zna:&pron:pos  0
піцу			піца 			noun:f:v_zna  0
пропало			пропасти 		verb:past:n:perf  -10
всяке			всякий 			adj:n:v_naz:&pron:gen:v-u  0
бажання			бажання 		noun:n:v_naz  0
відвідувати		відвідувати 	verb:inf:imperf  0
ресторан		ресторан 		noun:m:v_zna  10
де				де 				adv:&pron:int:rel 0
принципово		принципово 		adv  0
відмовляються	відмовлятися 	verb:rev:pres:p:3:imperf  -20
прибирати		прибирати 		verb:inf:imperf  -20
ваш				ваш 			adj:m:v_zna:&pron:pos  0
столик			столик 			noun:m:v_zna  0
Доброго			добрий 			adj:m:v_rod:compb  0
дня				день 			noun:m:v_rod  0
зайшла			зайти 			verb:past:f:perf  0
на				на 				prep:rv_zna:rv_mis  0
Ваш				ваш 			adj:m:v_zna:&pron:pos 0
сайт			сайт 			noun:m:v_zna  0
випадково		випадково 		adv  0
і				і 				conj:coord 0
прочитала		прочитати 		verb:past:f:perf  0
відгуки			відгук 			noun:p:v_zna  0
Здивована		здивований 		adjp:pasv:past:f:v_naz  0
чому			чому 			adv:&pron:int:rel 0
стільки			стільки 		numr:p:v_naz:&pron:ind 0
незадоволених	незадоволений 	adj:p:v_rod  -20
Відвідувала		відвідувати 	verb:past:f:imperf  0
заклад			заклад 			noun:m:v_zna  0
неодноразово	неодноразово 	adv  0
і				і 				conj:coord 0
кожен			кожний 			adj:m:v_naz:contr  0
раз				раз 			noun:m:v_naz  0
залишалася		залишатися 		verb:rev:past:f:imperf  0
задоволена		задоволений 	adj:f:v_naz:compb:&adjp:pasv:past 20
Домашня			домашній 		adj:f:v_naz  20
атмосфера		атмосфера 		noun:f:v_naz  20
комфортно		комфортно 		adv:compb  20
Приємно			приємно 		adv:compb  20
вражає			вражати 		verb:pres:s:3:imperf  20
привітний		привітний 		adj:m:v_naz:compb   20
персонал		персонал 		noun:m:v_naz  20
починаючи		починати 		advp:imperf  0
кухарями		кухар 			noun:p:v_oru:anim  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
роботою			робота 			noun:f:v_oru  0
яких			який 			adj:p:v_rod:&pron:int:rel:def  0
приємно			приємно 		adv:compb  20
спостерігати	спостерігати 	verb:inf:imperf  0
і				і 				conj:coord  0
закінчуючи		закінчувати 	advp:imperf  0
адміністратором	адміністратор 	noun:m:v_oru:anim  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
якої			який 			adj:f:v_rod:&pron:int:rel:def  0
до				до 				prep:rv_rod  0
кожного			кожний 			adj:m:v_rod:&pron:def   0
гостя			гість 			noun:m:v_rod:anim  10
свій			свій 			adj:m:v_naz:&pron:pos   0
підхід			підхід 			noun:m:v_naz  0
Влітку			влітку 			adv:v-u  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
дали			дати 			verb:past:p:perf  0
чудовий			чудовий 		adj:m:v_zna:compb  20
столик			столик 			noun:m:v_zna  0
швидко			швидко 			adv:compb  0
та				та 				conj:coord  0
якісно			якісно 			adv:compb  20
обслужили		обслужити 		verb:past:p:perf  20
після			після 			adv prep:rv_rod  0
того			той 			adj:m:v_rod:&pron:dem  0
як				як 				conj:subord  0
принесли		принести 		verb:past:p:perf  0
надзвичайно		надзвичайно 	adv  20
смачну			смачний 		adj:f:v_zna:compb  20
піцу			піца 			noun:f:v_zna  20
до				до 				prep:rv_rod  0
слова			слово 			noun:n:v_rod 0
нам				ми 				pron:pers:p:1:v_dav:anim  0
ніхто			ніхто 			pron:neg:v_naz:anim  0
не				не 				part  0
не				не 				part  -10
заглядав		заглядати 		verb:past:m:imperf  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
тарілку			тарілка 		noun:f:v_zna  0
але				але 			conj:coord  0
і				і 				part  0
коли			коли 			conj:subord  0
було			бути 			verb:past:n:imperf  0
було			бути 			verb:past:n:imperf  0
потрібно		потрібно 		adv:compb  0
офіціант		офіціант 		noun:m:v_naz:anim  0
був				бути 			verb:past:m:imperf  0
тут				тут 			adv:&pron:dem  0
як				як 				adv:&pron:int:rel  0
тут				тут 			adv:&pron:dem  0
Нам				ми 				pron:pers:p:1:v_dav:anim 0
підігріли		підігріти 		verb:past:p:perf  0
сік				сік 			noun:m:v_naz  0
для				для 			prep:rv_rod  0
дітей			діти 			noun:p:v_rod:anim  0
дали			дати 			verb:past:p:perf  0
маленький		маленький 		adj:m:v_zna  0
стакан			стакан 			noun:m:v_zna  0
для				для 			prep:rv_rod  0
найменшого		малий 			adj:m:v_rod:super  0
та				та 				conj:coord  0
й				й 				part  0
багато			багато 			numr:p:v_naz:&pron:ind  0
інших			інший 			adj:p:v_rod:&pron:def  0
примх			примха 			noun:p:v_rod  -10
було			бути 			verb:past:n:imperf  0
виконано		виконати 		verb:impers:perf  0
без				без 			prep:rv_rod  0
жодних			жодний 			adj:p:v_rod:&pron  0
Восени			восени 			adv  0
дуже			дуже 			adv 0
поспішала		поспішати 		verb:past:f:imperf  -10
мала			мати 			verb:past:f:imperf  0
20				20 				number  0
хвилин			хвилина 		noun:p:v_rod  0
аби				аби 			conj:subord  0
посидіти		посидіти 		verb:inf:perf  0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
подругою		подруга 		noun:f:v_oru:anim  0
Була			бути 			verb:past:f:imperf  0
приємно			приємно 		adv:compb  0
вражена			вражений 		adjp:pasv:past:f:v_naz  10
коли			коли 			conj:subord  10
не				не 				part  10
пройшло			пройти 			verb:past:n:perf  10
й				й 				part  10
5				5 				number  10
хвилин			хвилина 		noun:p:v_rod  0
як				як 				conj:subord 0
нам				ми 				pron:pers:p:1:v_dav:anim 0
усе				усе 			adv:v-u   0
принесли		принести 		verb:past:p:perf 0
Надзвичайна		надзвичайний 	adj:f:v_naz  20
атмосфера		атмосфера 		noun:f:v_naz  20
надзвичайна		надзвичайний 	adj:f:v_naz  20
їжа				їжа 			noun:f:v_naz  20
і				і 				conj:coord  20
ціни			ціна 			noun:p:v_naz  20
до				до речі 		<insert>  20
речі			до речі 		<insert>  20
досить			досить 			adv  20
демократичні	демократичний 	adj:p:v_naz:compb  20
більше			багато 			adv:compr  20
того			той 			adj:m:v_rod:&pron:dem 10
чисто			чисто 			adv:compb  10
Приємно			приємно 		adv:compb  10
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  10
вас				ви 				pron:pers:p:2:v_rod:anim  10
знаходитись		знаходитися 	verb:rev:inf:imperf 10
мене			я 				pron:pers:s:1:v_rod:anim 10
Львів			Львів 			noun:m:v_naz  10
став			стати 			verb:past:m:perf  10
домом			дім 			noun:m:v_oru  20
а				а 				conj:coord  10
ваш				ваш 			adj:m:v_naz:&pron:pos  10
заклад			заклад 			noun:m:v_naz  10
3-тім			3-той 			adj:m:v_mis:&pron:dem  30
на				на 				prep:rv_zna:rv_mis  30
смітнику		смітник 		noun:m:v_mis  -20
Навпроти		навпроти 		adv  0
літнього		літній 			adj:m:v_rod  0
майданчика		майданчик 		noun:m:v_rod  -10
розташовані		розташований 	adjp:pasv:past:p:v_zna  -10
сміттєві		сміттєвий 		adj:p:v_zna  -10
баки			бак 			noun:p:v_zna  -10
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  -10
яких			який 			adj:p:v_zna:&pron:int:rel:def -10
порпаються		порпатися 		verb:rev:pres:p:3:imperf  -10
бомжі			бомж 			noun:p:v_naz:anim -20
Під				під 			prep:rv_zna:rv_oru  -20
ногами			нога 			noun:p:v_oru  -10
бігають			бігати 			verb:pres:p:3:imperf  -10
величезні		величезний 		adj:p:v_naz  -10
щурі			щур 			noun:m:v_mis:anim -20
За				за 				prep:rv_rod:rv_zna:rv_oru 0
величезна		величезний 		adj:f:v_naz  0
будова			будова 			noun:f:v_naz  0
із				із 				prep:rv_rod:rv_zna:rv_oru 0
пилюкою			пилюка 			noun:f:v_oru  -20
і				і 				conj:coord  -20
брудом			бруд 			noun:m:v_oru  -20
що				що				conj:subord   -20
летить			летіти 			verb:pres:s:3:imperf  -10
на				на 				prep:rv_zna:rv_mis  -10
вас				ви 				pron:pers:p:2:v_zna:anim -10
коли			коли 			conj:subord  -10
ви				ви 				pron:pers:p:2:v_naz:anim -10
сидите			сидіти 			verb:pres:p:2:imperf  0
на				на 				prep:rv_zna:rv_mis  0
майданчику		майданчик 		noun:m:v_mis  0
Страви			страва 			noun:p:v_naz  0
сумнівної		сумнівний 		adj:f:v_rod  -10
якості			якість 			noun:f:v_rod  -10
здається		здаватися 		verb:rev:pres:s:3:imperf  -10
зроблена		зроблений 		adjp:pasv:past:f:v_naz  -10
із				із 				prep:rv_rod:rv_zna:rv_oru -10
вчорашнього		вчорашній 		adj:m:v_rod:v-u  -10
салату			салат 			noun:m:v_rod  -10
Місце			місце 			noun:n:v_naz -10
просто			просто 			part  -10
огидне			огидний 		adj:n:v_naz:compb  -20
Доброго			добрий 			adj:m:v_rod:compb  20
дня				день 			noun:m:v_rod  20
дуже			дуже 			adv  20
подобається		подобатися		verb:rev:pres:s:3:imperf  20
ваш				ваш 			adj:m:v_naz:&pron:pos  20
заклад			заклад 			noun:m:v_naz 20
особливо		особливо 		adv  20
за				за				prep:rv_rod:rv_zna:rv_oru 20
смачну			смачний 		adj:f:v_zna:compb  20
піцу			піца 			noun:f:v_zna  20
та				та 				conj:coord  20
дитячу			дитячий 		adj:f:v_zna  20
кімнату			кімната 		noun:f:v_zna 20
Але				але 			conj:coord  20
останнього		останній 		adj:m:v_rod  0
разу			раз 			noun:m:v_rod  0
стався			статися 		verb:rev:past:m:perf  0
прикрий			прикрий 		adj:m:v_naz:compb 0
інцидент		інцидент 		noun:m:v_naz  -10
Завжди			завжди 			adv:&pron:gen  0
у				у 				prep:rv_zna:rv_mis:rv_rod:v-u  0
Вас				ви 				pron:pers:p:2:v_rod:anim  0
був				бути 			verb:past:m:imperf  0
хороший			хороший 		adj:m:v_naz:compb  0
адміністратор	адміністратор 	noun:m:v_naz:anim  10
хлопчина		хлопчина 		noun:f:v_naz:anim  10
але				але 			conj:coord  10
НОВИЙ			новий 			adj:m:v_naz:compb  -10
АДМІНІСТРАТОР	адміністратор 	noun:m:v_naz:anim  -20
це				цей 			adj:n:v_naz:&pron:dem  -10
просто			просто 			part   -10
КАТАСТРОФА		катастрофа 		noun:f:v_naz  -40
Постараюсь		постаратися 	verb:rev:futr:s:1:perf  -10
викласти		викласти 		verb:inf:perf  -10
свою			свій 			adj:f:v_zna:&pron:pos  -10
пригоду			пригода 		noun:f:v_zna  -10
зрозуміло		зрозуміло 		adv:compb -10
Так				так 			conj:coord:subord  -10
як				як 				conj:subord  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
з				з 				prep:rv_rod:rv_zna:rv_oru 0
малою			малий 			adj:f:v_oru:compb  0
дитиною			дитина 			noun:f:v_oru:anim  0
завжди			завжди 			adv:&pron:gen  0
просимо			просити 		verb:pres:p:1:imperf  0
щоб				щоб 			conj:subord  0
нам				ми 				pron:pers:p:1:v_dav:anim 0
давали			давати 			verb:past:p:imperf  0
столик			столик 			noun:m:v_zna  0
поблизу			поблизу 		prep:rv_rod  0
дитячої			дитячий 		adj:f:v_rod  0
кімнати			кімната 		noun:f:v_rod 0
Адміністратор	адміністратор 	noun:m:v_naz:anim  0
завжди			завжди 			adv:&pron:gen  0
враховував		враховувати 	verb:past:m:imperf:v-u  0
наші			наш 			adj:p:v_zna:&pron:pos  0
побажання		побажання 		noun:p:v_zna  0
і				і 				conj:coord  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
почекавши		почекати 		advp:perf  0
трохи			трохи 			adv  0
сідали			сідати 			verb:past:p:imperf  0
поблизу			поблизу 		prep:rv_rod  0
дитячої			дитячий 		adj:f:v_rod  0
кімнати			кімната 		noun:f:v_rod  0
Останнього		останній 		adj:m:v_rod   0
разу			раз 			noun:m:v_rod  0
дівчина-адміністратор	дівчина-адміністратор 	noun:f:v_naz:anim  0
сказала			сказати 		verb:past:f:perf  0
нам				ми 				pron:pers:p:1:v_dav:anim 0
що				що 				conj:subord  0
столики			столик 			noun:p:v_naz  0
не				не 				part  0
скоро			скоро 			adv:compb  0
звільняться		звільнитися 	verb:rev:futr:p:3:perf  0
і				і 				conj:coord  0
щоб				щоб 			conj:subord  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
сідали			сідати 			verb:past:p:imperf  -10
внизу			внизу 			adv:v-u  -10
з				з 				prep:rv_rod:rv_zna:rv_oru -10
іншого			інший 			adj:n:v_rod:&pron:def  -10
кінця			кінець 			noun:m:v_rod  -10
приміщення		приміщення 		noun:n:v_rod -10
Ми				ми 				pron:pers:p:1:v_naz:anim -10
згодились		згодитися 		verb:rev:past:p:perf  -10
оглянути		оглянути 		verb:inf:perf  -10
де				де 				adv:&pron:int:rel  0
столик			столик 			noun:m:v_naz  0
Спустившись		спуститися 		advp:rev:perf  0
вниз			вниз 			adv:v-u  0
дитина			дитина 			noun:f:v_naz:anim  0
почала			почати 			verb:past:f:perf  -10
нас				ми 				pron:pers:p:1:v_zna:anim  -10
до				до 				prep:rv_rod  -10
дитячої			дитячий 		adj:f:v_rod  -10
кімнати			кімната 		noun:f:v_rod  -10
і				і 				conj:coord -10
тут				тут 			adv:&pron:dem  -10
ми				ми 				pron:pers:p:1:v_naz:anim  -10
бачимо			бачити 			verb:pres:p:1:imperf  0
як				як 				conj:subord  0
звільняється	звільнятися 	verb:rev:pres:s:3:imperf  0
столик			столик 			noun:m:v_naz  0
просимо			просити 		verb:pres:p:1:imperf  0
адміністратора	адміністратор 	noun:m:v_zna:anim  0
щоб				щоб 			conj:subord  0
вона			вона 			pron:pers:f:3:v_naz:anim  0
все				все 			part:v-u 0
таки			таки 			part  0
нас				ми 				pron:pers:p:1:v_zna:anim  0
посадила		посадити 		verb:past:f:perf  0
туди			туди 			adv:&pron:dem  0
тому			тому 			conj:subord 0
що				що 				conj:subord  0
дитина			дитина 			noun:f:v_naz:anim  0
не				не 				part  0
захоче			захотіти 		verb:unknown  0
сама			сам 			adj:f:v_naz:&pron:def 0
гратись			гратися 		verb:rev:inf:imperf  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
кімнаті			кімната 		noun:f:v_mis   0
І				і 				part  0
тут				тут 			adv:&pron:dem  0
перед			перед 			noun:m:v_naz  0
нашим			наш 			adj:m:v_oru:&pron:pos  -10
люди			люди 			noun:p:v_naz:anim  -10
які				який 			adj:p:v_naz:&pron:int:rel:def -10
прийшли			прийти 			verb:past:p:perf  -10
недавно			недавно 		adv  0
з				з 				prep:rv_rod:rv_zna:rv_oru  0
вулиці			вулиця 			noun:f:v_rod  0
сідають			сідати 			verb:pres:p:3:imperf  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
той				той 			adj:m:v_zna:&pron:dem  0
вільний			вільний 		adj:m:v_zna:compb  10
столик			столик 			noun:m:v_zna  10
На				на 				prep:rv_zna:rv_mis  0
що				що 				pron:int:rel:n:v_zna  0
адміністратор	адміністратор 	noun:m:v_naz:anim  0
розмахує		розмахувати 	verb:pres:s:3:imperf  -10
руками			рука 			noun:p:v_oru  0
що				що 				conj:subord  0
нічого			ніщо 			pron:neg:v_rod  0
зробити			зробити 		verb:inf:perf  0
не				не 				part  0
можу			могти 			verb:unknown 0
дитина			дитина 			noun:f:v_naz:anim  0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
сльозах			сльоза 			noun:p:v_mis  -10
і				і 				conj:coord -10
одразу			одразу 			adv  -10
зіпсутий		зіпсутий 		adjp:pasv:past:m:v_naz  -10
настрій			настрій 		noun:m:v_naz  -10
Навіть			навіть 			part  -10
не				не 				part  -10
вибачалась		вибачатися 		verb:rev:past:f:imperf  -10
Я				я 				pron:pers:s:1:v_naz:anim  -10
не				не 				part  -10
менеджер		менеджер 		noun:m:v_naz:anim  -10
закладу			заклад 			noun:m:v_rod  -10
але				але 			conj:coord -10
на				на 				prep:rv_zna:rv_mis  -10
мою				мій 			adj:f:v_zna:&pron:pos  -10
думку			на мою думку 	<insert> 0
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  0
такій			такий 			adj:f:v_mis:&pron:def  0
ситуації		ситуація 		noun:f:v_mis  0
потрібно		потрібно 		adv:compb  -10
було			бути 			verb:past:n:imperf  -10
попросити		попросити 		verb:inf:perf  -10
людей			люди 			noun:p:v_zna:anim  -10
сісти			сісти 			verb:inf:perf  0
за				за 				prep:rv_rod:rv_zna:rv_oru  0
інший			інший 			adj:m:v_zna:&pron:def  0
столик			столик 			noun:m:v_zna  0
пояснивши		пояснити 		advp:perf  -10
що				що 				conj:subord  -10
ми				ми 				pron:pers:p:1:v_naz:anim  -10
довше			довгий 			adj:n:v_naz:compr -10
чекаємо			чекати 			verb:pres:p:1:imperf  -10
на				на 				prep:rv_zna:rv_mis  -10
столик			столик 			noun:m:v_zna  0
Це				цей 			adj:n:v_naz:&pron:dem 0
прямі			прямий 			adj:p:v_naz:compb  0
обов'язки		обов'язок		noun:m:v_naz 0
адміністратора	адміністратор 	noun:m:v_rod:anim  0
дуже			дуже 			adv 0
прикро			прикро 			adv:compb  0
дитина			дитина 			noun:f:v_naz:anim  0
до				до 				prep:rv_rod  0
сих				сей 			pron:p:v_rod:rare  -10
пір				пора 			noun:p:v_rod  -10
згадує			згадувати 		verb:pres:s:3:imperf  -10
той				той 			adj:m:v_zna:&pron:dem  -10
інцидент		інцидент 		noun:m:v_zna  -10
що				що 				conj:subord -10
вона			вона 			pron:pers:f:3:v_naz:anim  -13
так				так 			part  -13
і				і 				part -13
не				не 				part  -13
погралась		погратися		verb:rev:past:f:perf  -13
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  -13
кімнаті			кімната 		noun:f:v_mis  -10
і				і 				conj:coord  -10
не				не 				part  -10
з				з 				prep:rv_rod:rv_zna:rv_oru  -10
їла				їсти 			verb:past:f:imperf  -10
піци			піца 			noun:f:v_rod  -10
дуже			дуже 			adv -10
надіюсь			надіятися 		verb:rev:pres:s:1:imperf -10
що				що 				conj:subord  -10
Ви				ви 				pron:pers:p:2:v_naz:anim  -10
врахуєте		врахувати 		verb:futr:p:2:perf:v-u  -10
в				в 				prep:rv_zna:rv_mis:rv_rod:v-u  -10
майбутньому		майбутній 		adj:n:v_mis  -10
цю				цей 			adj:f:v_zna:&pron:dem  -10
помилку			помилка			noun:f:v_zna  -10
З				з 				prep:rv_rod:rv_zna:rv_oru -10
повагою			повага 			noun:f:v_oru  -10
Тетяна			Тетяна 			noun:f:v_naz:anim:fnam -10
