Кілька	             		noun:f:v_naz:anim (numr:p:v_rod:&pron:ind )
перед	                  	noun:m:v_naz (prep:rv_oru) 
тим	                        adj:m:v_oru:&pron:dem 
за                          prep:rv_zna
те	                        adj:n:v_zna:&pron:dem 
саме         	            part
заплатили    	        	verb:past:p:perf 
480	                        number 
гривен	                   	noun:p:v_rod 
напевно	                  	adv 
привозять	            	verb:pres:p:3:imperf 
чартерним	            	adj:m:v_oru
рейсом	                    noun:m:v_oru 
з	                        prep:rv_rod
Уругваю	                	noun:m:v_rod 
за          	            prep:rv_zna
таку	                    adj:f:v_zna:&pron:def 
ціну	                   	noun:f:v_zna 
Більше	         			adv:compr 
не	                        part 
підемо	                   	verb:futr:p:1:perf 
Дуже	              	    adv 
сподобався	          		verb:rev:past:m:perf 
стейк	                    noun:m:v_naz 
Шатобріан	         		noun:m:v_naz:anim:lname 
особливо	          	 	adv 
в	                        prep:rv_mis:v-u 
поєднанні	           	 	noun:n:v_mis 
з	                        prep:rv_oru 
салатом	                    noun:m:v_oru 
Лас-Вегас    	       		noun:m:v_naz 
смак	                    noun:m:v_naz 
салату                  	noun:m:v_rod
я	                        pron:pers:s:1:v_naz:anim 
згадую	                	verb:pres:s:1:imperf 
й	                        conj:coord 
досі	                    adv:&pron:dem
А	                        part 
от           	            part 
на	                        prep:rv_mis 
кістці	                	noun:f:v_mis 
чоловіку	              	noun:m:v_dav:anim 
не	                        part 
сподобався	          		verb:rev:past:m:perf 
замало      	           	adv 
і	                        conj:coord 
сирувате	         		adj:n:v_naz 
І	                        conj:coord 
ще	                        part 
в	                        prep:rv_mis:v-u 
закладі	                   	noun:m:v_mis 
стоїть	                  	verb:pres:s:3:imperf 
якийсь	                  	adj:m:v_naz:&pron:ind
неприємний   	      		adj:m:v_naz:compb 
запах        	          	noun:m:v_naz  
плісняви	             	noun:f:v_rod 
це	                    	adj:n:v_naz:&pron:dem  (part)
дуже	                    adv
псує        	          	verb:pres:s:3:imperf 
враження	            	noun:n:v_zna 
прямо	                   	adv:compb 
з	                        prep:rv_rod
порогу	                    noun:m:v_dav ( noun:m:v_rod)
Вибирав	                  	verb:past:m:imperf 
куди	                    adv:&pron:int:rel 
піти	                    verb:inf:perf
відсвяткувати	     		verb:inf:perf 
своє	                    adj:n:v_naz:&pron:pos (pron:refl:v_naz)
із	                        prep:rv_oru
друзями	                    noun:p:v_oru:anim 
Про	                        prep:rv_zna 
гриль	                    noun:m:v_zna 
чув	                        verb:past:m:imperf 
схвальні	            	adj:p:v_zna 
відгуки	                    noun:p:v_zna 
від	                        prep:rv_rod 
знайомих	              	noun:p:v_rod:anim 
і                           conj:coord 
сам         	            adj:m:v_naz:&pron:def (pron:refl:v_naz)
там	                        adv:&pron:dem
один         	            numr:m:v_zna 
раз	                        noun:m:v_zna 
побував	                  	verb:past:m:perf 
можу	                    verb:unknown 
сказати	                   	verb:inf:perf 
що	                        conj:subord 
все	                        adv:v-u (pron:def:v_naz)
було          	            verb:past:n:imperf 
на	                        prep:rv_mis 
пристойному	            	adj:m:v_mis 
рівні	                    noun:m:v_mis
і              	            conj:coord 
щодо          	            prep:rv_rod 
кухні	                    noun:f:v_rod 
також         	            adv 
Але	                        conj:coord
прочитавши   	         	advp:perf 
коментарі	             	noun:p:v_zna 
залишені	             	adjp:pasv:past:p:v_zna 
на	                        prep:rv_mis 
цьому	        			adj:m:v_mis:&pron:dem
ресурсі	                   	noun:m:v_mis 
поміняв	                  	verb:past:m:perf 
свою	                    adj:f:v_zna:&pron:pos (pron:refl:v_naz)
точку	                    noun:f:v_zna
зору         	            noun:m:v_rod 
Чому	                    adv:&pron:int:rel 
Пояснюю	                	verb:pres:s:1:imperf 
Це	                      	adj:n:v_naz:&pron:dem (part)
стосується   	       		verb:rev:pres:s:3:imperf 
тих	                        adj:p:v_rod:&pron:dem 
дописувачів   	         	noun:p:v_rod:anim 
Олександр	            	noun:m:v_naz:anim:fname 
які	                        adj:p:v_naz:&pron:int:rel:def
вступають    	          	verb:pres:p:3:imperf 
в	                        prep:rv_zna:v-u 
дискусію	              	noun:f:v_zna 
від	                        prep:rv_rod 
імені	                    noun:n:v_rod 
чи	                        conj:coord:subord
то                          conj:subord 
працівників  	         	noun:p:v_rod:anim 
цього	                    adj:m:v_rod:&pron:dem
закладу     	            noun:m:v_rod
чи	                        conj:coord:subord 
то	                        conj:subord 
власників	               	noun:p:v_rod:anim 
Шановні	                  	adj:p:v_naz (noun:m:v_kly)
майте	                    verb:impr:p:2:imperf
хоч	                        part 
трошки      	            adv 
ввічливості  	       		noun:f:v_rod:v-u 
до	                        prep:rv_rod 
своїх	                    adj:p:v_mis:&pron:pos (pron:refl:v_rod:anim)
минулих     	           	adjp:actv:past:p:v_rod 
майбутніх    	      		adj:p:v_rod 
і            	            conj:coord 
теперішніх     	        	adj:p:v_rod 
відвідувачів	        	noun:p:v_rod:anim 
Якщо	                    conj:subord 
комусь	                    pron:ind:v_dav:anim 
і                           conj:coord 
не	                        part 
сподобалася	           		verb:rev:past:f:perf 
Ваша	                    adj:f:v_naz:&pron:pos 
сира	                    adj:f:v_naz 
риба	                    noun:f:v_naz:anim 
чи	                        conj:coord:subord 
погане	                  	adj:n:v_naz:compb 
обслуговування	   		 	noun:n:v_naz
то	                        conj:subord 
вибачтесь	            	verb:rev:impr:p:2:perf 
перед	                    noun:m:v_naz (prep:rv_oru)
цим	                        adj:m:v_oru:&pron:dem
відвідувачем	        	noun:m:v_oru:anim 
який	                    adj:m:v_naz:&pron:int:rel:def (conj:subord)
заплатив     	         	verb:past:m:perf 
Вам	                        pron:pers:p:2:v_dav:anim 
гроші	                    noun:p:v_zna 
запросіть	             	verb:impr:p:2:perf 
його           	            pron:pers:m:3:v_zna:anim
прийти         	          	verb:inf:perf 
до	                        prep:rv_rod 
Вас	                        pron:pers:p:2:v_rod:anim 
ще	                        part 
раз            	            noun:m:v_zna 
щоб                         conj:subord 
переконатися	      		verb:rev:inf:perf 
що           	            conj:subord 
у              	            prep:rv_rod:v-u 
Вас           	            pron:pers:p:2:v_rod:anim
більше                      adv:compr 
такого	                    adj:m:v_rod:&pron:def 
не	                        part 
повториться 	       		verb:rev:futr:s:3:perf 
а	                        conj:coord 
не           	            part 
вступати	             	verb:inf:imperf 
у	                        prep:rv_zna:v-u 
недопустиму	          		adj:f:v_zna 
манеру	                    noun:f:v_zna 
спілкування	           		noun:n:v_rod 
з            	            prep:rv_rod 
Вашого	                    adj:m:v_rod:&pron:pos 
боку         	            noun:m:v_rod 
Панове	                    noun:p:v_kly:anim 
так	                        adv:&pron:dem
негарно                    	adv 
Ви	                        pron:pers:p:2:v_naz:anim
псуєте	                   	verb:pres:p:2:imperf 
собі	                    pron:refl:m:v_dav 
репутацію	             	noun:f:v_zna 
виставляючи   	       		advp:imperf 
себе	                    pron:refl:m:v_zna
грубими	                    adj:p:v_oru:compb 
і	                        conj:coord 
неадекватними	      		adj:p:v_oru 
людьми	                    noun:p:v_oru:anim 
по	                        prep:rv_mis:rv_zna ( prep:rv_dav)
відношенню	           		noun:n:v_dav 
до             	            prep:rv_rod 
своїх	                    adj:p:v_mis:&pron:pos (pron:pos:m:v_rod)
клієнтів    	            noun:p:v_rod:anim 
Дякую	                  	verb:pres:s:1:imperf 
Була	                    verb:past:f:imperf 
на	                        prep:rv_mis 
вихідних	               	adj:p:v_mis
з                           prep:rv_oru
друзями	                    noun:p:v_oru:anim 
з	                        prep:rv_rod
Москви	                  	noun:f:v_rod 
так	                        conj:coord:subord
як                          conj:subord
компанія	               	noun:f:v_naz 
була         	            verb:past:f:imperf 
досить	                    adv  
велика	                    adj:f:v_naz:compb 
замовляли	              	verb:past:p:imperf 
всього       	         	adj:m:v_rod:&pron:dem (pron:def:rel:n:v_rod)
і	                        conj:coord 
багато        	            adv  
Стейки	                    noun:p:v_naz 
вище         	            adv:compr:compr 
будь-яких	            	adj:p:v_rod:&pron:ind 
похвал	                   	noun:p:v_rod 
настільки	             	adv 
класне	                 	adj:n:v_naz 
м'ясо                       noun:n:v_naz 	
що	                        conj:subord 
ми           	            pron:pers:p:1:v_naz:anim
взяли	                   	verb:past:p:perf 
з	                        prep:rv_oru
собою	                    pron:refl:m:v_oru 
Ковбой                      noun:m:v_naz:anim 
на	                        prep:rv_mis 
вході	                    noun:m:v_mis 
дуже        	            adv  
харизматичний	      		adj:m:v_naz 
дядько	                    noun:m:v_naz:anim 
Дуже	                    adv  
приємно	                   	adv:compb 
що	                        conj:subord 
є	                        verb:pres:s::imperf 
таке         	            adj:n:v_naz:&pron:def 
місце         	            noun:n:v_naz 
де            	            adv:&pron:int:rel (conj:subord) 
знають        	            verb:pres:p:3:imperf 
толк	                    noun:m:v_zna 
в	                        prep:rv_mis:v-u 
стейках      	            noun:p:v_mis 
та           	            conj:coord 
закусках     	            noun:p:v_mis 
Шкода	                   	noun:f:v_naz 
не	                        part 
маю                        	verb:pres:s:1:imperf
можливості	             	noun:f:v_rod 
частіше	                    adv:compr 
бувати	                    verb:inf:imperf 
у	                        prep:rv_mis:v-u 
Львові	                    noun:m:v_mis 
Але                        	conj:coord 
тепер	                    adv:&pron:dem 
точно	                    adv 
знаю	                    verb:pres:s:1:imperf 
куди	                   	adv:&pron:int:rel 
вести	                    verb:inf:imperf 
гостей	                   	noun:p:v_zna:anim 
нашого	                    adj:n:v_rod:&pron:pos 
міста                      	noun:n:v_rod 
Успіхів	                    noun:p:v_rod 
та	                        conj:coord 
процвітання	           		noun:n:v_rod
