Lesiv 20-30 female
піду 	             	    verb:futr:s:1:perf 0
і 	                    	    conj:coord 0
знайомим 	    	    adj:p:v_dav 10
буду 	                    verb:futr:s:1:imperf 0
розповідати      	verb:inf:imperf 0
як      	             	    conj:subord                                 0
там 	              	    adv 0
дурять 	           	    verb:pres:p:3:imperf -50
А 	                  	    part 0
всім     	            	pron:dem                               0
раджу 	                  verb:pres:s:1:imperf 10
ретельно 	            adv:compb 0
передивлятись   	verb:rev:inf:imperf 0
чек      	          	    noun:m:v_zna 0
і            	             	conj:coord 0
рахувати 	    	    verb:inf:imperf 0
кількість 	    	    noun:f:v_zna 0
цукерок 	    	        noun:p:v_rod 50
що 	                    	    conj:subord                                 0
берете   	       	    verb:pres:p:2:imperf 0
Перший 	                  adj:m:v_naz   0
раз 	                     noun:m:v_naz 0
була 	                    verb:past:f:imperf 0
у 	                    	    prep:rv_zna:v-u 0
Львові 	        Львів noun:m:v_zna 50
жовтня         	  	    noun:m:v_rod 0
року 	                     noun:m:v_rod 0
з 	            	            prep:rv_rod 0
приводу                   noun:m:v_rod 0
турніру         	        noun:m:v_rod 10
Чемпіонат 	    	    noun:m:v_naz                                 10
України 	          	noun:f:v_rod                                 50
серед 	                   prep:rv_rod 0
Молоді 	                  noun:f:v_rod 10
зі 	                          prep:rv_rod 0
спортивно 	    	    adv 0
бального 	      	    adj:m:v_rod 0
танцю    	          	noun:m:v_rod 					 30
Перед 	                	noun:m:v_oru 0
від'їздом 	          	noun:m:v_oru 0
звісно 	           	    adv 0
я 	                     	    pron:pers:s:1:v_naz:anim 0
з 	                   	    prep:rv_oru 0
друзями 	        	    noun:p:v_oru:anim 50
вирішили 	    	    verb:past:p:perf 0
відвідати 	    	    verb:inf:perf 0
славнозвісну    	adj:f:v_zna 20
шоколадну 	     	    adj:f:v_zna 30
майстерню 	    	    noun:f:v_zna 30
скуштувати  		    verb:inf:perf 10
смачної 	      	    adj:f:v_rod:compb 10
кави 	                    noun:f:v_rod 30
і 	                    	    conj:coord 0
придбати 	    	    verb:inf:perf 0
шоколадних   		    adj:p:v_rod 40
виробів 	    	        noun:p:v_rod 40
На 	                       	prep:rv_mis 0
першому 	    	        adj:n:v_mis 0
поверсі 	        	    noun:m:v_mis 0
нам 	               	    pron:pers:p:1:v_dav:anim 0
зварили 	      	    verb:past:p:perf 0
дуже 	                    adv                0
смачну 	              	adj:f:v_zna:compb 40
каву 	            	    noun:f:v_zna 40
дійсно 	           	    adv 0
таку 	            	    pron:def 0
я 	                   	    pron:pers:s:1:v_naz:anim 0
ще 	                   	    part 0
не 	                       	part -5
пила 	                	verb:past:f:imperf 0
в 	                       	prep:rv_misv-u 0
своєму 	             	    pron:pos 0
житті 	                	noun:n:v_mis 10
і            	            	conj:coord 0
вразили 	      	    verb:past:p:perf 0
хлопці 	          	    noun:p:v_naz:anim 10
консультанти         noun:p:v_naz:anim 0
дуже 	                    adv 0
виховані 	    	    adjp:pasv:past:p:v_zna 30
та 	                      	conj:coord 0
приємні 	    	    adj:p:v_naz:compb											 30
Все 	                     pron:v-u 0
було 	                    verb:past:n:imperf 0
б 	               	        part 0
гаразд 	        adv 0
але 	                  	conj:coord 0
нам 	                	    pron:pers:p:1:v_dav:anim 0
ще       	           	    part 0
потрібно 	    	    adv:compb 0
було 	            	    verb:past:n:imperf 0
придбати 	    	    verb:inf:perf 0
шоколад 	    	    noun:m:v_zna 40
у 	                     	    prep:rv_mis:v-u 0
виді 	              	    noun:m:v_mis 0
сувеніру 	       	    noun:m:v_rod 40
виготовлений    	adjp:pasv:past:m:v_zna 0
на        	              	prep:rv_zna:rv_mis 0
наш 	              	    pron:pos 0
смак 	                	 noun:m:v_zna 20
цікавий 	          	adj:m:v_naz:compb 20
для 	                  	prep:rv_rod 0
дітей 	             	    noun:p:v_rod:anim 	 20
Хлопці 	              	noun:p:v_naz:anim 20
запропонували 		verb:past:p:perf 0
нам 	               	    pron:pers:p:1:v_dav:anim 0
піднятися 	    	    verb:rev:inf:perf 0
на 	                   	    prep:rv_zna 0
другий 	               	adj:m:v_zna 0
поверх 	              	noun:m:v_zna                                 0
в 	                  	        prep:rv_zna:v-u 0
магазин 	       	    noun:m:v_zna 20
що 	                   	    conj:subord 0
ми        	               	pron:pers:p:1:v_naz:anim 0
й 	                        	conj:coord 0
зробили 	      	    verb:past:p:perf 0
вислухавши 	           advp:perf 0
наше 	              	    pron:pos 0
замовлення 	    	    noun:n:v_zna 10
консультант       	noun:m:v_naz:anim 0
дівчина 	      	    noun:f:v_naz:anim 10
послала 	     	    verb:past:f:perf 0
нас 	        	            pron:pers:p:1:v_zna:anim 0
на      	                  prep:rv_zna 0
третій 	               	 adj:m:v_zna 0
поверх 	            	     noun:m:v_zna                                0
нібито 	               	conj:subord 0
там 	                  	pron:dem 0
приймають 	    	    verb:pres:p:3:imperf 0
замовлення 	    	     noun:n:v_zna                                 10
з 	                         	prep:rv_rod 0
третього 	       	    adj:m:v_rod 0
поверху 	           	noun:m:v_rod 0
нас 	                   	pron:pers:p:1:v_rod:anim 0
направили 	         	verb:past:p:perf 0
знову 	                 	adv 0
на 	                 	    prep:rv_zna 0
другий    	       	    adj:m:v_zna 0
кажучи 	           	    advp:imperf 0
що 	                   	    conj:subord                                 0
там 	                  	adv 0
більший 	             adj:m:v_zna:compr 0
вибір    	             	 noun:m:v_zna 10
нам 	                    	pron:pers:p:1:v_dav:anim 0
хотілось 	    	    verb:unknown 0
як 	                   	     part 0
найшвидше 	              adv:super 10
зробити 	     	    verb:inf:perf 0
замовлення   	     	noun:n:v_zna                                 10
адже           	         	conj:subord 0
двоє 	               	numr:p:v_zna 0
не 	                        	part -5
спавши 	                   advp:perf 0
були 	             	    verb:past:p:imperf 0
втомлені 	    	    adjp:pasv:past:p:v_zna:v-u -50
і 	                         	conj:coord 0
от                         	part 0
ми       	               	pron:pers:p:1:v_naz:anim 0
попали 	              	verb:past:p:perf 0
в 	                    	    prep:rv_zna:v-u 0
руки 	             	    noun:f:v_zna                                 0
ЧУДОВОГО 	         	adj:m:v_rod:compb 50
КОНСУЛЬТАНТА         noun:m:v_rod:anim 0
дівчину 	     noun:f:v_rod:anim 10
взагалі 	             adv:v-u 0
назвала 	         	verb:past:f:perf 0
нас 	               	    pron:pers:p:1:v_rod:anim 0
наркоманами     	    noun:p:v_oru:anim -50
бо 	                   	    conj:subord 0
тільки  	            	part 0
вживаючи 	       	    advp:imperf:v-u 0
наркотики 	    	    noun:p:v_zna -50
за 	                       	prep:rv_oru 0
її 	                        pron:pers:f:3:v_zna:anim 0
словами 	           	noun:p:v_oru 0
можна 	            	    predic 0
так 	                 	part 0
довго 	           	    adv:compb 10
не 	                          part -5
спати 	                	verb:inf:imperf 0
потім 	           	    adv 0
сказала 	      	    verb:past:f:perf 0
що       	            	    conj:subord 0
її                          pron:pers:f:3:v_zna:anim 0
вже 	                  	adv:v-u 0
всі 	                	pron:dem 0
задовбали 	         	verb:past:p:perf -50
що 	                   	    conj:subord 0
вона 	            	    pron:pers:f:3:v_naz:anim 0
вже                   	    adv:v-u 0
втомилась    		    verb:rev:past:f:perf:v-u -50
і 	                    	    conj:coord 0
краще 	                     adv 5
її 	                        pron:pers:f:3:v_zna:anim 0
не       	                  part -5
чіпати 	           	    verb:inf:imperf -30
сказала 	       	    verb:past:f:perf 0
що             	       	    conj:subord 0
вона 	                  	pron:pers:f:3:v_naz:anim 0
шостий 	              	adj:m:v_zna 0
день 	                	noun:m:v_zna 0
взагалі 	          	adv:v-u 0
працює   	     	    verb:pres:s:3:imperf 0
там 	        	            adv 0
і 	                    	    conj:coord 0
нічого  	              adv 0
не 	                       	part -5
знає 	            	    verb:pres:s:3:imperf 0
такого   	           	adj:n:v_rod 0
хамства 	         	noun:n:v_rod -50
я 	                    	    pron:pers:s:1:v_naz:anim 0
в 	                     	    prep:rv_mis:v-u 0
житті 	                   noun:n:v_mis 10
не 	                    	    part -5
бачила 	           	    verb:past:f:imperf 0
хоча 	              	    conj:subord 0
сама 	                   adj:f:v_naz 0
працюю 	        	    verb:pres:s:1:imperf 0
в 	                    	    prep:rv_mis:v-u 0
торгівлі 	     	    noun:f:v_mis	 0
Не 	                       	part -5
добившись	    	    advp:rev:perf -10
взагалі 	       	    adv:v-u 0
розуміння 	    	    noun:n:v_rod                                 20
консультантів   	    noun:p:v_rod:anim 0
які 	                conj:subord 0
сказали 	         	verb:past:p:perf 0
що 	                   	    conj:subord 0
цех 	                  	noun:m:v_naz 0
вже 	                 	adv:v-u 0
не       	                  part -5
працює 	        	    verb:pres:s:3:imperf 0
і            	         	    conj:coord 0
нічого 	                    pron:neg:v_zna -10
нам 	               	    pron:pers:p:1:v_dav:anim 0
не 	                          part -5
будуть 	             	    verb:futr:p:3:imperf 0
виготовляти      	verb:inf:imperf 0
хоча 	             	    conj:subord 0
ми       	              	pron:pers:p:1:v_naz:anim 0
пропонували      	verb:past:p:imperf 0
не          	       	    part -5
малу 	            	    adj:f:v_zna:compb -10
суму 	                    noun:f:v_zna 0
грошей 	                   noun:p:v_rod 5
ми        	          	    pron:pers:p:1:v_naz:anim 0
розвернулись     	verb:rev:past:p:perf 0
і 	                   	    conj:coord 0
пішли    	         	    verb:past:p:perf	 0
на 	                       	 prep:rv_zna 0
наше 	               	    pron:pos 0
прохання 	    	    noun:n:v_zna 20
покликати 	    	    verb:inf:perf 0
менеджера 	    	    noun:m:v_rod:anim 0
не        	              	part -5
відреагували    	verb:past:p:perf 0
ніяк 	              	    adv -10
Жахливе 	    	    adj:n:v_naz:compb -50
враження 	         	noun:n:v_naz 20
від 	                 	prep:rv_rod 0
відношення 	    	    noun:n:v_rod 0
до 	                      	prep:rv_rod 0
туристів 	          	noun:p:v_rod:anim	 0
Сама 	                     pron:def                 0
я            	        	    pron:pers:s:1:v_naz:anim 0
з 	                      	    prep:rv_rod 0
міста 	            	    noun:n:v_rod 0
Житомира 	          	noun:m:v_rod 0
де 	                      	pron:int:rel                                 0
також 	               	adv 0
є 	                 	    verb:pres:p:3:imperf 0
шоколадна 	    	    adj:f:v_naz 40
майстерня 	    	    noun:f:v_naz 40
де 	                   	    pron:int:rel                                 0
будь-яке 	    	    pron:ind 0
замовлення 	    	    noun:n:v_zna 10
з 	                        	prep:rv_oru 10
радістю 	      	    noun:f:v_oru 20
виготовляють     	verb:pres:p:3:imperf 0
і 	                   	    conj:coord 0
дуже 	                    adv 0
чемні 	               	adj:p:v_naz:compb 30
консультанти 		    noun:p:v_naz:anim 						 0
Всім 	        	        pron:dem 0
знайомим 	    	    noun:m:v_oru:anim 10
вже 	                     adv:v-u 0
розповіла 	    	    verb:past:f:perf 0
своє 	                    pron:pos 0
враження 	    	    noun:n:v_zna						 10
Був 	                    verb:past:m:imperf	 0
там 	                    	adv	 0
на       	           	    prep:rv_zna	 0
новорічні 	    	    adj:p:v_zna	 20
свята                   	 noun:p:v_zna 20
Жахливе 	    	    adj:n:v_naz:compb -50
враження 	    	    noun:n:v_naz                                								 20
людей 	                	noun:p:v_rod:anim 10
запускають 	       	verb:pres:p:3:imperf	 -20
з 	                   	    prep:rv_rod 0
черги 	             	    noun:f:v_rod							 -10
народу  	        	    noun:m:v_rod	 10
як        	               	 conj:subord 0
оселедців 	    	    noun:p:v_rod:anim	 -20
у 	                       	prep:rv_mis:v-u	 0
діжці 	            	    noun:f:v_mis							 0
дихати 	           	    verb:inf:imperf 10
нема 	                    predic	 -10
чим 	              	    pron:int:rel:n:v_oru 0
намагався 	         	verb:rev:past:m:imperf 0
придбати 	    	    verb:inf:perf 0
цукерок 	          	noun:p:v_rod 40
але 	              	    conj:coord 0
гості    	               noun:p:v_naz:anim 10
з 	                       	prep:rv_rod 0
Росії    	        	     noun:f:v_rod								 -50
яких 	             	    pron:int:rel:def 0
дуже 	                    adv	 0
багато 	           	    adv 0
мені 	                    	pron:pers:s:1:v_dav:anim 0
цього 	                   	pron:dem 0
не        	          	    part -5
дали 	             	    verb:past:p:perf 0
відпихаючи 	    	    advp:imperf -10
кожного 	          	pron:def 0
з 	                        	prep:rv_rod 0
черги 	                	noun:f:v_rod                               -20
Але 	                     conj:coord 0
мені 	                    	pron:pers:s:1:v_dav:anim 0
вдалося 	          	verb:rev:past:n:perf:v-u 0
придбати 	    	    verb:inf:perf 0
десь 	            	     part 0
півтора 	          	numr:m:v_zna:nv 0
кіло 	       noun:m:v_zna	 0
шматкового    		    adj:m:v_rod 10
шоколаду 	          	noun:m:v_rod							 30
дуже 	                    adv 0
смачний 	          	adj:m:v_naz:compb	 50
до 	            до речі         <insert>           0
Хоч 	                  	conj:subord 0
далеко  	       	    adv:compb 0
не 	                          part -5
дешевий 	      	    adj:m:v_naz:compb 5
Взагалі 	        adv  	   0
я 	                     	    pron:pers:s:1:v_naz:anim 0
приїду 	          	    verb:futr:s:1:perf 0
сюди 	              	    adv 0
коли                         conj:subord						         0
не       	               	part -5
буде 	             	    verb:futr:s:3:imperf 0
такого       	    	    pron:def 0
ажіотажу 	          	noun:m:v_rod 20
всі 	             	    pron:dem 0
говорять 	    	    verb:pres:p:3:imperf 0
що                     	    conj:subord 0
дуже 	                    adv 0
файне 	               	adj:n:v_naz 50
місце 	                	noun:n:v_naz 0
Класне 	             	adj:n:v_naz 30
місце 	               	noun:n:v_naz 0
Смачна      	     	adj:f:v_naz:compb 30
кава 	                 	noun:f:v_naz 30
затишна 	            adj:f:v_naz:compb 30
обстановка 	       	noun:f:v_naz 30
чисто 	                	adv:compb 30
привітливі       	adj:p:v_naz 30
працівники 	       	noun:p:v_naz:anim 0
свіжі 	               	adj:p:v_naz:compb 20
квіти        	        	noun:p:v_naz 20
на           	           	preprv_mis 0
столиках    	      	noun:p:v_mis 0
швидке       	       	adj:n:v_naz:compb 0
обслуговування 		noun:n:v_naz 20
помірні 	            adj:p:v_naz 20
ціни 	                    noun:p:v_naz 0
Ну           	             	excl                                 0
і 	                      	 part 0
звісно      	          adv 0
ж            	           	 part 0
гордість 	        	noun:f:v_naz 10
кав'ярні 	        	noun:f:v_rod 30
шоколад 	          	noun:m:v_naz 30
Я                        	pron:pers:s:1:v_naz:anim 0
не 	                          part -5
є            	        	verb:pres:p:1:imperf                                 0
прихильником 	  	noun:m:v_oru:anim 10
чорного 	           	adj:m:v_rod:compb 10
шоколаду       	      	noun:m:v_rod 10
але 	                  	conj:coord 0
одного        	        	numr:n:v_rod 0
разу 	                  	noun:m:v_rod 0
я 	                          pron:pers:s:1:v_naz:anim 0
зайшов 	                 	verb:past:m:perf 0
до 	                        	prep:rv_rod 0
кондитерської 	    noun:f:v_rod 40
і 	                        	conj:coord 0
замовив 	           	verb:past:m:perf 0
каву 	                 	noun:f:v_zna 30
Безперечно   	   	 insert 0
купив 	                  verb:past:m:perf 0
цукерки 	           	 noun:p:v_zna 40
До          	              prep:rv_rod 0
кави 	                	noun:f:v_rod 30
подали      	      	verb:past:p:perf 0
маленьку 	        	adj:f:v_zna 0
цукерку     	         noun:f:v_zna 40
з            	            	prep:rv_rod 0
чорного 	           	adj:m:v_rod:compb 10
шоколаду     	      	noun:m:v_rod 10
Я 	                        	pron:pers:s:1:v_naz:anim 0
спробував    	   	verb:past:m:perf 0
це           	          	pron:dem 0
неймовірний 	 	adj:m:v_naz:compb 30
смак 	                 	noun:m:v_naz 30
я 	                        	pron:pers:s:1:v_naz:anim 0
закохався 	       	verb:rev:past:m:perf 50
у 	                         	prep:rv_zna:v-u 0
цей 	                 	 pron:dem 0
смак        	         	noun:m:v_zna 20
Щоправда 	         	insert 0
тоді         	         	adv      0
я             	            	pron:pers:s:1:v_naz:anim 0
так         	          	pron:dem 0
наївся       	    	verb:rev:past:m:perf 0
чорного 	            	adj:m:v_rod:compb                                 10
шоколаду    	       	noun:m:v_rod 10
що           	           	conj:subord 0
погано       	       	adv:compb -20
почував 	            verb:past:m:imperf 0
себе 	                 	pron:refl:m:v_rod 0
але          	          	conj:coord 0
той 	                 	pron:dem 0
смак          	         	noun:m:v_naz 20
був 	                    verb:past:m:imperf 0
неймовірним 	  	adj:m:v_oru:compb  40
Раджу 	                 verb:pres:s:1:imperf 10
завітати 	        	verb:inf:perf 10

