Barabakh 20-30 female
в	в prep:rv_zna:rv_mis:rv_rod:v-u  0
McD	- 	-  0
за	за 	prep:rv_rod:rv_zna:rv_oru  0
картоплею	картопля 	noun:f:v_oru  15
та	та 	conj:coord  0
морозивом	морозиво noun:n:v_oru  40
жодного	жодний 	adj:m:v_rod:&pron  -10
разу	раз 	noun:m:v_rod  0
не	не 	part  0
отруїлась	отруїтися verb:rev:past:f:perf  -30
думаю	думати verb:pres:s:1:imperf  0
це	цей 	adj:n:v_naz:&pron:dem 0
просто	просто 	adv:compb  0
індивідуальна	індивідуальний adj:f:v_naz  0
фізіологія	фізіологія 	noun:f:v_naz  0
Фастфуди	фастфуд 	noun:p:v_naz  -40
по	по 	prep:rv_mis:rv_zna  0
замовчуванню	замовчування    noun:n:v_dav  0
шкідливі	шкідливий 	adj:p:v_naz:compb  -30
але	але 	conj:coord  0
після	після 	prep:rv_rod  0
макдональдсу	- 	-  -30
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
США	США 	noun:p:v_mis:nv:ns  10
я	я 	pron:pers:s:1:v_naz:anim  0
все	все 	part:v-u 0
таки	таки 	part  0
зацінила	- 	-  10
наш	наш 	adj:m:v_zna:&pron:pos  10
Вітчизняний	вітчизняний 	adj:m:v_naz  10
кращий	хороший 	adj:m:v_naz:compr  20
усі	увесь 	adj:p:v_naz:&pron:dem  0
іноземці	іноземець	noun:p:v_naz:anim  0
першим	перший  adj:n:v_oru  10
ділом	діло 	noun:n:v_oru  0
ідуть	іти 	verb:pres:p:3:imperf  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
макдональдс	- 	-  -30
тому	тому	conj:subord  0
що	що 	conj:subord  0
це	цей 	adj:n:v_naz:&pron:dem  0
місце	місце 	noun:n:v_naz  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
усіх	увесь 	adj:p:v_mis:&pron:dem  0
країнах	країна 	noun:p:v_mis  0
світу	світ   	noun:m:v_rod 0
однакове	однаковий adj:n:v_naz  0
щодо	щодо 	prep:rv_rod  0
мене	я 	pron:pers:s:1:v_rod:anim  0
макдональдс	- 	-  -30
це	цей 	adj:n:v_naz:&pron:dem  0
вигідне	вигідний 	adj:n:v_naz:compb  10
містезнаходження	- 	-  0
для	для 	prep:rv_rod  0
зустрічі	зустріч noun:f:v_rod  10
я	я 	pron:pers:s:1:v_naz:anim  0
там	там 	adv:&pron:dem  0
часто	часто 	adv:compb  5
п'ю	пити 	verb:pres:s:1:imperf  40
чай	чай 	noun:m:v_zna  45
чи	чи 	conj:coord:subord  0
кофе	- 	-  30
їжа	їжа 	noun:f:v_naz  50
тільки	тільки 	part   0
дуже	дуже 	adv 10
рідко	рідко   adv:compb  -20
коли	коли 	conj:subord  0
як	як 	conj:subord  0
то	то 	conj:subord  0
кажеться	казатися verb:rev:pres:s:3:imperf 0
гавнєца	- 	-  -40
захотєлось	- 	-  -10
не	не 	part  0
тре	терти 	verb:pres:s:3:imperf  0
це	цей 	adj:n:v_zna:&pron:dem 0
робити	робити 	verb:inf:imperf  0
ні	ні 	part  -10
макдональдсам	- 	-  -30
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
макдональдсі	- 	-  -30
найбільше	багато 	adv:super 10
люблю	любити  verb:pres:s:1:imperf  50
каву	кава    noun:f:v_zna  30
і	і 	conj:coord  0
морозиво	морозиво noun:n:v_zna  30
морозиво	морозиво noun:n:v_naz  30
їм	їсти    verb:pres:s:1:imperf 35
не	не 	part  0
часто	часто   adv:compb  15
тому	тому 	conj:subord 0
шкоди	шкода 	noun:f:v_rod  -30
якоїсь	якийсь 	adj:f:v_rod:&pron:ind  0
не	не 	part  0
передбачаю	передбачати verb:pres:s:1:imperf  0
а	а 	conj:comrd  0
решта	решта 	noun:f:v_naz  0
їжа	їжа 	noun:f:v_naz  50
то	то 	conj:subord  0
намагаюсь	намагатися verb:rev:pres:s:1:imperf -10
уникати	уникати verb:inf:imperf  -35
так	так 	conj:coord:subord  0
як	як 	conj:subord  0
не	не 	part  0
довіряю	довіряти verb:pres:s:1:imperf  10
Нещодавно	нещодавно adv  0
моя	мій 	adj:f:v_naz:&pron:pos  35
знайома	знайома noun:f:v_naz:anim 20
отруїлася	отруїтися verb:rev:past:f:perf  -50
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
львівському	львівський adj:m:v_mis  15
макдональдсі	- 	-  -30
ІМХО	- 	-  0
про	про 	prep:rv_zna  0
корисність	корисність 	noun:f:v_zna  21
такої	такий 	adj:f:v_rod:&pron:def  21
їжі	їжа 	noun:f:v_rod  50
і	і 	conj:coord  21
так	так 	part  21
все	все 	adv:v-u  0
ясно	ясно 	adv:compb  10
якщо	якщо 	conj:subord  0
дійсно	дійсно	adv  0
рідко	рідко 	adv:compb  -15
то	то 	conj:subord  0
не	не 	part  0
шкідливий	шкідливий adj:m:v_naz:compb  -40
їда	їда 	noun:f:v_naz  50
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
нас	ми 	pron:pers:p:1:v_mis:anim  0
на	на 	prep:rv_zna:rv_mis  0
кухні	кухня 	noun:f:v_mis  25
не	не 	part  0
менш	мало 	adv:compr  -16
шкідлива	шкідливий adj:f:v_naz:compb  -40
Як	як 	conj:subord  0
був	бути 	verb:past:m:imperf  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
Львові	Львів 	noun:m:v_mis  15
то	то 	conj:subord  0
заходив	заходитиverb:past:m:imperf  0
Чомусь	чомусь  adv:&pron:ind  0
виникла	виникнути verb:unknown  0
асоціація	асоціація noun:f:v_naz  0
з	з 	prep:rv_rod:rv_zna:rv_oru 0
конвеєром	конвеєр noun:m:v_oru  -15
та	та 	conj:coord  0
телячою	телячий adj:f:v_oru  -10
фермою	ферма 	noun:f:v_oru 5
Таке	такий 	adj:n:v_naz:&pron:def  0
враження	враження noun:n:v_naz  35
що	що 	conj:subord  0
народ	народ 	noun:m:v_naz  0
туди	туди 	adv:&pron:dem  0
заходить	заходити verb:pres:s:3:imperf  0
тупо	тупо 	adv:compb  -20
щось	щось 	pron:ind:n:v_zna  0
вкинути	вкинути verb:inf:perf:v-u  0
в	в 	prep:rv_zna:rv_mis:rv_rod:v-u  0
шлунок	шлунок  noun:m:v_zna  0
і	і 	conj:coord  0
чимось	щось 	pron:ind:n:v_oru  0
це	цей 	adj:n:v_naz:&pron:dem  0
залити	залити 	verb:inf:perf  0
Я	я 	pron:pers:s:1:v_naz:anim 0
вже	вже 	adv:v-u  0
не	не 	part  0
говорю	говорити 	verb:pres:s:1:imperf  0
про	про 	prep:rv_zna  0
шкідливість	шкідливість noun:f:v_naz  -40
такого	такий  adj:n:v_rod:&pron:def  0
харчування	харчування noun:n:v_rod  15
От	от 	part  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  0
нас	ми 	pron:pers:p:1:v_mis:anim  0
зайти	зайти 	verb:inf:perf  0
хоча	хоча 	part  0
б	б 	part  0
у	у 	prep:rv_zna:rv_mis:rv_rod:v-u  -5
банальну	банальний adj:f:v_zna:compb  -10
столову	столовий adj:f:v_zna  0
то	то 	conj:subord  0
тут	тут 	adv:&pron:dem  0
тобі	ти 	pron:pers:s:2:v_dav:anim  0
і	і 	conj:coord  0
картопелька	картопелька noun:f:v_naz  15
варена	варений adj:f:v_naz:&adjp:pasv:past  20
і	і 	conj:coord  0
салат	салат   noun:m:v_naz  20
і	і 	conj:coord  0
борщик	борщик  noun:m:v_naz  40
і	і 	conj:coord  0
ще	ще 	part  0
купа	купа 	noun:f:v_naz  0
всякого	всякий 	adj:m:v_rod:&pron:gen:v-u  0
от	от 	part  0
там	там 	adv:&pron:dem  0
можна	можна 	predic  0
нормально	нормально adv  10
поїсти	поїсти 	verb:inf:perf  0
зі	зі 	prep:rv_rod:rv_zna:rv_oru 0
десь	десь 	adv:&pron:ind  0
я	я 	pron:pers:s:1:v_naz:anim  0
вже	вже 	adv:v-u  0
таку	такий 	adj:f:v_zna:&pron:def  0
тему	тема 	noun:f:v_zna  0
бачив	бачити 	verb:past:m:imperf  0
Теж	теж 	part  0
при	при 	prep:rv_mis 0
нагоді	нагода  noun:f:v_dav 0
люблю	любити 	verb:pres:s:1:imperf  50
Макдакову	- 	- -30
каву	кава 	noun:f:v_zna  30
особливо	особливо 	adv  0
з	з 	prep:rv_rod:rv_zna:rv_oru  0
ледом	- 	-  10
у	у prep:rv_zna:rv_mis:rv_rod:v-u  0
спеку	спека 	noun:f:v_zna  -10
Хоч	хоч 	part  0
розумію	розуміти 	verb:pres:s:1:imperf  0
що	що 	conj:subord  0
вона	вона 	pron:pers:f:3:v_naz:anim  0
добра	добрий  adj:f:v_naz:compb   30
чи	чи 	conj:coord:subord  0
смачна	смачний adj:f:v_naz:compb  50
за	за 	prep:rv_rod:rv_zna:rv_oru 0
рахунок	рахунок noun:m:v_zna  0
сильного	сильний adj:n:v_rod:compb  0
присмаження	- 	-  -10
там	там 	adv:&pron:dem  0
сорт	сорт 	noun:m:v_naz  0
кави	кава 	noun:f:v_rod  30
вже	вже 	adv:v-u  0
не	не 	part  0
має	мати 	verb:pres:s:3:imperf 0
значення	значення noun:n:v_rod  0
Але	але 	conj:coord  0
на	на 	prep:rv_zna:rv_mis  0
безриб'ї	безриб'я 	noun:n:v_mis  -20
вони	вони 	pron:pers:p:3:v_naz:anim 0
виграють	вигравати   verb:pres:p:3:imperf  0
проти	проти 	adv  0
інших	інший 	adj:p:v_rod:&pron:def  0
хіба	хіба 	part 0
що	що 	conj:subord  0
Старбаксу	- 	-  10
поступаються	поступатися verb:rev:pres:p:3:imperf  -10
за	за 	prep:rv_rod:rv_zna:rv_oru 0
каву	кава 	noun:f:v_zna 30
