Synytsia 20-30 female
на prep:rv_zna:rv_mis  0
обід noun:m:v_naz 50
ситуація noun:f:v_naz  50
бути verb:past:f:imperf  0
той adj:f:v_naz:&pron:dem 0
самий adj:f:v_naz 0
окрім prep:rv_rod  0
це pron:int:dem:n:v_rod 0
додатися verb:rev:past:n:perf  30
ще adv  0
декілька numr:p:v_naz:&pron:ind 0
неприємний adj:p:v_rod:compb -30
момент noun:p:v_rod 0
замовити verb:past:p:perf  20
піца noun:f:v_zna  20
чекати verb:past:p:imperf  -30
на prep:rv_zna:rv_mis  0
вона pron:pers:f:3:v_rod:anim 0
майже adv  0
година noun:f:v_zna  0
час noun:m:v_rod -10
принести verb:past:p:perf  20
тарілка noun:p:v_naz  20
та conj:coord 0
прибор noun:p:v_naz -10
тарілка noun:p:v_naz  10
дуже adv 10
пошкрябаний adjp:pasv:past:p:v_naz  -20
виглядати verb:pres:p:3:imperf  20
не part  -30
естетично adv:compb  20
нарешті adv 0
принести verb:past:p:perf  0
піца noun:f:v_zna  30
ми pron:pers:p:1:v_naz:anim 0
вже adv:v-u  10
бути verb:past:p:imperf  0
досить adv 10
голодний adj:p:v_oru:compb  -20
піца noun:f:v_naz  20
виявитися verb:rev:past:f:perf  20
зовсім adv  -20
не part  -20
смачний adj:f:v_oru:compb  50
тісто noun:n:v_naz  0
бути verb:past:n:imperf  0
абсолютно adv  20
не part  -30
солений adjp:pasv:past:n:v_oru  -30
але conj:coord 0
бути verb:past:p:imperf  0
голодний adj:p:v_naz:compb -21
й conj:coord 0
тихо adv:compb  -20
себе pron:refl:m:v_dav 0
їсти verb:past:p:imperf 50
десь adv:&pron:ind 0
на prep:rv_zna:rv_mis  0
другий adj:m:v_mis 20
шматок noun:m:v_mis  20
піца noun:f:v_rod 20
я pron:pers:s:1:v_naz:anim  20
знайти verb:past:f:perf  20
в prep:rv_zna:rv_mis:rv_rod:v-u  0
вона pron:pers:f:3:v_mis:anim  0
дещо adv  -40
цікавий adj:n:v_naz:compb 50
кусок noun:m:v_naz 0
не part  -30
то conj:subord  0
пластмаса noun:f:v_rod -30
не part  -30
то conj:subord  0
скло noun:n:v_rod  -10
розмір noun:m:v_oru  0
приблизно adv:compb  10
1,5 number  0
на prep:rv_zna:rv_mis  0
1 number  0
см noun:m:v_naz:nv:abbr 0
наїстися verb:rev:past:p:perf 50
покликати verb:past:p:perf  50
адміністратор noun:m:v_zna:anim  -23
не part  -30
почути verb:past:p:perf  49
ні part  -30
вибачення noun:p:v_rod  50
ні part  -20
спроба noun:p:v_rod  20
врегулювати verb:inf:perf:v-u  20
ситуація noun:f:v_zna 20
а conj:coord 0
ще adv 0
що pron:int:rel:n:v_naz 0
здивувати verb:past:n:perf 20
він pron:pers:m:3:v_naz:anim 0
себе pron:refl:m:v_dav 0
так adv:&pron:dem 50
мило adv:compb 50
усміхатися verb:rev:past:m:imperf:v-u 50
жахливий adj:n:v_naz:compb  -50
відношення noun:n:v_naz 41
до prep:rv_rod  0
клієнт noun:p:v_rod:anim 10
більше	adv 10
ні part  -30
нога noun:f:v_oru  0
туди adv:&pron:dem 0
за prep:rv_rod:rv_zna:rv_oru  0
рік noun:p:v_rod  0
5 number  0
заклад noun:m:v_naz  -10
змінитися verb:rev:past:m:perf  20
до prep:rv_rod  0
невпізнання noun:n:v_rod 40
в prep:rv_zna:rv_mis:rv_rod:v-u  0
поганий adj:f:v_zna:compr  -50
сторона noun:f:v_zna 10
бути verb:past:f:imperf  0
в prep:rv_zna:rv_mis:rv_rod:v-u  0
Ель	Греко noun:m:v_naz 0
цей adj:m:v_rod:&pron:dem 0
тиждень noun:m:v_rod  10
кухня noun:f:v_naz  10
настільки adv  10
зіпсований adjp:pasv:past:f:v_naz -50
такий adj:n:v_naz:&pron:def  0
враження noun:n:v_naz 50
що conj:subord 0
макарони noun:p:v_naz -20
бути verb:past:p:imperf  0
два numr:f:v_rod 10
тижневий adj:f:v_rod  10
давність noun:f:v_rod  10
а conj:coord 0
піца noun:f:v_naz  30
як conj:subord 0
підошва noun:f:v_naz -20
доповнювальний adj:m:v_oru 20
елемент noun:m:v_oru  20
бути verb:past:n:imperf  0
той pron:int:dem:n:v_naz 0
що conj:subord 0
не part  0
працювати verb:past:m:imperf  20
туалет noun:m:v_naz -50
і conj:coord 0
ніде adv:&pron:neg  -30
бути verb:past:n:imperf  0
навіть part  -30
помити verb:inf:perf  21
рука noun:p:v_zna  30
персонал noun:m:v_naz  30
це part  0
люди noun:p:v_naz:anim  20
якi conj:coord 0
не part  -30
мати verb:pres:p:3:imperf  30
навіть part  -20
відповідний adj:f:v_rod:compb  30
освіта noun:f:v_rod 30
не part  -30
той adj:n:v_naz:&pron:dem 0
що conj:subord 0
освіта noun:f:v_rod 30
а conj:coord 0
навіть part  -30
жодний adj:p:v_rod:&pron -30
манера noun:p:v_rod  20
адекватний adj:f:v_rod:compb  20
поведінка noun:f:v_rod  20
до речі </insert>  20
до prep:rv_rod  0
наш adj:m:v_rod:&pron:pos 0
рахунок noun:m:v_rod  20
дописати verb:past:p:perf  20
грн noun:p:v_naz:nv:abbr 20
не part  -30
бути verb:past:n:imperf  0
межа noun:p:v_rod  -10
наш adj:n:v_rod:&pron:pos  0
обурення noun:n:v_rod -50
просто adv:compb 10
жах noun:m:v_naz -50
більше adv 50
ніколи adv:&pron:neg  -50
в prep:rv_zna:rv_mis:rv_rod:v-u  0
життя noun:n:v_mis  30
я pron:pers:s:1:v_naz:anim  30
би part  0
не part  -40
відвідати verb:past:f:perf  20
цей adj:m:v_naz:&pron:dem  0
заклад noun:m:v_naz -20
харчування noun:n:v_naz -20
якщо conj:subord  0
можна predic  30
так adv:&pron:dem 30
він pron:pers:m:3:v_zna:anim 0
назвати verb:inf:perf  30
я pron:pers:s:1:v_naz:anim  30
прочитати verb:past:f:perf  30
минулий adjp:actv:past:p:v_naz  -29
коментар noun:p:v_naz  30
й conj:coord 0
перш adv  0
за prep:rv_rod:rv_zna:rv_oru 0
все adv:v-u 20
хотіти verb:unknown  20
звернутися verb:rev:inf:perf  20
до prep:rv_rod  0
адміністратор noun:m:v_rod:anim -20
даний adjp:pasv:past:m:v_rod -10
заклад noun:m:v_rod -30
шановний adj:m:v_naz -30
адміністратор noun:m:v_naz:anim  -30
про prep:rv_zna  0
який adj:m:v_naz:&pron:int:rel:def 0
відмінний adj:m:v_naz 50
сервіс noun:m:v_naz 50
та conj:coord 0
відповідний adj:n:v_naz:compb 30
обслуговування noun:n:v_naz 30
ви pron:pers:p:2:v_naz:anim  0
говорити verb:pres:p:2:imperf 30
це part 0
жахливий adj:n:v_naz:super -50
обслуговування noun:n:v_naz 20
який conj:coord 0
могти verb:unknown  10
бути verb:inf:imperf 0
щоб conj:subord 0
підійти verb:past:m:perf  10
офіціант noun:m:v_naz:anim  -10
прийняти verb:inf:perf  10
замовлення noun:p:v_naz 10
потрібно adv:compb  10
чекати verb:inf:imperf  -30
20 number  0
хвилина noun:p:v_rod  0
при prep:rv_mis 0
тому adv 0
що conj:subord 0
3-4 number  0
офіціант noun:p:v_naz:anim  -20
сидіти verb:pres:p:3:imperf  20
біля prep:rv_rod  0
барний adj:f:v_rod  -30
стійка noun:f:v_rod -20
й conj:coord 0
розмовляти verb:pres:p:3:imperf  29
і conj:coord 29
відвідувач noun:p:v_rod:anim  20
немає predic  -50
потім adv:&pron:dem  10
потрібно adv:compb  10
почекати verb:inf:perf  -20
ще adv 10
30 number  10
хвилина noun:p:v_rod  0
щоб conj:subord 0
нарешті adv 20
принести verb:past:p:perf  20
замовлення noun:n:v_naz 20
якщо conj:subord  0
ви pron:pers:p:2:v_dav:anim 0
захотітися verb:unknown  30
ще adv 0
щось pron:ind:n:v_zna  -8
замовити verb:inf:perf  40
довестися verb:rev:futr:s:3:perf  40
почекати verb:inf:perf  -20
поки conj:subord  0
офіціант noun:m:v_naz:anim  -11
захотіти verb:unknown  30
до prep:rv_rod  0
ви pron:pers:p:2:v_rod:anim 0
підійти verb:inf:perf 30
про prep:rv_zna  0
той adj:n:v_naz:&pron:dem 0
щоб conj:subord 0
принести verb:past:p:perf  20
рахунок noun:m:v_naz 20
потрібно adv:compb  20
просити verb:inf:imperf  -30
також adv 0
2 number  0
раз noun:p:v_naz -20
решта noun:f:v_zna  30
після adv  0
оплата noun:f:v_rod -10
рахунок noun:m:v_rod  20
також adv 0
ніхто pron:neg:v_naz:anim  -30
не part  -30
вважати verb:pres:s:3:imperf  29
за prep:rv_rod:rv_zna:rv_oru 0
потрібний adj:n:v_naz:compb 30
приносити verb:inf:imperf 30
крім prep:rv_rod  0
цей adj:n:v_rod:&pron:dem  0
весь adj:n:v_rod:&pron:dem  20
офіціант noun:p:v_naz:anim  -20
зовсім adv  -30
не part   -30
привітний adj:p:v_naz:compb  50
й conj:coord 0
не part  0
мати verb:pres:s:3:imperf 30
ніякий adj:n:v_rod:&pron:neg  30
бажання noun:n:v_rod 30
приходити verb:inf:imperf  30
ще adv  10
раз noun:m:v_naz -20
в prep:rv_zna:rv_mis:rv_rod:v-u  0
Ель Греко noun:m:v_naz 0
і conj:coord 0
я pron:pers:s:1:v_naz:anim  50
не part  -30
розуміти verb:pres:s:1:imperf  50
за prep:rv_rod:rv_zna:rv_oru 0
що pron:int:rel:n:v_naz 0
я pron:pers:s:1:v_naz:anim  50
мати verb:pres:s:1:imperf 10
платити verb:inf:imperf  -50
5 number 0
за prep:rv_rod:rv_zna:rv_oru 0
сервіс noun:m:v_naz 30
якщо conj:subord  0
він pron:pers:m:3:v_naz:anim 0
просто adv:compb 0
відсутній adj:m:v_naz -50
я pron:pers:s:1:v_dav:anim 50
там adv:&pron:dem 0
сподобатися verb:rev:past:n:perf  50
тарган noun:p:v_rod:anim -50
не part  -20
бачити verb:past:f:imperf  50
піца noun:f:v_naz  50
дуже adv 50
смачний adj:f:v_naz:compb  50
але conj:coord -20
бути verb:pres:s:3:imperf  0
один numr:m:v_naz -10
мінус noun:m:v_naz -20
не part  -30
привітний adj:p:v_naz:compb 50
офіціант noun:p:v_naz:anim  -20
але conj:coord -20
я pron:pers:s:1:v_naz:anim  50
ще adv 10
обов'язковий adj:f:v_zna  10
знову adv  30
туди adv:&pron:dem  0
завітати verb:futr:s:1:perf 50
