
Ні	part 
твоєю	adj:f:v_oru:&pron:pos 
пенсією	noun:f:v_oru 
тільки	adv 
дома	adv 
сидіти	verb:inf:imperf 
про	prep:rv_zna 
що	pron:int:rel:n:v_zna 
ти	pron:pers:s:2:v_naz:anim 
лепечеш	verb:pres:s:2:imperf 
про	prep:rv_zna 
які	adj:p:v_zna:&pron:int:rel:def
бари	noun:p:v_zna 
ресторани	noun:p:v_zna 
хто	pron:int:rel:m:v_naz:anim 
тебе	pron:pers:s:2:v_zna:anim 
стару	adj:f:v_zna:compb 
шкапу	noun:f:v_zna 
туди	adv:&pron:dem 
запросить	verb:futr:s:3:perf 
Порада	noun:f:v_naz 
власникам	noun:p:v_dav:anim 
виясніть	verb:impr:p:2:perf 
питання	noun:p:v_zna 
З	prep: rv_oru 
який	adj:m:v_naz:&pron:int:rel:def
поряд	adv 
З	prep:rv_oru 
вами	pron:pers:p:2:v_oru:anim 
там	adv:&pron:dem 
Ми	pron:pers:p:1:v_naz:anim
З	prep:rv_oru
подругою	noun:f:v_oru:anim 
якось	adv:&pron:ind 
були	verb:past:p:imperf 
І	conj:coord 
сіли	verb:past:p:perf 
за	prep: rv_zna
їх	pron:pers:p:3:v_rod:anim 
	pron:pers:p:3:v_zna:anim
навіть	part 
уваги	noun:f:v_rod 
не	part 
звернули	verb:past:p:perf 
до	prep:rv_rod 
нас	pron:pers:p:1:v_rod:anim 
підійшла	verb:past:f:perf 
якась	adj:f:v_naz:&pron:ind 
неприємна	adj:f:v_naz:compb 
жіночка	noun:f:v_naz:anim 
І	conj:coord  
каже	verb:pres:s:3:imperf 
ви	pron:pers:p:2:v_naz:anim 
У	prep: rv_rod:v-u 
нас	pron:pers:p:1:v_rod:anim 
нічого	pron:neg:v_rod 
не	part 
заказували	verb:past:p:imperf 
то	conj:subord 
пересядьте	verb:impr:p:2:perf 
А	conj:coord 
ми	pron:pers:p:1:v_naz:anim
вже	adv:v-u 
розклалися	verb:rev:past:p:perf 
розслабилися	verb:rev:past:p:perf 
було	verb:past:n:imperf 
неприємно	adv:compb 
Якусь	adj:f:v_zna:&pron:ind 
перегородку	noun:f:v_zna 
поставте	verb:impr:p:2:perf 
чи	conj:coord:subord 
Молода	adj:f:v_naz:compb 
відварна	adj:f:v_naz 
картопля	noun:f:v_naz 
З	prep: rv_oru
маслом	noun:n:v_oru 
та	conj:coord  
слабосоленим	- 
огірком	noun:m:v_oru 
Смачно	adv:compb 
та	conj:coord 
дешево	adv:compb 
А	conj:coord 
вареники	noun:p:v_naz 
З	prep: rv_oru
вишнями	noun:p:v_oru 
як	adv:&pron:int:rel 
завжди	adv:&pron:gen 
на	prep:rv_zna
десерт	noun:m:v_zna 
Якби	conj:subord 
не	part 
так	adv:&pron:dem 
спекотно	adv 
то	conj:subord 
взагалі	adv:v-u 
Нагадую	verb:pres:s:1:imperf 
це	adj:n:v_naz:&pron:dem
НЕ	part 
ресторан	noun:m:v_naz 
І	conj:coord 
150	number 
гривень	noun:p:v_rod 
рахунок	noun:m:v_naz 
на	prep:rv_zna
двох	numr:p:v_zna 
без	prep:rv_rod 
ЦЕ	adj:n:v_naz:&pron:dem  
ДУЖЕ	adv 
ДОРОГО	adv:compb 
навіть	part 
В	prep: rv_mis:v-u 
обласному	adj:m:v_mis 
центрі	noun:m:v_mis 
І	conj:coord 
В	prep: rv_mis:v-u 
новому	adj:m:v_mis:compb 
власники-адміністратори	noun:p:v_naz:anim 
спустіться	verb:rev:impr:p:2:perf 
на	prep:rv_zna
землю	noun:f:v_zna 
ви	pron:pers:p:2:v_naz:anim 
на	prep:rv_mis 
будьте	verb:impr:p:3:imperf 
ближче	adj:n:v_naz:compr 
до	prep:rv_rod 
людей	noun:p:v_rod:anim 
Зайшов	verb:past:m:perf 
туди	adv:&pron:dem 
для	prep:rv_rod 
цікавості	 noun:f:v_rod 
раз	adv 
Набрав	verb:past:m:perf 
по	prep: rv_zna 
2	number 
вареники	noun:p:v_zna 
кожного	adj:m:v_rod:&pron:def 
виду	noun:m:v_rod 
несолодких	adj:p:v_rod 
плюс	noun:m:v_naz 
взяв	verb:past:m:perf 
їхній	adj:m:v_zna:&pron:pos
лимонад	noun:m:v_zna 
І	conj:coord 
каву	noun:f:v_zna 
Заплатив	verb:past:m:perf 
45	number 
гривень	noun:p:v_rod 
Але	conj:coord 
коли	adv:&pron:int:rel 
З	prep:rv_rod:rv_zna:rv_oru
їв	verb:past:m:imperf 
набрав	verb:past:m:perf 
забагато	adv 
Плюс	noun:m:v_naz 
взяв	verb:past:m:perf 
І	conj:coord 
каву	noun:f:v_zna 
І	conj:coord 
лимонад	noun:m:v_zna 
По	prep:rv_mis
моїх	adj:p:v_mis:&pron:pos 
прикидках	noun:p:v_mis 
поїсти	verb:inf:perf 
тут	adv:&pron:dem 
можна	predic 
нормально	adv 
за	prep: rv_zna
грн	noun:p:v_zna:nv:abbr 
30	number 
цілком	adv 
по-моєму	insert 
Йшов	verb:past:m:imperf 
туди	adv:&pron:dem 
чекаючи	advp:imperf 
дурного	adj:m:v_rod:compb 
гламуру	noun:m:v_rod:slang 
І	conj:coord 
захмарних	adj:p:v_rod 
цін	noun:p:v_rod 
Був	verb:past:m:imperf 
приємно	adv:compb 
вражений	adjp:pasv:past:m:v_naz
І	conj:coord 
передусім	adv 
продуманістю	noun:f:v_oru 
того	adj:m:v_rod:&pron:dem
як	adv:&pron:int:rel 
усе	adj:n:v_naz:&pron:dem 
розміщено	verb:impers:perf 
Ці	adj:p:v_naz:&pron:dem 
столи	noun:p:v_naz 
З	prep: rv_oru
мисками	noun:p:v_oru 
І	conj:coord  
іншою	adj:f:v_oru:&pron:def 
І	conj:coord 
кас	noun:p:v_rod 
багато	adv 
І	conj:coord 
немає	predic 
Ну	part 
непереборне	adj:n:v_naz 
якою	adj:f:v_oru:&pron:int:rel:def
Б	part 
прекрасною	adj:f:v_oru:compb 
не	part 
була	verb:past:f:imperf 
обгортка	noun:f:v_naz 
Те	adj:n:v_naz:&pron:dem 
ну	excl 
пересядьте	verb:impr:p:2:perf 
теж	adv 
на	prep:rv_mis 
собі	pron:refl:m:v_mis
	pron:refl:m:v_mis 
	pron:refl:n:v_mis
	pron:refl:n:v_mis 
відчули	verb:past:p:perf 
прийшли	verb:past:p:perf 
туди	adv:&pron:dem 
вперше	adv:v-u 
дитина	noun:f:v_naz:anim 
просила	verb:past:f:imperf 
ще	adv 
не	part 
знали	verb:past:p:imperf 
що	pron:int:rel:n:v_naz 
до	prep:rv_rod 
чого	pron:int:rel:n:v_rod 
І	conj:coord 
теж	adv 
сіли	verb:past:p:perf 
не	part 
за	prep: rv_zna
білі	adj:p:v_zna:compb 
А	conj:coord 
за	prep: rv_zna
червоні	adj:p:v_zna:compb 
столики	noun:p:v_zna 
після	adv 
ну	excl 
пересядьте	verb:impr:p:2:perf 
йти	verb:inf:imperf 
туди	adv:&pron:dem 
більше	adv:compr 
не	part 
хочеться	verb:unknown 
Справді	adv 
перегородку	noun:f:v_zna 
якусь	adj:f:v_zna:&pron:ind 
або	conj:coord 
хай	part 
офіціанти	noun:p:v_naz:anim 
пояснюють	verb:pres:p:3:imperf 
що	pron:int:rel:n:v_naz 
до	prep:rv_rod 
чого	pron:int:rel:n:v_rod 
при	prep:rv_mis 
вході	noun:m:v_mis 
що	pron:int:rel:n:v_naz 
до	prep:rv_rod 
чого	pron:int:rel:n:v_rod 
