Protsay 20-30 female
дуже			дуже 			adv  26
сподобалося		сподобатися		verb:rev:past:n:perf  26
Гості			гість 			noun:p:v_naz:anim  0
тільки			тільки 			part  0
позитивно		позитивно 		adv:compb  44
відгукувалися	відгукуватися 	verb:rev:past:p:imperf  0
Страви			страва			noun:p:v_naz  0
оригінальні		оригінальний	adj:p:v_naz:compb  0
і				і 				conj:coord  0
дуже			дуже 			adv  32
смачні			смачний 		adj:p:v_naz:compb  32
Обслуговування	обслуговування 	noun:n:v_naz  0
на				на 				prep:rv_zna  0
найвищому		високий 		adj:m:v_dav:super  24
рівні			рівень 			noun:m:v_mis  0
Дякуємо			дякувати 		verb:pres:p:1:imperf  19
за				за 				prep:rv_zna 0
свято			свято 			noun:n:v_zna  38
Окрема			окремий 		adj:f:v_naz  0
подяка			подяка 			noun:f:v_naz  15
за				за 				prep:rv_zna 0
подарунок		подарунок 		noun:m:v_zna  10
номер			номер 			noun:m:v_naz  0
для				для 			prep:rv_rod  0
молодят			молодята 		noun:p:v_rod:anim  0
було			бути 			verb:past:n:imperf  0
дуже			дуже 			adv  0
гарне			гарний 			adj:n:v_naz:compb  28
романтичне		романтичний 	adj:n:v_naz:compb  28
оформлення		оформлення		noun:n:v_naz  0
Щиро			щиро 			adv:compb  16
вдячна			вдячний			adj:f:v_naz  16
за				за 				prep:rv_zna 0
прекрасний		прекрасний 		adj:m:v_naz:compb  27
час				час 			noun:m:v_naz  0
проведений		проведений 		adjp:pasv:past:m:v_naz  0
у				у 				prep:rv_mis:v-u  0
вашому			ваш 			pron:pos:n:v_mis  0
готельно-ресторанному готельно-ресторанний	adj:n:v_mis  0
комплексі		комплекс 		noun:m:v_mis  0
під				під				prep:rv_zna 0
час				час 			noun:m:v_naz  0
святкування		святкування 	noun:n:v_naz  10
випуску			випуск			noun:m:v_rod  0
студентів		студент			noun:p:v_rod:anim  0
Львівської		львівський		adj:f:v_rod  0
комерційної		комерційний 	adj:f:v_rod  0
академії		академія		noun:f:v_rod  0
Вишуканість		вишуканість		noun:f:v_naz  10
пропонованих	пропонований	adjp:pasv:past:p:v_rod  0
страв			страва 			noun:p:v_rod  0
якість			якість 			noun:f:v_naz  0
їхнього			їхній 			pron:pos:m:v_rod 0
приготування	приготування 	noun:n:v_naz  0
ставлення		ставлення 		noun:n:v_naz  0
персоналу		персонал 		noun:m:v_rod  0
та				та				conj:coord  0
музичний		музичний 		adj:m:v_naz  0
супровід		супровід		noun:m:v_naz  0
бездоганні		бездоганний		adj:p:v_naz:compb  50
Такого			такий 			pron:def:m:v_rod  0
рівня			рівень 			noun:m:v_rod  0
закладів		заклад 			noun:p:v_rod  0
на				на 				prep:rv_zna  0
сьогодні		сьогодні 		adv  0
біля			біля 			adv  0
Львова			Львів 			noun:m:v_rod  0
не				не 				part  0
так				так 			part  0
вже				вже 			adv:v-u  0
й				й 				conj:coord  0
багато			багато 			adv  36
тому			тому 			adv  0
бажаю			бажати 			verb:pres:s:1:imperf  0
тримати			тримати 		verb:inf:imperf  0
високу			високий 		adj:f:v_zna:compb  10
марку			марка 			noun:f:v_zna  0
якісного		якісний 		adj:m:v_rod:compb  0
сервісу			сервіс 			noun:m:v_rod  0
що				що 				pron:int:rel:n:v_naz  0
завжди			завжди 			adv 0
належно			належно 		adv  0
оцінюється		оцінюватися 	verb:rev:pres:s:3:imperf 0
навіть			навіть 			part  0
пересічним		пересічний 		adj:m:v_oru  0
відвідувачем	відвідувач 		noun:m:v_oru:anim  0
Шановні			шановний 		adj:p:v_naz  0
відвідувачі		відвідувач 		noun:p:v_naz:anim  0
цієї			цей 			pron:dem:f:v_rod 0
веб-сторінки	веб-сторінка 	noun:f:v_rod  0
поділитися		поділитися 		verb:rev:inf:perf  0
з				з 				prep:rv_oru  0
вами			ви 				pron:pers:p:2:v_oru:anim  0
своїми			свій 			pron:pos:p:v_oru  0
враженнями		враження 		noun:p:v_oru  0
про				про 			prep:rv_zna  0
цей				цей 			pron:dem:m:v_naz  0
комплекс		комплекс 		noun:m:v_naz  0
в				в 				prep:rv_mis:v-u  0
якому			який 			pron:int:rel:def:m:v_mis 0
ми				ми 				pron:pers:p:1:v_naz:anim  0
відсвяткували	відсвяткувати 	verb:past:p:perf  10
свій			свій 			pron:pos:m:v_naz 0
випускний		випускний 		adj:m:v_naz  0
Найперше		найперше 		adv  0
відмітити		відмітити 		verb:inf:perf  0
обслуговування	обслуговування 	noun:n:v_naz  0
яке				який 			pron:int:rel:def:n:v_naz 0
мене			я 				pron:pers:s:1:v_rod:anim  0
приємно			приємно 		adv:compb  10
вразило			вразити 		verb:past:n:perf  0
Особливо		особливо 		adv  0
подякувати		подякувати 		verb:inf:perf  10
Богдану			Богдан 			noun:m:v_dav:anim:fname  0
який			який 			pron:int:rel:def:m:v_naz 0
щиро			щиро 			adv:compb  10
помагав			помагати 		verb:past:m:imperf  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
з				з 				prep:rv_oru  0
підготовкою		підготовка 		noun:f:v_oru  0
нашого			наш 			pron:pos:n:v_rod  0
свята			свято 			noun:n:v_rod  10
Також			також 			adv  0
велике			великий 		adj:n:v_naz:compb  10
спасибі			спасибі 		excl  10
Олегу			Олег 			noun:m:v_dav:anim:fname  0
і				і 				conj:coord  0
Ростиславу		Ростислав 		noun:m:v_dav:anim:fname  0
які				який 			pron:int:rel:def:p:v_naz 0
дуже			дуже 			adv  10
професійно		професійно 		adv  10
обслуговували	обслуговувати 	verb:past:p:imperf  0
нашу			наш 			pron:pos:f:v_zna  0
шумну			шумний 			adj:f:v_zna  -37
компанію		компанія 		noun:f:v_zna  0
Я				я 				pron:pers:s:1:v_naz:anim 0
просто			просто 			part  0
зобов'язана		зобов'язаний 	adj:f:v_naz  0
ще				ще 				part  0
написати		написати 		verb:inf:perf  0
вам				ви 				pron:pers:p:2:v_dav:anim 0
що				що 				conj:subord  0
кухня			кухня 			noun:f:v_naz  0
просто			просто 			part  0
шикарна			шикарний 		adj:f:v_naz  10
а				а 				conj:coord  0
ціни			ціна 			noun:p:v_naz  0
вас				ви 				pron:pers:p:2:v_rod:anim 0
приємно			приємно 		adv:compb  10
здивують		здивувати 		verb:futr:p:3:perf  0
Отже			отже 			insert  0
підводячи		підводити 		advp:imperf  0
підсумок		підсумок 		noun:m:v_naz  0
подякувати		подякувати 		verb:inf:perf  10
особисто		особисто 		adv:compb  0
від				від 			prep:rv_rod  0
себе			себе 			pron:refl:m:v_rod  0
і				і 				conj:coord  0
від				від 			prep:rv_rod  0
всіх			весь 			pron:dem:p:v_rod  0
моїх			мій 			pron:pos:p:v_rod 0
одногрупників	одногрупник 	noun:p:v_rod:anim  0
за				за 				prep:rv_zna 0
чудовий			чудовий 		adj:m:v_naz:compb  10
вечір			вечір 			noun:m:v_naz  0
і				і 				conj:coord  0
надзвичайну		надзвичайний 	adj:f:v_zna  10
атмосферу		атмосфера 		noun:f:v_zna  0
яку				який 			pron:int:rel:def:f:v_zna 0
ви				ви 				pron:pers:p:2:v_naz:anim  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
подарували		подарувати 		verb:past:p:perf  10
Прочитала		прочитати 		verb:past:f:perf  0
масу			маса 			noun:f:v_zna  0
дуже			дуже 			adv  10
гарних			гарний 			adj:p:v_rod:compb  10
відгуків		відгук 			noun:p:v_rod  0
але				але 			conj:coord  0
дозвольте		дозволити 		verb:impr:p:2:perf  0
залишити		залишити 		verb:inf:perf  0
і				і 				part  0
своє			свій 			pron:pos:n:v_naz 0
враження		враження 		noun:n:v_naz  0
Насамперед		насамперед 		adv  0
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 0
це				цей 			pron:dem:n:v_naz  0
не				не 				part  -37
лише			лише 			part  0
ресторан		ресторан 		noun:m:v_naz  0
а				а 				conj:coord  0
й				й 				conj:coord  0
готель			готель 			noun:m:v_naz  0
І				і 				part  0
саме			саме 			adv  0
тому			тому 			adv  0
про				про 			prep:rv_zna  0
відпочиваючих	відпочиваючий 	adjp:actv:pres:p:v_rod:bad 0
готелю			готель 			noun:m:v_rod  0
адміністрація	адміністрація 	noun:f:v_naz  0
не				не 				part  -33
дуже			дуже 			adv  28
дбає			дбати 			verb:pres:s:3:imperf  0
Весілля			весілля 		noun:n:v_naz  50
ювілеї			ювілей 			noun:p:v_naz  20
і				і 				conj:coord  0
випускні		випускний 		adj:p:v_naz  0
вечори			вечір 			noun:p:v_naz  0
тривати			тривати 		verb:inf:imperf  0
до				до 				prep:rv_rod  0
ранку			ранок 			noun:m:v_rod  0
і				і 				part  0
про				про 			prep:rv_zna  0
це				цей 			pron:dem:n:v_naz  0
при				при 			prep:rv_mis  0
поселенні		поселення 		noun:n:v_mis  0
вас				ви 				pron:pers:p:2:v_rod:anim 0
ніхто			ніхто 			pron:neg:v_naz:anim  -41
не				не 				part  -41
попередить		попередити 		verb:futr:s:3:perf  0
Так				так 			pron:dem  0
я				я 				pron:pers:s:1:v_naz:anim  0
зі				зі 				prep:rv_oru 0
своєю			свій 			pron:pos:f:v_oru 0
сім'єю			сім'я 			noun:f:v_oru  0
провела			провести 		verb:past:f:perf  0
дві				два 			numr:f:v_naz  0
безсонні		безсонний 		adj:p:v_naz  -41
ночі			ніч 			noun:p:v_naz  0
Ні				ні 				part  -35
вибачень		вибачення 		noun:p:v_rod  -35
ні				ні 				part  -35
будь-якої		будь-який 		pron:ind:f:v_rod  0
компенсації		компенсація 	noun:f:v_rod  -29
або				або 			conj:coord  0
компліменту		комплімент 		noun:m:v_rod  0
від				від 			prep:rv_rod  0
закладу			заклад 			noun:m:v_rod  0
не				не 				part  -33
було			бути 			verb:past:n:imperf  0
Прикро			прикро 			adv:compb  -29
До				до речі 		<insert>  0
речі			до речі 		</insert>  0
готель			готель 			noun:m:v_naz  0
чекає			чекати 			verb:pres:s:3:imperf  0
на				на 				prep:rv_zna  0
Ревізор			ревізор 		noun:m:v_naz:anim  0
подивимось		подивитися 		verb:rev:futr:p:1:perf  0
Компанія		компанія 		noun:f:v_naz  0
дякує			дякувати 		verb:pres:s:3:imperf  10
ресторану		ресторан 		noun:m:v_dav  0
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 0
за				за 				prep:rv_zna  0
чудову			чудовий 		adj:f:v_zna:compb  10
організацію		організація 	noun:f:v_zna  0
корпоративу		корпоратив 		noun:m:v_rod  0
смачну			смачний 		adj:f:v_zna:compb  10
кухню			кухня 			noun:f:v_zna  0
приємних		приємний 		adj:p:v_rod:compb  10
офіціантів		офіціант 		noun:p:v_rod:anim  0
та				та 				conj:coord  0
затишну			затишний 		adj:f:v_zna:compb  10
атмосферу		атмосфера 		noun:f:v_zna  0
Бажаємо			бажати 			verb:pres:p:1:imperf  10
Вам				ви 				pron:pers:p:2:v_dav:anim 10
і				і 				part  0
надалі			надалі 			adv  0
тримати			тримати 		verb:inf:imperf  0
такий			такий 			pron:def:m:v_naz  0
високий			високий 		adj:m:v_naz:compb  10
рівень			рівень 			noun:m:v_naz  10
і				і 				conj:coord  0
багато			багато 			pron:ind:p:v_naz  10
відвідувачів	відвідувач 		noun:p:v_rod:anim  0
Ще				ще 				part  0
раз				раз 			noun:m:v_naz  0
щиро			щиро 			adv:compb  10
дякуємо			дякувати 		verb:pres:p:1:imperf  10
Ресторан		ресторан		noun:m:v_naz  0
просто			просто 			part  0
розкішний		розкішний 		adj:m:v_naz:compb  10
Святкували		святкувати 		verb:past:p:imperf  10
власне			власний 		adj:n:v_naz  0
весілля			весілля 		noun:n:v_naz  49
нам				ми 				pron:pers:p:1:v_dav:anim 0
все				все 			adv:v-u  0
шалено			шалено 			adv  24
сподобалось		сподобатися 	verb:rev:past:n:perf  24
обслуговування	обслуговування 	noun:n:v_naz  0
ввічливе		ввічливий 		adj:n:v_naz:v-u  25
і				і 				conj:coord  0
професійне		професійний 	adj:n:v_naz:compb  24
адміністратор	адміністратор 	noun:m:v_naz:anim  0
Ірина			Ірина 			noun:f:v_naz:anim:fname 0
просто			просто 			part  0
неймовірно		неймовірно 		adv:compb  25
турботлива		турботливий 	adj:f:v_naz  25
кухня			кухня 			noun:f:v_naz  0
ну				ну 				part  0
і				і 				part  0
звичайно		звичайно 		adv:compb  0
сама			самий 			adj:f:v_naz  0
атмосфера		атмосфера 		noun:f:v_naz  0
закладу			заклад 			noun:m:v_rod  0
дуже			дуже 			adv  45
Ми				ми 				pron:pers:p:1:v_naz:anim 45
щиро			щиро 			adv:compb  45
дякуємо			дякувати 		verb:pres:p:1:imperf  45
за				за 				prep:rv_zna 0
все				все 			adv:v-u  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
є				бути 			verb:pres:p:1:imperf  0
постійними		постійний 		adj:p:v_oru  0
гостями			гість 			noun:p:v_oru:anim  0
такого			такий 			pron:def:m:v_rod  0
прекрасного		прекрасний 		adj:m:v_rod:compb  24
та				та 				conj:coord  0
затишного		затишний 		adj:m:v_rod:compb  11
закладу			заклад 			noun:m:v_rod  0
як				як 				conj:subord  0
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 0
нам				ми 				pron:pers:p:1:v_dav:anim  0
дуже			дуже 			adv  7
подобається		подобатися		verb:rev:pres:s:3:imperf  7
обслуговування	обслуговування 	noun:n:v_naz  0
таких			такий 			pron:def:p:v_rod  0
привітних		привітний 		adj:p:v_rod:compb  13
та				та 				conj:coord  0
приємних		приємний 		adj:p:v_rod:compb  13
працівників		працівник 		noun:p:v_rod:anim  0
надзвичайно		надзвичайно 	adv  47
смачна			смачний 		adj:f:v_naz:compb  47
кухня			кухня 			noun:f:v_naz  0
Велике			великий 		adj:n:v_naz:compb  20
спасибі			спасибі 		excl  20
ресторану		ресторан 		noun:m:v_dav  0
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 0
за				за 				prep:rv_oru  0
прекрасну		прекрасний 		adj:f:v_zna:compb  11
атмосферу		атмосфера 		noun:f:v_zna  0
і				і 				conj:coord  0
свято			свято 			noun:n:v_naz  10
особливо		особливо 		adv  0
дякуємо			дякувати 		verb:pres:p:1:imperf  0
за				за 				prep:rv_zna 0
допомогу		допомога 		noun:f:v_zna  0
адміністратору	адміністратор 	noun:m:v_dav:anim  0
Ірині			Ірина 			noun:f:v_dav:anim:fname  0
Святкували		святкувати 		verb:past:p:imperf  10
новорічний		новорічний 		adj:m:v_zna  0
корпоратив		корпоратив 		noun:m:v_zna  0
все				все 			adv:v-u  0
було			бути 			verb:past:n:imperf  0
бездоганно		бездоганно 		adv:compb  50
особливо		особливо 		adv  10
смачні			смачний 		adj:p:v_naz:compb  10
страви			страва 			noun:p:v_naz  0
і				і 				conj:coord  0
ввічливість		ввічливість 	noun:f:v_naz:v-u  12
персоналу		персонал 		noun:m:v_rod  0
Увесь			увесь 			pron:dem:m:v_naz  0
колектив		колектив 		noun:m:v_naz  0
залишився		залишитися 		verb:rev:past:m:perf  0
задоволеним		задоволений 	adjp:pasv:past:m:v_oru:compb 41
із				із 				prep:rv_oru  0
позитивно		позитивно 		adv:compb  16
зарядженим		заряджений 		adjp:pasv:past:m:v_oru  0
настроєм		настрій 		noun:m:v_oru  0
на				на 				prep:rv_zna  0
всі				весь 			pron:dem:p:v_naz  0
зимові			зимовий 		adj:p:v_naz  0
свята			свято 			noun:p:v_naz  30
Усім			увесь 			pron:dem:p:v_dav  0
друзям			друзі 			noun:p:v_dav:anim  0
і				і 				conj:coord  0
знайомим		знайомий 		adj:p:v_dav  0
буду			бути 			verb:futr:s:1:imperf  0
рекомендувати	рекомендувати 	verb:inf:imperf  0
ресторан		ресторан 		noun:m:v_zna  0
Рафаель			Рафаель 		noun:m:v_naz:anim:fname 0
Просто			просто 			part  0
чудовий			чудовий 		adj:m:v_naz:compb  11
ресторан		ресторан 		noun:m:v_naz  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
святкували		святкувати 		verb:past:p:imperf  8
своє			свій 			pron:pos:n:v_zna  0
весілля			весілля 		noun:n:v_naz  49
у				у 				prep:rv_mis:v-u  0
великому		великий 		adj:m:v_mis:compb  14
залі			зал 			noun:m:v_mis  0
Все				все 			adv:v-u  0
було			бути 			verb:past:n:imperf  0
на				на 				prep:rv_mis  0
дуже			дуже 			adv  39
високому		високий 		adj:m:v_mis:compb  39
рівні			рівень 			noun:m:v_mis  0
Гості			гість 			noun:p:v_naz:anim  0
були			бути 			verb:past:p:imperf  0
в				в 				prep:rv_mis:v-u  0
захваті			захват 			noun:m:v_mis  24
від				від 			prep:rv_rod  0
ексклюзивних	ексклюзивний 	adj:p:v_rod  47
та				та 				conj:coord  0
надзвичайно		надзвичайно 	adv  17
смачних			смачний 		adj:p:v_rod:compb  17
страв			страва 			noun:p:v_rod  0
Офіціанти		офіціант 		noun:p:v_naz:anim  0
просто			просто 			part  0
молодці			молодець 		noun:p:v_naz:anim  24
усміхнені		усміхнений		adj:p:v_naz:v-u  24
привітні		привітний 		adj:p:v_naz:compb  24
справжні		справжній 		adj:p:v_naz  24
професіонали	професіонал 	noun:p:v_naz:anim  24
Надзвичайно		надзвичайно 	adv  24
красивий		красивий 		adj:m:v_naz:compb  24
інтер'єр		інтер'єр 		noun:m:v_naz  0
ресторану		ресторан 		noun:m:v_rod  0
та				та 				conj:coord  0
оформлення		оформлення 		noun:n:v_naz  0
столу			стіл 			noun:m:v_rod  0
молодят			молодята 		noun:p:v_rod:anim  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
надзвичайно		надзвичайно		adv  0
щасливі			щасливий 		adj:p:v_naz:compb  50
що				що 				conj:subord  0
саме			саме 			adv  0
в				в 				prep:rv_mis:v-u  0
цьому			цей 			pron:dem:m:v_mis  0
ресторані		ресторан 		noun:m:v_mis  0
святкували		святкувати 		verb:past:p:imperf  41
своє			свій 			pron:pos:n:v_zna  0
весілля			весілля 		noun:n:v_naz  50
Велике			великий 		adj:n:v_naz:compb  10
дякую			дякувати 		verb:pres:s:1:imperf  10
адміністратору	адміністратор 	noun:m:v_dav:anim  0
Ірині			Ірина 			noun:f:v_dav:anim:fname  0
ка				який 			pron:int:rel:def:f:v_naz 0
своїми			свій 			pron:pos:p:v_oru  0
порадами		порада 			noun:p:v_oru  0
допомогла		допомогти 		verb:past:f:perf  0
догодити		догодити 		verb:inf:perf  0
нашим			наш 			pron:pos:p:v_dav 0
гостям			гість 			noun:p:v_dav:anim  0
та				та				conj:coord  0
зробити			зробити 		verb:inf:perf  0
свято			свято 			noun:n:v_naz  10
незабутнім		незабутній 		adj:n:v_oru  10
Недавно			недавно 		adv  0
а				а 				part  0
саме			саме 			adv  0
року			рік 			noun:m:v_rod  0
я				я 				pron:pers:s:1:v_naz:anim  0
і				і 				conj:coord  0
моя				мій 			pron:pos:f:v_naz 0
чудова			чудовий 		adj:f:v_naz:compb  10
половинка		половинка 		noun:f:v_naz  0
вирішили		вирішити 		verb:past:p:perf  0
одружитися		одружитися 		verb:rev:inf:perf  0
весілля			весілля 		noun:n:v_naz  50
понад			понад 			prep:rv_oru:rv_zna  0
сто				сто 			numr:p:v_zna  0
людей			люди 			noun:p:v_zna:anim  0
поділитись		поділитися 		verb:rev:inf:perf  0
нашими			наш 			pron:pos:p:v_oru 0
враженнями		враження 		noun:p:v_oru  0
щодо			щодо 			prep:rv_rod  0
Місце			місце 			noun:n:v_naz  0
проведення		проведення 		noun:n:v_naz  0
Готель			готель 			noun:m:v_naz  0
та				та 				conj:coord  0
бар-ресторан	бар-ресторан 	noun:m:v_naz  0
дуже			дуже 			adv  38
сподобалось		сподобатися 	verb:rev:past:n:perf  38
в				в 				prep:rv_zna:v-u  0
першу			перший 			adj:f:v_zna  0
чергу			черга 			noun:f:v_zna  0
нам				ми 				pron:pers:p:1:v_dav:anim  0
і				і 				conj:coord  0
батькам			батько 			noun:p:v_dav:anim  0
те				той 			pron:dem:n:v_naz  0
що				що 				conj:subord  0
там				там 			adv  0
працювали		працювати 		verb:past:p:imperf  0
до				до 				prep:rv_rod  0
останньої		останній 		adj:f:v_rod  0
людини			людина 			noun:f:v_rod:anim  0
Харчування		харчування 		noun:n:v_naz  0
Харчування		харчування 		noun:n:v_naz  0
в				в 				prep:rv_mis:v-u  0
ресторані		ресторан 		noun:m:v_mis  0
різноманітне	різноманітний 	adj:n:v_naz:compb  0
задовольнити	задовольнити 	verb:inf:perf  11
як				як 				part  0
простого		простий 		adj:m:v_rod:compb  0
роботягу		роботяга 		noun:f:v_zna:anim  0
так				так 			part  0
і				і 				part  0
вибагливого		вибагливий 		adj:m:v_rod:compb  -28
гурмана			гурман 			noun:m:v_rod:anim  0
не				не 				part  -33
тільки			тільки 			conj:subord  0
смаком			смак 			noun:m:v_oru  0
а				а 				part  0
й				й 				part  0
цінами			ціна			noun:p:v_oru  0
Персонал		персонал 		noun:m:v_naz  0
Персонал		персонал 		noun:m:v_naz  0
це				цей 			pron:dem:n:v_naz 0
окреме			окремий 		adj:n:v_naz  0
питання			питання 		noun:n:v_naz  0
Не				не 				part  0
не				не 				part  -24
звернути		звернути 		verb:inf:perf  0
вашої			ваш 			pron:pos:f:v_rod  0
уваги			увага 			noun:f:v_rod  0
на				на 				prep:rv_zna  0
те				той 			pron:dem:n:v_zna  0
що				що 				conj:subord  0
увесь			увесь 			pron:dem:m:v_naz 0
персонал		персонал 		noun:m:v_naz  0
молодий			молодий 		adj:m:v_naz:compb  0
Люди			люди 			noun:p:v_naz:anim  0
енергійні		енергійний 		adj:p:v_naz:compb  10
Офіціанти		офіціант 		noun:p:v_naz:anim  0
справно			справно 		adv  0
робили			робити 			verb:past:p:imperf  0
усе				усе 			adv:v-u  0
щоб				щоб 			conj:subord  0
наші			наш 			pron:pos:p:v_naz 0
гості			гість 			noun:p:v_naz:anim  0
почувалися		почуватися 		verb:rev:past:p:imperf  0
як				як 				part  0
найкраще		хороший 		adj:n:v_naz:super  10
Жваво			жваво 			adv:compb  10
приносили		приносити 		verb:past:p:imperf  0
чудові			чудовий 		adj:p:v_naz:compb  10
наїдки			наїдок 			noun:p:v_naz  0
прибирали		прибирати 		verb:past:p:imperf  0
усе				усе 			adv:v-u  0
зі				зі 				prep:rv_rod 0
столу			стіл			noun:m:v_rod  0
настільки		настільки 		adv  0
швидко			швидко 			adv:compb  0
що				що 				conj:subord  0
гості			гість 			noun:p:v_naz:anim  0
тільки			тільки 			adv  0
дивувалися		дивуватися 		verb:rev:past:p:imperf  0
їхній			їхній 			pron:pos:f:v_dav  0
оперативності	оперативність 	noun:f:v_dav  0
Як				як 				conj:subord  0
тільки			тільки 			conj:subord  0
ми				ми 				pron:pers:p:1:v_naz:anim 0
прийшли			прийти 			verb:past:p:perf  0
і				і 				conj:coord  0
сіли			сісти 			verb:past:p:perf  0
за				за 				prep:rv_zna 0
стіл			стіл 			noun:m:v_zna  0
то				то 				conj:subord  0
одразу			одразу 			adv  0
подали			подати 			verb:past:p:perf  0
гаряче			гарячий 		adj:n:v_zna:compb  0
це				цей 			pron:dem:n:v_naz  0
дуже			дуже 			adv  14
добре			добре 			adv  14
бо				бо 				conj:subord  0
гості			гість 			noun:p:v_naz:anim  0
не				не 				part  -38
наїдалися		наїдатися 		verb:rev:past:p:imperf  0
салатами		салат 			noun:p:v_oru  0
а				а 				conj:coord  0
скуштували		скуштувати 		verb:past:p:perf  0
смачненький		смачненький 	adj:m:v_naz  12
борщик			борщик 			noun:m:v_naz  0
Варто			варто 			predic  18
звернути		звернути 		verb:inf:perf  0
увагу			увага 			noun:f:v_zna  0
і				і 				part  0
на				на 				prep:rv_zna:rv_mis  0
адміністратора	адміністратор 	noun:m:v_zna:anim  0
Ірину			Ірина 			noun:f:v_zna:anim:fname 0
Ірина			Ірина 			noun:f:v_naz:anim:fname 0
дуже			дуже 			adv  15
хороша			хороший 		adj:f:v_naz:compb  15
людина			людина 			noun:f:v_naz:anim  0
Радимо			радити 			verb:pres:p:1:imperf  0
прислухатися	прислухатися 	verb:rev:inf:imperf  0
до				до 				prep:rv_rod  0
її				вона			 pron:pers:f:3:v_rod:anim 0
слів			слово 			noun:p:v_rod  0
вона			вона 			pron:pers:f:3:v_naz:anim 0
усе				усе 			adv:v-u  0
говорила		говорити 		verb:past:f:imperf  0
правильно		правильно 		adv:compb  12
У				у 				prep:rv_mis:v-u  0
нас				ми 				pron:pers:p:1:v_mis:anim  0
був				бути 			verb:past:m:imperf  0
випадок			випадок 		noun:m:v_naz  0
коли			коли 			pron:int:rel  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
більше			багато 			adv:compr  15
взяти			взяти 			verb:inf:perf  0
наїдків			наїдок 			noun:p:v_rod  0
ніж				ніж 			conj:subord  0
потрібно		потрібно 		adv:compb  0
але				але 			conj:coord  -26
завдяки			завдяки 		prep:rv_dav  0
Ірині			Ірина 			noun:f:v_dav:anim:fname  0
ми				ми 				pron:pers:p:1:v_naz:anim  0
не				не 				part  0
помилилися		помилитися 		verb:rev:past:p:perf  0
з				з 				prep:rv_oru  0
порціями		порція 			noun:p:v_oru   0
Дуже			дуже 			adv  28
дякуємо			дякувати 		verb:pres:p:1:imperf  28
вам				ви 				pron:pers:p:2:v_dav:anim 0
Ірино			Ірина 			noun:f:v_kly:anim:fname  0
за				за 				prep:rv_zna 0
вашу			ваш 			pron:pos:f:v_zna 0
допомогу		допомога 		noun:f:v_zna  0
Якби			якби 			conj:subord  0
не				не 				part  0
ви				ви 				pron:pers:p:2:v_kly:anim  0
то				то 				conj:subord  0
весілля			весілля 		noun:n:v_naz  44
було			бути 			verb:past:n:imperf  0
б				б 				part  0
не				не 				part  -31
прогнозованим	прогнозований 	adjp:pasv:past:n:v_oru  0
Прислухайтесь	прислухатися 	verb:rev:impr:p:2:imperf 0
до				до 				prep:rv_rod  0
Ірининої		Іринин 			adj:f:v_rod  0
поради			порада 			noun:f:v_rod  0
Саме			саме 			adv  0
Ірина			Ірина 			noun:f:v_naz:anim:fname 0
і				і 				conj:coord  0
контролювала	контролювати 	verb:past:f:imperf  0
від				від 			prep:rv_rod  0
самого			самий 			pron:def:n:v_rod  0
початку			початок 		noun:m:v_rod  0
усе				усе 			adv:v-u  0
і				і 				conj:coord  0
до				до 				prep:rv_rod  0
кінця			кінець 			noun:m:v_rod   0
Вона			вона 			pron:pers:f:3:v_naz:anim 0
ніколи			ніколи 			pron:neg  -28
не				не 				part  -28
дозволяла		дозволяти 		verb:past:f:imperf  0
подавати		подавати 		verb:inf:imperf  0
холодне			холодний 		adj:n:v_zna:compb  -34
і				і 				conj:coord  0
не				не 				part  0
подавати		подавати 		verb:inf:imperf  0
смачні			смачний 		adj:p:v_zna:compb  9
наїдки			наїдок 			noun:p:v_zna  0
під				під 			prep:rv_zna:rv_oru  0
час				час 			noun:m:v_zna  0
тостів			тост 			noun:p:v_rod  0
для				для 			prep:rv_rod  0
молодят			молодята 		noun:p:v_rod:anim  0
Подарунок		подарунок 		noun:m:v_naz  16
Великим			великий 		adj:m:v_oru:compb  16
подарунком		подарунок 		noun:m:v_oru  16
було			бути 			verb:past:n:imperf  0
і				і 				part  0
те				той 			pron:dem:n:v_zna  0
що				що 				conj:subord  0
нам				ми 				pron:pers:p:1:v_dav:anim 0
молодятам		молодята 		noun:p:v_dav:anim  0
надали			надати 			verb:past:p:perf  0
номер			номер 			noun:m:v_zna  0
для				для 			prep:rv_rod  0
першої			перший 			adj:f:v_rod  0
ночі			ніч 			noun:f:v_rod  0
Це				цей 			pron:dem:n:v_naz 0
великий			великий 		adj:m:v_naz:compb  6
просторий		просторий 		adj:m:v_naz  6
номер			номер 			noun:m:v_naz  0
прикрашений		прикрашений 	adjp:pasv:past:m:v_naz 14
дуже-дуже		дуже-дуже 		adv  50
гарно			гарно 			adv:compb  50
Недоліки		недолік 		noun:p:v_naz  -36
недоліків		недолік 		noun:p:v_rod  -36
