Hanchevska 20-30 female
суші	  	суша 		  	noun:p:v_zna   15
загалом	  	загалом 	  	adv 3
приємна	  	приємний 	  	adj:f:v_naz:compb  35
атмосфера  	атмосфера 	  	noun:f:v_naz  3
чудова	  	чудовий 	  	adj:f:v_naz:compb  40
музика	  	музика 	  		noun:f:v_naz 30
процвітання процвітання 	noun:n:v_zna 45
Вам	  		ви 		 		pron:pers:p:2:v_dav:anim 0
Del Pesto 	Del Pesto 		noun:proper 15
Святкувала 	святкувати 	  	verb:past:f:imperf  6
день	  	день 		  	noun:m:v_zna  0
народження 	народження 	  	noun:n:v_zna 15
в	  		в 		  		prep:rv_mis:v-u  0
Del Pesto 	Del Pesto		noun:proper  15
дуже	  	дуже 		  	adv 50
сподобалось сподобатися   	verb:rev:past:n:perf  45
все	  		весь 		  	pron:dem 6
було	  	бути 		  	verb:past:n:imperf  0
дуже	  	дуже 		  	adv  50
затишно	  	затишно 	  	adv:compb  45
Офіціанти 	офіціант 	  	noun:p:v_naz:anim  0
дуже	  	дуже 		  	adv  50
привітні  	привітний 	  	adj:p:v_naz:compb  35
та	  		та 		  		conj:coord  0
й	  		й 		  		conj:coord  0
адміністратори адміністратор noun:p:v_naz:anim 0
теж	  		теж 		  	adv  0
Піца	  	піца 		  	noun:f:v_naz  10
теж	  		теж 		  	adv  0
дуже-дуже  	дуже-дуже	  	adv  50
смачна	  	смачний 	  	adj:f:v_naz:compb  35
ще	  		ще 		  		adv  5
дуже	  	дуже 		  	adv   50
смачні	  	смачний 	  	adj:p:v_naz:compb  35
роли	  	рол 			noun:p:v_naz 15
з	  		з 		  		prep:rv_oru  0
фетою	  	фета 			noun:f:v_naz 10
та	  		та 		  		conj:coord  0
й	  		й 		  		conj:coord  0
в	  		в 		 		prep:rv_mis:v-u  0
принципі  	принцип 	  	noun:m:v_mis  0
все	  		весь 		  	pron:dem  10
що	        що 				conj:subord  0
замовляла 	замовляти 	  	verb:past:f:imperf  0
було	  	бути 		  	verb:past:n:imperf  0
дуже	  	дуже 		  	adv 50
смачне	  	смачний 	  	adj:n:v_naz:compb  35
всі	  		весь 		  	ron:dem  10
і	  		і 		  		conj:coord  0
я	  		я		  		pron:pers:s:1:v_naz:anim  0
в	  		в 		  		prep:rv_mis:v-u  0
тому	  	тому 		  	adv  0
числі	  	число 	  		noun:n:v_mis  0
залишились 	залишитися     	verb:rev:past:p:perf  0
дуже	  	дуже 		  	adv  50
задоволеними задоволений  	adj:p:v_oru:compb 45
дякую 		дякую 			verb:pres:s 45
Del Pesto 	Del Pesto		noun:proper 15
Дуже	  	дуже 		  	adv  50
любимо	  	любити 	  		verb:pres:p:1:imperf  45
піцерію 	піцерія 		noun:f:v_zna 10
Да Вінчі 	Да Вінчі		noun:proper 15
біля	  	біля 		  	adv  0
оперного  	оперний 	  	adj:m:v_rod  15
Мені	  	я 		  		pron:pers:s:1:v_dav:anim 0
особисто  	особисто 	  	adv:compb  0
та     	 	та 		  		conj:coord  0
моїм	  	мій 		  	adj:p:v_dav 0
друзям	  	друзі 	  		noun:p:v_dav:anim  35
там	  		там 		  	adv 0
завжди	  	завжди 	  		adv 6
подобалося 	подобатися     	verb:rev:past:n:imperf  35
затишно	  	затишно 	  	adv:compb  35
смачно	  	смачно 	  		adv:compb  35
але	  		але 		  	conj:coord  0
наш	  		наш 		  	adj:m:v_naz 0
вчорашній 	вчорашній 	  	adj:m:v_naz:v-u 0
похід	  	похід 	  		noun:m:v_naz  4
змусив	  	змусити	  		verb:past:m:perf  -4
змінити	  	змінити 	  	verb:inf:perf  6
думку	  	думка 	  		noun:f:v_zna  10
на	  		на 		  		prep:rv_zna 0
протилежну 	протилежний    	adj:f:v_zna  -10
зовсім	  	зовсім 	  		adv -10
Коротко	  	коротко 	  	adv:compb  0
розповім  	розповісти 	  	verb:futr:s:1:perf  0
Ми	  		ми 		  		pron:pers:p:1:v_naz:anim  0
прийшли	  	прийти 	  		verb:past:p:perf  0
12.12.2014 	12.12.2014 	  	date  0
увечері 	увечері 		adv 5
поїсти	  	поїсти  	  	verb:inf:perf  0
смачну	  	смачний 	  	adj:f:v_zna:compb 35
піцу	  	піца 		  	noun:f:v_zna  10
і	  		і 		  		conj:coord  0
хотіли 		хотіти 			verb:past:p:perf 6
замовити  	замовити 	  	verb:inf:perf  0
стіл	  	стіл 		  	noun:m:v_naz  0
на	  		на 		  		prep:v_rod  0
1 січня 	січень 			noun:v_rod 0
залишити  	залишити 	  	verb:inf:perf  0
завдаток  	завдаток 	  	noun:m:v_zna  0
як	  		як 		  		adv 0
належно	  	належно 	  	adv  0
Нам	  		ми 		  		pron:pers:p:1:v_dav:anim  0
офіціантка 	офіціантка 	  	noun:f:v_naz:anim  0
сказала	  	сказати 	  	verb:past:f:perf  0
що	        що 				conj:subord 0
Адміністратор адміністратор noun:m:v_naz:anim  0
в	  		в 		  		prep:rv_mis 0
офісі	  	офіс 		  	noun:m:v_mis  0
і	  		і 		  		conj:coord  0
завдатки  	завдаток 	  	noun:p:v_naz  0
на	  		на 		  		prep:rv_zna  0
наступний 	наступний 	  	adj:m:v_zna   0
рік	  		рік 		  	noun:m:v_zna  10
приймаються прийматися    	verb:rev:pres:p:3:imperf  0
з	  		з 		  		prep:rv_zna 0
15 грудня 	грудень 		noun:m:v_zna 0
3 дні 		день 			noun:p:v_zna 0
ніби	  	ніби 		  	conj:subord  0
щось	  	щось 		  	pron:ind:n:v_zna  0
вирішать  	вирішити 	  	verb:futr:p:3:perf  10
мене	  	я 		  		pron:pers:s:1:v_rod:anim  0
з	  		з		  		prep:rv_oru  0
тим	  		той 		  	pron:dem  0
На	  		на		  		prep:rv_mis  0
той	  		той 		  	pron:dem  0
час	  		час 		  	noun:m:v_zna  0
не	  		не		  		part  -5
було	  	бути		  	verb:past:n:imperf  0
дуже	  	дуже 		  	adv 50
людно	  	людно 	  		adv  -10
як	  		як 		  		adv 0
завжди	  	завжди 	  		adv 6
там	  		там 		  	adv 0
дуже	  	дуже		  	adv   50
багато	  	багато 	  		adv  15
людей	  	люди 		  	noun:p:v_zna:anim  0
Ми	  		ми 		  		pron:pers:p:1:v_naz:anim  0
очікували  	очікувати 	  	verb:past:p:imperf  0
на	  		на 		  		prep:rv_zna 0
піцу	  	піца 		  	noun:f:v_zna  10
1 годину 	година 			noun:f:v_zna 0
нам	  		ми 		  		pron:pers:p:1:v_dav:anim  0
принесли  	принести 	  	verb:past:p:perf  0
щось	  	щось 		  	pron:ind:n:v_zna 0
що	        що 				conj:subord 0
піцею 		піца 			noun:f:v_oru  10
назвати	  	назвати 	  	verb:inf:perf  0
дуже	  	дуже		  	adv   50
важко	  	важко 	  		adv:compb  -15
сира	  	сирий 	  		adj:f:v_naz -15
тісто	  	тісто 	  		noun:n:v_naz  -15
прісне	  	прісний 	  	adj:n:v_naz  -15
ніяке	  	ніякий 	  		adj:n:v_naz -45
інгредієнтів інгредієнт  	noun:p:v_rod  0
навіть	  	навіть 	 		part  0
половини  	половина 	 	noun:f:v_rod  0
не	  		не 		 		part  0
було	  	бути		 	verb:past:n:imperf  0
на	  		на 		 		prep:rv_zna:rv_mis  0
тій	  		той 		  	adj:f:v_dav 0
піці	  	піца		  	noun:f:v_dav  10
Ми	  		ми 		  		pron:pers:p:1:v_naz:anim 0
були	  	бути 		  	verb:past:p:imperf  0
дуже	  	дуже		  	adv   50
здивовані 	здивований 	  	adjp:pasv:past:p:v_naz  -9
так	  		так 		  	adv 0
як	       	як				adv 0
завжди	  	завжди 	  		adv 6
ходимо	  	ходити 	  		verb:pres:p:1:imperf  0
тільки	  	тільки 	  		adv  0
туди	  	туди 		  	adv 0
на	  		на 		  		prep:rv_zna:rv_mis 0
піцу	  	піца 		  	noun:f:v_zna  10
знаємо	  	знати 	  		verb:pres:p:1:imperf  0
як	       	як				adv 0
вона	  	вона 		 	pron:pers:f:3:v_naz:anim  0
має	  		мати		  	verb:pres:s:3:imperf   0
бути 		бути 			verb:pres:s::imperf 0
Ви	  		ви 		  		pron:pers:p:2:v_naz:anim 0
відмовилися відмовитися   	verb:rev:past:p:perf  -10
від	  		від 		 	prep:rv_rod  0
тієї	  	той 			pron:dem  0
піци	  	піца 		  	noun:f:v_rod  10
і	  		і 		  		conj:coord  0
попросили 	попросити 	  	verb:past:p:perf  0
щоб	  		щоб 		  	conj:subord  0
нам	  		ми 		  		pron:pers:p:1:v_dav:anim 0
зробили	  	зробити 	  	verb:past:p:perf  4
нормальну  	нормальний 	  	adj:f:v_zna  8
і	  		і 		  		conj:coord  0
тут	  		тут 		  	adv 0
почалося  	початися	  	verb:rev:past:n:perf  0
на	  		на 		  		prep:rv_zna:rv_mis (нас ми pron:dem) 0
просто	  	просто 	  		adv 0
коментую 	коментувати 	verb:pres:s:ind 0
слова	  	слово 	  		noun:p:v_zna 0
Ви	  		ви 		  		pron:pers:p:2:v_naz:anim 0
думаєте	  	думати 	  		verb:pres:p:2:imperf  0
якщо	  	якщо 		  	conj:subord  0
замовите  	замовити	  	verb:futr:p:2:perf  0
іншу	  	інший 	  		pron:def  0
піцу	  	піца 		  	noun:f:v_zna  10
вона	  	вона 		  	pron:pers:f:3:v_naz:anim 0
будить	  	будити 	  		verb:pres:s:3:imperf  0
смачніша  	смачний 	  	adj:f:v_naz:compr  40
Почувши	  	почути 	  		advp:perf  0
таке	  	такий 	  		pron:def  0
ми	  		ми 		  		pron:pers:p:1:v_naz:anim  0
в	  		в 		  		prep:rv_zna:rv_mis:rv_rod:v-u  0
впали 		впасти 			verb:p:p:perf -8
просто	  	просто 	  		adv:compb  0
в	  		в 		  		prep:rv_zna  0
штопор	  	штопор 	  		noun:m:v_zna  -13
при	  		при		  		prep:rv_mis   0
просьбі	  	просьба 	  	noun:f:v_mis  2
покликати 	покликати 	  	verb:inf:imperf  0
Адміністратора адміністратор noun:m:v_zna:anim  0
нам	  		ми 		  		pron:pers:p:1:v_dav:anim  0
сказали	  	сказати 	  	verb:past:p:perf  0
що	  		що 		  		conj:subord  0
його	  	він 		  	pron:pers:m:3:v_rod:anim   0
нема	  	нема 		  	predic  -15
спочатку  	спочатку 	  	adv  3
в	  		в 		  		prep:rv_mis:v-u  0
офісі	  	офіс 		  	noun:m:v_mis  0
потім	  	потім 	  		adv 0
вже	  		вже 		  	adv:v-u  0
нема	  	нема 	  	  	predic  -5
Ми	  		ми 		  		pron:pers:p:1:v_naz:anim  0
вийшли	  	вийти 	  		verb:past:p:perf:perf  0
не	  		не 		  		part  0
не	  		не 		  		part  -5
задоволені 	задоволений    	adj:p:v_naz:compb 30
а	  		а 		  		conj:coord  0
ображені  	ображений 	  	adjp:pasv:past:p:v_naz  -13
поведінкою 	поведінка 	  	noun:f:v_oru  0
поварів	  	повар 	  		noun:p:v_rod:anim 0
і	  		і 		  		conj:coord  0
персоналу  	персонал 	  	noun:m:v_rod  0
в	  		в 		  		prep:rv_zna:rv_mis:rv_rod:v-u  0
загалом	  	загалом	  		adv   0
ми	  		ми 		  		pron:pers:p:1:v_naz:anim  0
були	  	бути 		  	verb:past:p:imperf  0
розчаровані розчарований  	adjp:pasv:past:p:v_naz  -34
а	  		а 		  		conj:coord  0
при	  		при		  		prep:rv_mis   0
виході	  	вихід 	  		noun:m:v_mis  0
бачимо	  	бачити 	  		verb:pres:p:1:imperf  0
як	  		як 		  		adv 0
п'янючий  	п'янючий 	  	adj:m:v_naz  -43
Адміністратор адміністратор noun:m:v_naz:anim  0
сідає	  	сідати 	  		verb:pres:s:3:imperf  0
а	  		а 		  		conj:coord (в в prep:rv_mis) 0
таксі	  	таксі		  	noun:n:v_mis:nv 4
так	  		так 		  	adv 0
це	  		цей 		  	pron:dem  0
нас	  		ми 		  		pron:pers:p:1:v_zna:anim 0
взагалі	  	взагалі 	  	adv:v-u  0
вбило	  	вбити 	  		verb:past:n:perf:v-u -41
Прошу	  	просити 	  	verb:pres:s:1:imperf  4
дирекцію  	дирекція 	  	noun:f:v_zna  0
Да Вінчі	да Вінчі 	  	noun:m:prope 9
прийняти  	прийняти 	  	verb:inf:perf  0
міри	  	міра		  	noun:p:v_zna -4
дійсно	  	дійсно 	  		adv  3
дуже	  	дуже		  	adv  50
шкода	  	шкода 	  		noun:f:v_naz  -16
закладу	  	заклад	  		noun:m:v_dav  0
прошу	  	просити 	  	verb:pres:s:1:imperf  4
відписати 	відписати 	  	verb:inf:perf  4
Дякую	  	дякувати 	  	verb:pres:s:1:imperf  35
На	  		на		  		prep:rv_mis  0
цьому	  	цей 		  	pron:dem  0
тижні	  	тиждень 	  	noun:m:v_mis  0
були	  	бути 		  	verb:past:p:imperf  0
у	  		у 		  		prep:rv_mis:v-u  0
вашому	  	ваш 		  	pron:pos  0
ресторанчику ресторанчик  	noun:m:v_mis 9
Що	  		що 		  		conj:subord  0
я	  		я		  		pron:pers:s:1:v_naz:anim 0
можу	  	могти 	  		verb:unknown  11
сказати	  	сказати 	  	verb:inf:perf  0
просто	  	просто 	  		adv:compb  4
СУПЕР	  	супер 	  		noun:m:v_naz  45
Красиве	  	красивий 	  	adj:n:v_naz:compb  35
і	  		і 		  		conj:coord  0
затишне	  	затишний 	  	adj:n:v_naz:compb  35
місце	 	місце 	  		noun:n:v_naz  0
з	  		з 		  		prep:rv_oru 0
приємною  	приємний	  	adj:f:v_oru:compb  35
музикою	  	музика 	  		noun:f:v_oru  30
і	  		і 		  		conj:coord  0
неймовірною неймовірний   	adj:f:v_oru:compb  50
атмосферою 	атмосфера 	  	noun:f:v_oru  6
Обслуговування обслуговування noun:n:v_naz  6
на	  		на 		  		prep:rv_mis   0
рівні	  	рівень	  		noun:f:v_mis 0
і	  		і 		  		conj:coord  0
в	  		в 		  		prep:rv_zna:v-u  0
такий	  	такий 	  		pron:def  0
заклад	  	заклад 	  		noun:m:v_zna 0
хочеться  	хотітися	  	verb:unknown  6
повертатися повертатися   	verb:rev:inf:imperf  6
знову	  	знову 	  		adv  8
і	  		і 		  		conj:coord  0
знову	  	знову 	  		adv   8
Ми	  		ми 		  		pron:pers:p:1:v_naz:anim 0
тут	  		тут 		  	adv 0
вечеряли  	вечеряти 	  	verb:past:p:imperf  15
все	  		все		  		adv 5
приготували приготувати  	verb:past:p:perf  5
дуже	  	дуже		  	adv   50
смачно	  	смачно 	  		adv:compb  35
Наступного наступний 	  	adj:m:v_rod  5
дня	  		день 		  	noun:m:v_rod  0
завітали  	завітати 	  	verb:past:p:perf  12
на	  		на 		  		prep:rv_zna 0
бізнес-ланч бізнес-ланч   	noun:m:v_zna:bad 12
суп-пюре  	суп-пюре 	  	noun:m:v_zna  9
це	  		цей 		  	adj:n:v_naz:&pron:dem 5
щось	  	щось 		  	pron:ind:n:v_zna  0
Ціни	  	ціна	  		noun:p:v_naz -10
помірні	  	помірний 	  	adj:p:v_naz  6
і	  		і 		  		conj:coord  0
помітно	  	помітно 	  	adv:compb  12
радують	  	радувати 	  	verb:pres:p:3:imperf  18
різноманітні різноманітний 	adj:p:v_naz:compb  6
пропозиції 	пропозиція 	  	noun:p:v_naz 6
закладу	  	заклад	  		noun:m:v_rod 0
Щиро	  	щиро 		  	adv:compb  28
вам	  		ви 		  		pron:pers:p:2:v_dav:anim 0
дякуємо	  	дякувати 	  	verb:pres:p:1:imperf  35
за	  		за 		  		prep:rv_zna 0
незабутні 	незабутній	  	adj:p:v_zna 22
позитивні  	позитивний 	  	adj:p:v_zna:compb 26
враження  	враження 	  	noun:p:v_zna  30
Так	  		так 		  	adv 0
тримати	  	тримати 	  	verb:inf:imperf  0
Del Pesto 	Del Pesto		noun:proper 14
Наш	  		наш 		  	pron:pos  0
улюблений 	улюблений 	  	adjp:pasv:past:m:v_naz:compb 34
ресторанчик ресторанчик   	noun:m:v_naz  6
з	  		з 		  		prep:rv_oru  0
хлопцем	  	хлопець 	  	noun:m:v_oru:anim  11
Меню	  	меню 		  	noun:n:v_naz:nv 0
побачень 	побачення 		noun:n:v_rod 24
супер	  	супер 	  		noun:m:v_zna  40
ідея	  	ідея 		  	noun:f:v_naz  0
Приходимо 	приходити 	  	verb:pres:p:1:imperf  0
туди	  	туди 		  	adv:&pron:dem  0
часто	  	часто		  	adv:compb  22
і	  		і 		  		conj:coord  0
не	  		не		  		part  -5
розчаровуємось розчаровуватися verb:rev:pres:p:1:imperf -35
Процвітання процвітання	  	noun:n:v_naz  45
Вам	  		ви 		  		pron:pers:p:2:v_dav:anim 0
Персонал  	персонал 	  	noun:m:v_naz  0
настільки  	настільки 	  	adv  0
привітний  	привітний 	  	adj:m:v_naz:compb  36
що	  		що 		  		conj:subord  0
здається  	здаватися 	  	verb:rev:pres:s:3:imperf  8
ніби	  	ніби 		  	conj:subord  0
ви	  		ви 		  		pron:pers:p:2:v_naz:anim 0
прийшли	  	прийти 	  		verb:past:p:perf  0
не	  		не 		  		part  -5
на	  		на 		  		prep:rv_zna 0
обідню	  	обідній	  		adj:f:v_zna   5
перерву	  	перерва	  		noun:f:v_zna   0
а	  		а 		  		conj:coord  0
в	  		в 		  		prep:rv_mis 0
гості	  	гість 		  	noun:p:v_mis:anim  15
до	  		до 		  		prep:rv_rod  5
гостинного 	гостинний 	  	adj:m:v_rod  15
друга	  	друг		  	noun:m:v_rod:anim  35
який	  	який 		  	pron:int:rel:def 0
не	  		не 		  		part  -5
розпитує  	розпитувати 	verb:pres:s:3:imperf  0
про	  		про 		  	prep:rv_zna  0
твої	  	твій 		  	pron:pos  0
проблеми  	проблема 	  	noun:p:v_zna  -20
та 			та 				conj:coord  0
переживання переживання 	noun:p:v_zna  -20
а	  		а 		  		conj:coord  0
ввічливою 	ввічливий 	  	adj:f:v_oru:v-u  35
посмішкою  	посмішка 	  	noun:f:v_oru  35
дарує	  	дарувати 	  	verb:pres:s:3:imperf 20
позитивний 	позитивний 	  	adj:m:v_zna:compb  45
настрій	  	настрій 	  	noun:m:v_zna 45
на	  		на 		  		prep:rv_zna 0
весь	  	весь 		  	pron:dem  6
день	  	день 		  	noun:m:v_zna  0
А	  		а 		  		conj:coord  0
КУХАР	  	кухар 	  		noun:m:v_naz:anim 0
НАЙКРАЩИЙ 	хороший 	  	adj:m:v_naz:super 50
Єдиним	  	єдиний	  		adj:m:v_oru  0
мінусом	 	мінус 	 	 	noun:m:v_oru  -16
є	  		бути		  	verb:pres:s:3:imperf  0
місце	  	місце		  	noun:n:v_naz  0
розташування розташування 	noun:n:v_naz  0
Я	  		я 		  		pron:pers:s:1:v_naz:anim  0
живу	  	жити 			verb:pres:s:1:imperf    24
у	  		у		  		prep:rv_mis:v-u  0
Вінниці	  	Вінниця 	  	noun:f:v_mis  0
а	  		а 		  		conj:coord  0
Del Pesto 	Del Pesto		noun:proper 15
у	  		у 		  		prep:rv_mis:v-u  0
Львові	  	Львів 	  		noun:m:v_mis  28
Прекрасне  	прекрасний 	  	adj:n:v_naz:compb  40
місце	  	місце 	  		noun:n:v_naz  0
для	  		для 		  	prep:rv_rod  0
романтичного романтичний  	adj:m:v_rod:compb  40
вечора	  	вечір 	  		noun:m:v_rod  20
Дуже	  	дуже		  	adv  50
смачна	  	смачний 	  	adj:f:v_naz:compb  45
італійська 	італійський 	adj:f:v_naz  15
кухня	  	кухня 	  		noun:f:v_naz  0
та	  		та 		  		conj:coord  0
приємна	  	приємний 	  	adj:f:v_naz:compb  45
атмосфера 	атмосфера 	  	noun:f:v_naz  0
Час	  		час		  		noun:m:v_naz 			  0
від	  		від 		  	prep:rv_rod  0
часу	  	час		  		noun:m:v_rod   0
з	  		з 		  		prep:rv_oru 0
дівчиною  	дівчина 	  	noun:f:v_oru:anim  14
відвідуємо 	відвідувати 	verb:pres:p:1:imperf  0
Del Pesto 	Del Pesto		noun:proper 10
Щоразу	  	щоразу 	  		adv  10
дуже	  	дуже		  	adv  50
задоволені 	задоволений    	adj:p:v_naz:compb 35
все	  		весь 		  	pron:dem  20
надзвичайно надзвичайно   	adv  50
смачно	  	смачно 	  		adv:compb  40
привітні  	привітний 	  	adj:p:v_naz:compb  40
офіціанти 	офіціант 	  	noun:p:v_naz:anim 0
гарна	  	гарний 	  		adj:f:v_naz:compb  35
атмосфера  	атмосфера 	  	noun:f:v_naz  9
Завжди	  	завжди 	  		adv  15
покидаємо 	покидати 	  	verb:pres:p:1:imperf  0
заклад	  	заклад 	  		noun:m:v_zna 0
ситі	  	ситий		  	adj:p:v_naz  0
та	  		та 		  		conj:coord  0
в	  		в 		  		prep:rv_mis:v-u  0
піднесеному піднесений 	  	adjp:pasv:past:m:v_mis 35
настрої	  	настрій 	  	noun:m:v_mis  20
Були	  	бути 		  	verb:past:p:imperf  0
вчора	  	вчора 	  		adv:v-u  0
з	  		з 		  		prep:rv_oru  0
подругами 	подруга 	  	noun:p:v_oru:anim  40
в	  		в 		  		prep:rv_mis:v-u  0
Del Pesto 	Del Pesto		noun:proper 15
Багато	  	багато 	  		adv  10
начиталася 	начитатися 	  	verb:rev:past:f:perf  10
тут	  		тут 		  	adv 0
про	  		про 		  	prep:rv_zna  0
нього	  	він		  		pron:pers:m:3:v_zna:anim  0
та	  		та 		  		conj:coord  0
й	  		й 		  		conj:coord  0
ще	  		ще 		  		adv  7
на	  		на 		  		prep:rv_mis  0
тижні	  	тиждень	  		noun:m:v_mis  0
надумала  	надумати 	  	verb:past:f:perf  5
похід	  	похід 	  		noun:m:v_zna 6
Сподобалось сподобатися   	verb:rev:past:n:perf  42
навіть	  	навіть 	  		part  0
дуже	  	дуже 		  	adv  50
Сам	  		сам 		  	pron:def  0
дизайн	  	дизайн	  		noun:m:v_naz  20
всередині  	всередині 	  	adv:v-u  0
я	  		я 		  		pron:pers:s:1:v_naz:anim 0
обожнюю	  	обожнювати	  	verb:pres:s:1:imperf  50
а-ля	  	а-ля 		  	conj:subord  0
старий	  	старий 	  		adj:m:v_naz:compb  -6
інтер'єр  	інтер'єр 	  	noun:m:v_naz  6
затишні	  	затишний 	  	adj:p:v_naz:compb  35
кольори	  	колір 	  		noun:p:v_naz  10
біленькі  	біленький 	  	adj:p:v_naz  10
столики	  	столик 	  		noun:p:v_naz  0
і	  		і 		  		conj:coord  0
стільці	  	стілець 	  	noun:p:v_naz 0
зістарені 	зістарений 	  	adjp:pasv:past:p:v_naz  -15
меблі	  	меблі 	  		noun:p:v_naz  0
кольорові  	кольоровий	  	adj:p:v_naz  20
і	  		і 		  		conj:coord  0
чисті	  	чистий  	  	adj:p:v_naz:compb  29
скатертини 	скатертина 	  	noun:p:v_naz 0
на	  		на 		  		prep:rv_mis  0
столах	  	стіл 		  	noun:p:v_mis  0
посуд	  	посуд 	  		noun:m:v_naz  0
чистенький 	чистенький 	  	adj:m:v_naz  35
взагалі	  	взагалі 	  	adv:v-u  0
нічого	  	ніщо 		  	pron:neg:v_rod  -9
такого	  	такий 	  		pron:def  0
щоб	  		щоб 		  	conj:subord  0
не	  		не 		  		part  -5
сподобалось сподобатися  	verb:rev:past:n:perf  45
чи	  		чи 		  		conj:coord:subord  0
насторожило насторожити   	verb:past:n:perf  0
не	  		не 		  		part  -5
побачила  	побачити 	  	verb:past:f:perf  5
про	  		про 		  	prep:rv_zna  0
кухню	  	кухня 	  		noun:f:v_zna  0
як	  		як 		  		adv 0
на	  		на 		  		prep:rv_zna 0
мене	  	я 		  		pron:pers:s:1:v_zna:anim  0
вибрати	  	вибрати 	  	verb:inf:perf  0
є	  		бути		  	verb:pres:s::imperf  0
з	  		з 		  		prep:rv_rod 0
чого	  	що 		  		pron:int:rel:n:v_rod  0
помірні	  	помірний 	  	adj:p:v_naz  15
ціни	  	ціна	  		noun:p:v_naz  -5
багато	  	багато 	  		adv  14
є	  		бути 		  	verb:pres:s::imperf 0
цікавих	  	цікавий 	  	adj:p:v_rod:compb   34
трав	  	трава 	  		noun:p:v_rod  2
не	  		не 		  		part  -5
там	  		там 		  	pron:dem  0
смажена	  	смажений 	  	adjp:pasv:past:f:v_naz  -4
картопля  	картопля 	  	noun:f:v_naz  0
чи	  		чи 		  		conj:coord:subord  0
смажена	  	смажений	  	adjp:pasv:past:f:v_naz  -3
риба	  	риба 		  	noun:f:v_naz:anim  2
і	  		і 		  		conj:coord  0
десерти	  	десерт 	  		noun:p:v_naz  19
теж	  		теж 		  	adv  1
оригінальні оригінальний  	adj:p:v_naz:compb  28
Офіціанти 	офіціант 	  	noun:p:v_naz:anim 0
Усміхнені 	усміхнений 	  	adj:p:v_naz:v-u  33
уважні	  	уважний 	  	adj:p:v_naz:compb  33
і	  		і 		  		conj:coord  0
акуратні  	акуратний 	  	adj:p:v_naz:compb  36
Враховуючи 	враховувати 	advp:imperf:v-u  0
те	  		той 		  	pron:dem  0
що	  		що 		  		conj:subord  0
колись	  	колись	  		adv  0
працювала 	працювати 	  	verb:past:f:imperf  5
сама	  	сам		  		pron:def  0
офіціантом 	офіціант 	  	noun:m:v_oru:anim  0
і	  		і 		  		conj:coord  0
часто	  	часто 	  		adv:compb  10
до	  		до 		  		prep:rv_rod  0
всього	  	весь 		  	pron:dem  6
вчора	  	вчора 	  		adv:v-u  0
не	  		не 		  		part  -5
робила	  	робити 	  		verb:past:f:imperf  0
нікому	  	ніхто 	  		pron:neg:v_dav:anim  -12
зауважен  	зауваження 	  	noun:p:v_rod  -9
Замовляла 	замовляти 	  	verb:past:f:imperf  6
смородиновий смородиновий 	adj:m:v_naz  15
чізкейк	  	- 		  		-  22
ммммм	  	- 		  		- 50
смакота	  	смакота 	  	noun:f:v_naz  38
здається  	здаватися 	  	verb:rev:pres:s:3:imperf  0
що	  		що 		  		pron:int:rel:n:v_naz 0
він	  		він 		  	pron:pers:m:3:v_naz:anim 0
був	  		бути 		  	verb:past:m:imperf  0
приготовлений приготовлений adjp:pasv:past:m:v_naz  10
з	  		з 		  		prep:rv_rod 0
домашнього 	домашній 	  	adj:m:v_rod  14
сиру	  	сир		 		noun:m:v_rod 4
а	  		а 		  		conj:coord  0
не	  		не 		  		part  -5
з	  		з 		  		prep:rv_ro 0
магазинного магазинний    	adj:m:v_rod  -5
бо	  		бо 		  		conj:subord  0
пахнув	  	пахнути 	  	verb:past:m:perf 23
і	  		і 		 	 	conj:coord  0
смакував  	смакувати 	  	verb:past:m:imperf  13
саме	  	саме		  	part 0
якось	  	якось 	  		adv 0
по-домашному по-домашному   adv 15
замовили 	замовити 		verb:past:p:1:perf 0
на	  		на 		  		prep:rv_zna  0
обід	  	обід 		  	noun:m:v_zna 5
в	  		в 		  		prep:rv_mis:v-u  0
привезли  	привезти 	  	verb:past:p:perf  0
вчасно	  	вчасно 	  		adv  15
Було	  	бути		  	verb:past:n:imperf  0
дуже	  	дуже		  	adv   50
смачно	  	смачно 	  		adv:compb  42
Це	  		цей 		  	pron:dem 0
жах	  		жах 		  	noun:m:v_naz   -50
Довго	  	довго 	  		adv:compb  4
чекала	  	чекати 	  		verb:past:f:imperf -8
щоб	  		щоб 		  	conj:subord  0
замовлення 	замовлення 	  	noun:n:v_zna 0
у	  		у 		  		prep:rv_mis:v-u  0
обідній	  	обідній 	  	adj:f:v_mis 0
час	  		час 		  	noun:m:v_zna 0
Ланч	  	ланч 		  	noun:m:v_naz:bad  7
представляв представляти  	verb:past:m:imperf  0
собою	  	себе 		  	pron:refl:m:v_oru  0
спробу	  	спроба 	  		noun:f:v_zna  2
не	  		не 		  		part  -5
привернути 	привернути 	  	verb:inf:perf  0
мою	  		мій 		  	pron:pos  0
увагу	  	увага 	  		noun:f:v_zna  4
до	  		до 		  		prep:rv_rod  0
місця	  	місце 	  		noun:n:v_rod  0
а	  		а 		  		conj:coord  0
відвернути 	відвернути 	  	verb:inf:perf  -10
Суп	  		суп 		  	noun:m:v_naz  4
з	  		з 		  		prep:rv_rod 0
води	  	вода 		  	noun:f:v_rod  11
свинина	  	свинина 	  	noun:f:v_naz  2
